N	4gram	Propp_Isto	Psycholo
1	в то время как	3	13
2	в том что он	1	7
3	не что иное как	3	6
4	образом мы видим что	2	5
5	один и тот же	2	5
6	и только после этого	1	5
7	так же как и	1	5
8	то же самое что	2	4
9	в силу того что	1	4
10	точно так же как	1	4
11	и вместе с тем	2	3
12	о том что она	1	3
13	от начала до конца	1	3
14	не в том чтобы	1	3
15	таким образом мы видим	2	3
16	ответ на этот вопрос	1	3
17	дело в том что	2	3
18	само по себе не	1	2
19	мы увидим что и	1	2
20	и здесь мы видим	1	2
21	мы увидим что она	1	2
22	так же обстоит дело	2	2
23	и т д мы	1	2
24	что для того чтобы	1	2
25	в том что они	3	2
26	до сих пор в	1	2
27	то мы увидим что	1	2
28	отнюдь не означает что	1	2
29	здесь мы видим что	1	2
30	с уверенностью сказать что	1	2
31	т д все это	1	2
32	с одной стороны и	1	2
33	указать на то что	1	2
34	все дело в том	1	2
35	точно так же и	2	2
36	а на самом деле	1	2
37	и т д все	3	2
38	и тем не менее	2	2
39	и т д и	2	2
40	указанием на то что	1	2
41	бы то ни было	2	2
42	но вместе с тем	1	2
43	приводит к тому что	1	2
44	есть не что иное	2	2
45	что он умер и	3	1
46	но уже сейчас мы	1	1
47	уже не может быть	1	1
48	то это значит что	1	1
49	уже с самого начала	2	1
50	не может быть признано	1	1
51	так же как нельзя	1	1
52	мы уже знаем что	2	1
53	же значение как и	1	1
54	речь идет именно о	1	1
55	с другой стороны в	1	1
56	друг с другом мы	1	1
57	и точно так же	1	1
58	мы видим что в	1	1
59	как мы увидим ниже	1	1
60	мы увидим ниже что	1	1
61	смысле этого слова может	1	1
62	не само по себе	1	1
63	не то же самое	3	1
64	это отнюдь не означает	1	1
65	мы будем иметь случай	1	1
66	мы можем поставить вопрос	1	1
67	само по себе но	1	1
68	но это только одна	1	1
69	в том случае когда	1	1
70	не значит что нельзя	1	1
71	дело вовсе не в	1	1
72	с одной стороны оно	1	1
73	едва ли не самым	1	1
74	в какой связи стоят	1	1
75	это знает потому что	1	1
76	если это так то	2	1
77	по ходу действия это	1	1
78	еще хуже обстоит дело	1	1
79	для наших целей это	1	1
80	такое же значение как	1	1
81	так же и в	1	1
82	сводится к тому чтобы	1	1
83	мы должны были бы	2	1
84	означает не что иное	1	1
85	есть вместе с тем	1	1
86	и наконец самое важное	1	1
87	во всем его объеме	1	1
88	к тому или иному	1	1
89	надо сказать что и	1	1
90	с тем что в	1	1
91	и т д вот	1	1
92	что речь идет именно	1	1
93	может быть сравниваема с	1	1
94	и т д то	2	1
95	который лежит в ее	1	1
96	можно с уверенностью сказать	1	1
97	лежит в ее основе	1	1
98	если бы мы захотели	1	1
99	и в этом смысле	1	1
100	какой бы то ни	1	1
101	но если это так	2	1
102	мы видим и здесь	1	1
