N	2gram	Potebnia_M	Myshleni
1	в том	47	195
2	внутренней речи	1	191
3	в этом	19	167
4	то что	37	166
5	и в	48	162
6	том что	28	161
7	таким образом	24	147
8	точки зрения	4	143
9	что в	30	119
10	не только	32	116
11	того что	24	109
12	в процессе	2	101
13	так же	6	100
14	и речи	1	96
15	потому что	82	95
16	того чтобы	5	91
17	может быть	46	89
18	с точки	3	89
19	что он	8	86
20	не может	18	81
21	как и	22	79
22	для того	8	78
23	так как	20	78
24	и не	28	78
25	только в	29	75
26	в целом	5	74
27	как мы	8	72
28	речи в	1	70
29	но и	30	70
30	заключается в	2	67
31	в его	6	67
32	сказать что	8	65
33	мы могли	2	65
34	как бы	10	64
35	детской мысли	1	62
36	вместе с	22	62
37	и что	13	60
38	было бы	16	60
39	что ребенок	1	60
40	то же	35	58
41	мышления в	1	56
42	могли бы	3	54
43	между собой	1	53
44	в силу	7	53
45	что мы	16	53
46	в самом	11	52
47	в сущности	3	51
48	мы должны	6	50
49	к тому	9	49
50	ребенка в	1	49
51	что они	2	48
52	тем что	13	48
53	мы можем	13	48
54	тогда когда	20	47
55	на основе	1	47
56	мы не	17	47
57	если бы	20	46
58	по отношению	12	45
59	но не	8	45
60	с другой	8	45
61	с тем	9	43
62	тем самым	11	43
63	тому что	6	42
64	как это	1	42
65	отношению к	10	42
66	не является	1	41
67	о том	7	40
68	одной стороны	4	40
69	никогда не	2	39
70	с одной	8	39
71	так и	17	39
72	мы видели	5	38
73	в области	3	38
74	и к	5	37
75	вопрос о	2	37
76	если мы	2	37
77	мы видим	3	37
78	не в	24	37
79	в этой	3	37
80	значение слова	8	37
81	с самого	1	36
82	в своем	6	36
83	все эти	1	36
84	как в	17	36
85	а не	22	36
86	и его	4	36
87	того же	5	35
88	с другом	1	35
89	можно было	1	35
90	в себе	26	35
91	в которой	9	35
92	в понятиях	1	35
93	и т.д	1	35
94	друг с	1	35
95	он не	4	35
96	для себя	3	35
97	связи с	6	34
98	и как	8	34
99	прежде всего	6	33
