N	3gram	Vinokur_Vv	Dialekti
1	и т д	39	75
2	с точки зрения	4	46
3	сама по себе	3	26
4	по крайней мере	4	26
5	в том что	15	25
6	не может быть	10	18
7	не что иное	5	18
8	что иное как	5	18
9	тем не менее	9	16
10	сам по себе	2	16
11	само по себе	4	16
12	то же время	6	15
13	в то же	6	14
14	в таком случае	1	14
15	т д и	1	14
16	только тогда когда	1	13
17	и то же	2	12
18	с другой стороны	5	12
19	о том что	13	12
20	одно и то	2	12
21	есть не что	3	11
22	в самом деле	6	10
23	т е в	4	10
24	имеется в виду	1	9
25	по себе не	1	9
26	и в этом	4	9
27	подобно тому как	2	9
28	то или иное	1	9
29	не значит что	1	8
30	только то что	1	8
31	та или иная	1	8
32	в этом смысле	10	8
33	можно сказать что	3	7
34	говоря уже о	1	7
35	вовсе не в	2	7
36	не в том	2	7
37	так или иначе	4	7
38	т е не	2	7
39	но что такое	1	7
40	точно так же	2	7
41	в связи с	2	7
42	той или иной	3	7
43	не потому что	1	7
44	не говоря уже	2	7
45	только потому что	1	6
46	для того чтобы	22	6
47	более или менее	1	6
48	в зависимости от	3	6
49	что это есть	1	6
50	и прежде всего	1	6
51	случае не есть	1	6
52	в нем есть	1	6
53	в сравнении с	1	6
54	во всяком случае	5	6
55	с одной стороны	4	6
56	может быть и	2	6
57	на самом деле	1	5
58	по сравнению с	4	5
59	потому что она	1	5
60	в конце концов	2	5
61	потому что он	2	5
62	и тем не	3	5
63	к тому что	1	5
64	т е о	1	5
65	от того что	1	5
66	в том смысле	1	5
67	до сих пор	7	5
68	одной и той	2	5
69	что в нем	2	5
70	и той же	2	5
71	одной стороны и	3	4
72	мы уже знаем	2	4
73	том смысле что	1	4
74	и т п	5	4
75	с этой точки	2	4
76	так же как	1	4
77	этой точки зрения	2	4
78	так как она	1	4
79	может быть только	1	4
80	т д все	2	4
81	в данном случае	4	4
82	и что такое	1	4
83	не только о	1	4
84	не может не	1	4
85	для того кто	1	4
86	то же самое	3	4
87	из того что	1	4
88	а не только	1	4
89	может быть в	2	4
90	связи с этим	1	4
91	самого по себе	1	4
92	не имеет права	1	4
93	можно было бы	4	4
94	не могут быть	2	4
95	т д но	5	4
96	в этом отношении	4	4
97	т е по	1	3
98	как она есть	2	3
99	в той или	1	3
100	тех или иных	3	3
101	как будто бы	2	3
102	но уже и	1	3
103	когда мы говорим	1	3
104	и есть то	1	3
105	т д в	2	3
106	не есть и	1	3
107	а потому что	1	3
108	одно из двух	1	3
109	и говорить о	1	3
110	но все же	4	3
111	все это не	1	3
112	есть не просто	1	3
