N	2gram	Trubetskoy	Otkroven
1	у него	1	22
2	и в	26	19
3	и не	8	13
4	но и	9	13
5	в этом	15	12
6	человека в	1	11
7	а не	5	11
8	не только	10	11
9	не в	2	11
10	может быть	10	11
11	человека и	1	10
12	и все	2	10
13	в нем	4	10
14	потому что	7	9
15	прежде всего	2	9
16	не было	2	9
17	в самой	2	9
18	никогда не	5	9
19	нет ничего	1	7
20	ни с	1	7
21	в его	5	7
22	он не	4	7
23	лишь в	5	7
24	все это	6	6
25	как и	1	6
26	в самом	4	5
27	в том	11	5
28	для него	3	5
29	него в	1	5
30	в этой	4	5
31	а в	4	5
32	до самого	1	5
33	отношение к	5	5
34	в россии	2	5
35	о его	1	5
36	то что	7	5
37	все в	1	4
38	что в	9	4
39	того чтобы	5	4
40	не может	4	4
41	в самую	1	4
42	все эти	6	4
43	на земле	1	4
44	и его	1	4
45	русский человек	1	4
46	он сам	1	4
47	с его	2	4
48	и от	4	3
49	все что	2	3
50	что человек	1	3
51	хотя бы	3	3
52	это не	1	3
53	для того	5	3
54	с ним	1	3
55	когда он	3	3
56	в этих	4	3
57	не могут	2	3
58	природы но	1	3
59	в своих	1	3
60	как бы	12	3
61	было бы	1	3
62	могут быть	1	3
63	в себе	6	3
64	и есть	1	3
65	что он	4	3
66	никто не	1	3
67	различие между	1	3
68	это было	1	3
69	и ее	1	3
70	о том	6	3
71	того что	3	3
72	к нему	7	3
73	еще не	2	3
74	и к	5	2
75	как к	1	2
76	и потому	6	2
77	так и	6	2
78	что они	1	2
79	в душе	1	2
80	все же	6	2
81	не могли	1	2
82	так как	9	2
83	на западе	3	2
84	должно быть	1	2
85	к этой	1	2
86	человека все	1	2
87	его не	2	2
88	уже в	2	2
89	ничто не	1	2
90	совсем не	1	2
91	и любовь	1	2
92	ничего кроме	1	2
93	так что	3	2
94	в своем	3	2
95	в этот	1	2
96	с тем	18	2
97	и из	2	2
98	в которой	3	2
99	русского народа	3	2
100	одно из	2	2
101	что и	6	2
102	с богом	1	2
103	в уста	1	2
104	ума и	1	2
105	его в	1	2
106	должен был	4	2
107	чем в	1	2
108	их не	1	2
109	мысль о	2	2
110	художественном творчестве	1	2
111	этого мира	1	2
112	и с	10	2
113	он в	2	2
114	и о	3	2
115	природы и	1	2
116	сказать что	2	2
117	тем что	1	2
118	и на	2	2
119	сложнее и	1	2
120	в других	3	2
121	учение о	4	2
122	что все	4	2
123	ничего не	1	2
124	не есть	1	2
125	в своей	1	2
126	по себе	1	2
127	не имеет	5	2
128	к этому	3	2
129	ни у	2	2
130	и никогда	1	2
131	том что	7	2
132	от человека	2	2
133	и душа	1	2
134	и для	5	2
135	в ее	1	2
136	человек всегда	1	2
137	подойти к	3	2
138	всякий кто	1	2
139	но в	7	2
140	и нет	3	2
141	уже с	3	1
142	и мир	2	1
143	к одному	1	1
144	и весь	1	1
145	во всяком	6	1
146	связан с	2	1
147	не так	1	1
148	человек может	1	1
149	ко всему	2	1
150	ни к	1	1
151	с образом	1	1
152	что связано	1	1
153	совершенно не	1	1
154	смерть и	1	1
155	все и	1	1
156	попадает в	4	1
157	а потому	1	1
158	и свободное	1	1
159	на человека	1	1
160	а с	7	1
161	не существует	1	1
162	и других	1	1
163	и всякий	1	1
164	опять по	1	1
165	к другу	2	1
166	один из	2	1
167	которым он	1	1
168	в котором	4	1
169	и здесь	2	1
170	та же	1	1
171	имеет ни	1	1
172	с душой	1	1
173	и состоит	1	1
174	друг к	1	1
175	бога но	1	1
176	природы это	1	1
177	про него	1	1
178	есть единственное	1	1
179	и лишь	1	1
180	после того	1	1
181	знаменательно что	1	1
182	каждом из	1	1
183	бытие не	1	1
184	он выступает	1	1
185	того как	1	1
186	к одной	2	1
187	жизни а	1	1
188	бог и	1	1
189	так для	1	1
190	и пр	1	1
191	его с	1	1
192	том как	1	1
193	мы не	1	1
194	притом не	1	1
195	смысле слова	1	1
196	связана с	2	1
197	что сама	1	1
198	но не	8	1
199	по сравнению	2	1
200	и менее	1	1
201	людей но	1	1
202	не по	1	1
203	представляет собой	3	1
204	в ней	1	1
205	из всех	3	1
206	это для	1	1
207	что это	3	1
208	а ведь	1	1
209	и тогда	4	1
210	этом отношении	2	1
211	для человеческой	1	1
212	всяком случае	6	1
213	на этих	1	1
214	о чем	1	1
215	в свое	1	1
216	в сущности	1	1
217	великих художников	1	1
218	но тем	1	1
219	в бездне	1	1
220	и больше	2	1
221	и откровения	1	1
222	чем у	1	1
223	богов а	1	1
224	и через	1	1
225	в которую	1	1
226	он должен	1	1
227	не с	2	1
228	за собой	3	1
229	и что	4	1
230	в одном	3	1
231	которое у	1	1
232	они в	2	1
233	народ в	1	1
234	у нас	1	1
235	в отношении	6	1
236	людей и	2	1
237	оказывается что	3	1
238	нет никакой	1	1
239	не потому	2	1
240	всего более	1	1
241	бы и	1	1
242	этим именем	1	1
243	заключает в	2	1
244	и это	2	1
245	ее с	2	1
246	есть самая	1	1
247	у многих	1	1
248	это есть	1	1
249	смысле этого	1	1
250	в строгом	1	1
251	и до	1	1
252	этими двумя	2	1
253	с их	1	1
254	духовную жизнь	1	1
255	на людей	1	1
256	не вполне	3	1
257	в русском	2	1
258	за это	1	1
259	по своей	2	1
260	его образ	1	1
261	думать что	1	1
262	в них	2	1
263	связь с	2	1
264	любви к	1	1
265	не совпадает	1	1
266	и даже	3	1
267	в глаза	1	1
268	этот период	2	1
269	всего что	1	1
270	всегда и	3	1
271	сила и	1	1
272	если бы	3	1
273	и путь	1	1
274	самом деле	1	1
275	в высшее	1	1
276	и более	1	1
277	с ними	1	1
278	к чему	1	1
279	всегда в	1	1
280	среди них	2	1
281	может ли	2	1
282	людей а	1	1
283	в виду	2	1
284	в силу	5	1
285	не иметь	1	1
286	бога и	4	1
287	на этот	4	1
288	с духом	1	1
289	лишь по	1	1
290	от бога	2	1
291	они всегда	1	1
292	человека для	1	1
293	в духовном	1	1
294	в эпоху	7	1
295	отношения к	1	1
296	тем же	1	1
297	когда человек	2	1
298	все-таки чувствуется	1	1
299	заключается в	1	1
300	начиная с	2	1
301	он создал	1	1
302	это два	1	1
303	и действительно	2	1
304	он знает	1	1
305	на не	1	1
306	в конце	6	1
307	указывает на	1	1
308	в процессе	2	1
309	и скорее	1	1
310	в жизни	1	1
311	между этими	2	1
312	человеком и	1	1
313	в глазах	2	1
314	в корне	1	1
315	дьявола и	2	1
316	в сферу	1	1
317	в космосе	1	1
318	как от	2	1
319	и религиозное	1	1
320	лишь на	1	1
321	и как	3	1
322	то в	1	1
323	всех тех	1	1
324	к его	2	1
325	нам все	1	1
326	есть не	1	1
327	в сознании	1	1
328	что она	1	1
329	а именно	1	1
330	всякого кто	1	1
331	жизни и	2	1
332	в мире	5	1
333	в разных	2	1
334	состоит из	1	1
335	одном из	1	1
336	и прежде	1	1
337	в одно	2	1
338	как в	1	1
339	этого слова	1	1
340	на то	2	1
341	в уме	1	1
342	и раньше	1	1
343	не стоит	1	1
344	а иногда	1	1
345	от этого	1	1
346	в народном	3	1
347	за границу	1	1
348	отличается от	2	1
349	да и	1	1
350	друг с	5	1
351	в новом	2	1
352	видел в	1	1
353	в свой	1	1
354	сравнению с	2	1
355	но это	1	1
356	и после	2	1
357	растворяется в	1	1
358	женщины и	1	1
359	из него	2	1
360	с другом	5	1
361	угрызения совести	1	1
362	которой нет	1	1
363	чтобы не	1	1
364	она и	1	1
365	к богу	3	1
366	из них	7	1
367	уже не	3	1
368	еще тогда	1	1
369	в одной	1	1
370	нее не	2	1
371	с того	2	1
372	и дал	1	1
373	есть один	1	1
374	стороны с	1	1
375	особенно в	2	1
376	мира в	1	1
377	со всеми	2	1
378	и самый	1	1
379	бы в	1	1
380	людей в	1	1
