N	4gram	Vinokur_St	Literetu
1	в то же время	5	21
2	не говоря уже о	2	6
3	бы то ни было	1	4
4	в том числе и	2	3
5	но с другой стороны	2	3
6	не может быть вообще	1	2
7	только в том что	1	2
8	дело в том что	7	2
9	и в самом деле	2	2
10	даже по отношению к	1	2
11	не только в том	1	2
12	дело не только в	1	2
13	одно и то же	1	2
14	то же время не	1	2
15	именно в том что	1	1
16	мысль о том что	1	1
17	когда речь идет о	2	1
18	в том что в	3	1
19	в борисе годунове и	1	1
20	что не может быть	2	1
21	и в то же	1	1
22	как в наше время	1	1
23	и вместе с тем	1	1
24	одних и тех же	1	1
25	но дело в том	1	1
26	так или иначе в	1	1
27	в том что он	3	1
28	свою собственную личность но	1	1
29	не имеет ничего общего	2	1
30	в том что этот	1	1
31	во всяком случае в	2	1
32	имеет ничего общего с	2	1
33	в той или иной	1	1
34	но в то же	2	1
35	одним и тем же	2	1
36	мы имеем дело с	1	1
37	в начале xix века	1	1
