N	2gram	Vygotskiy_	ViktorSh
1	конце концов	1	2
2	в конце	5	2
3	и в	47	2
4	в том	38	2
5	том что	28	2
6	в другом	3	1
7	все время	3	1
8	от общего	2	1
9	но это	4	1
10	одно и	3	1
11	столь же	2	1
12	том же	7	1
13	их как	2	1
14	по существу	2	1
15	ведь это	2	1
16	заключается что	1	1
17	разве это	1	1
18	главным образом	1	1
19	в самом	15	1
20	как же	1	1
21	чем больше	1	1
22	и т.д	4	1
23	что слово	2	1
24	и зависят	1	1
25	для них	1	1
26	хотел сказать	3	1
27	а только	2	1
28	от других	1	1
29	именно в	9	1
30	и самым	2	1
31	все то	1	1
32	ни к	1	1
33	самом деле	6	1
34	вещь и	1	1
35	и составляет	2	1
36	но разве	1	1
37	ясно что	4	1
38	речи и	36	1
39	в частности	4	1
40	чем к	2	1
41	и то	10	1
42	и заключается	3	1
43	не хочу	1	1
44	этом и	2	1
45	время в	3	1
46	и его	14	1
47	теснейшим образом	1	1
48	к чему	1	1
49	под влиянием	1	1
50	значительной степени	1	1
51	на одном	1	1
52	других и	1	1
53	зависят от	2	1
54	по поводу	3	1
55	далеко не	1	1
56	тем более	1	1
57	в которых	3	1
58	говорится в	4	1
59	к этому	2	1
60	только в	24	1
61	одном и	4	1
62	потому что	26	1
63	в значительной	3	1
64	в их	4	1
65	все дело	1	1
66	образом связаны	1	1
67	и почти	1	1
68	и только	7	1
69	то же	16	1
70	по своим	2	1
71	чего не	1	1
72	и том	3	1
73	и не	27	1
74	гораздо более	4	1
75	я не	3	1
76	дело в	1	1
77	в этом	47	1
78	так как	25	1
79	все это	5	1
80	значит и	1	1
