N	3gram	Propp_Morf	FransuaR
1	то же время	1	55
2	в то же	1	55
3	как мы уже	1	28
4	в том что	4	27
5	до сих пор	1	27
6	в большинстве случаев	3	22
7	с точки зрения	6	20
8	в этом отношении	2	20
9	для того чтобы	3	17
10	о том что	3	17
11	в связи с	9	16
12	не может быть	9	13
13	с одной стороны	2	13
14	на самом деле	4	13
15	а также и	5	12
16	с другой стороны	5	12
17	можно сказать что	1	11
18	той или иной	1	10
19	как и в	3	10
20	до наших дней	2	10
21	в данном случае	2	10
22	мы видим что	11	9
23	по отношению к	7	9
24	до известной степени	1	9
25	более или менее	2	8
26	после того как	1	8
27	в то время	3	7
28	о том как	2	7
29	в чем же	1	7
30	можно было бы	2	7
31	и в других	2	7
32	в настоящее время	3	7
33	подобно тому как	5	7
34	во всех этих	1	7
35	но все же	4	6
36	в свою очередь	1	6
37	это одна из	1	6
38	с самого начала	1	6
39	в применении к	1	5
40	некоторые из них	1	5
41	друг с другом	1	5
42	и в этой	1	5
43	мы имеем в	2	5
44	во всяком случае	2	5
45	и тот же	1	5
46	все же в	1	5
47	в первом случае	3	5
48	вместо того чтобы	1	5
49	как бы в	1	5
50	то что в	2	4
51	в собственном смысле	3	4
52	так как его	1	4
53	связи с этим	5	4
54	на этот вопрос	1	4
55	как мы увидим	5	4
56	и где начинается	1	4
57	что и в	1	4
58	может быть и	2	4
59	здесь перед нами	1	4
60	так например в	1	4
61	во втором случае	1	4
62	мы увидим дальше	1	4
63	это уже не	1	4
64	один и тот	1	4
65	он как бы	1	3
66	еще тем что	1	3
67	потому что в	1	3
68	видим таким образом	1	3
69	не входит в	2	3
70	но это не	1	3
71	как один из	1	3
72	в этих условиях	1	3
73	является одним из	1	3
74	тех или иных	1	3
75	есть не что	1	3
76	здесь как и	1	3
77	и там где	1	3
78	бы то ни	3	3
79	не что иное	2	3
80	так как они	1	3
81	мы видим таким	1	3
82	что иное как	2	3
83	и в новой	1	2
84	некоторые из этих	1	2
85	мы уже знаем	1	2
86	едой и питьем	1	2
87	в том или	1	2
88	они и не	1	2
89	самом деле в	1	2
90	никто не знает	1	2
91	в первый раз	1	2
92	в коем случае	1	2
93	не потому что	1	2
94	таким образом что	1	2
95	в наши дни	1	2
96	друг за другом	2	2
97	о котором говорит	1	2
98	что в основе	1	2
99	далеко не все	3	2
