N	4gram	Tiupa_Hudo	EvropaiE
1	в то же время	11	14
2	и в то же	2	8
3	с одной стороны и	1	6
4	с этой точки зрения	1	5
5	так же как и	1	3
6	заключается в том что	1	2
7	но в то же	3	2
8	и в этом смысле	1	2
9	и то и другое	1	1
10	то же время не	1	1
11	не только в том	2	1
12	дело в том что	1	1
13	в том случае если	2	1
14	в том числе и	1	1
15	одна и та же	1	1
16	в гораздо большей степени	1	1
17	только в том случае	1	1
18	в связи с этим	2	1
19	в стороне от основного	1	1
20	с точки зрения развития	1	1
21	гораздо большей степени чем	1	1
22	несмотря на то что	1	1
