N	3gram	Bakhtin_fo	NovoeSre
1	в высшей степени	1	6
2	не может быть	4	4
3	xix и xx	1	4
4	со всех сторон	2	3
5	и xx веков	1	3
6	в средние века	4	3
7	он не имеет	1	2
8	вместе с тем	3	2
9	равно как и	4	2
10	и должно быть	2	2
11	так же как	2	2
12	в нем нет	2	2
13	большую роль в	2	2
14	что в нем	1	2
15	не в смысле	3	2
16	когда мы говорим	1	2
17	с одной стороны	3	2
18	с другой стороны	1	2
19	в свои права	1	2
20	никогда не было	1	2
21	это не значит	1	2
22	сами по себе	2	1
23	в том что	4	1
24	но это значит	1	1
25	до сих пор	4	1
26	и не был	1	1
27	в зависимости от	1	1
28	по своей природе	1	1
29	и стремится к	1	1
30	том числе и	4	1
31	и вместе с	1	1
32	не только в	6	1
33	но и в	5	1
34	в большинстве случаев	2	1
35	которые могут быть	1	1
36	от бога и	1	1
37	не было и	2	1
38	общественной жизни и	1	1
39	в отличие от	3	1
40	человек а не	1	1
41	в значительной степени	1	1
42	есть прежде всего	1	1
43	но она не	1	1
44	в нем не	3	1
45	это время как	1	1
46	о том что	2	1
47	же как и	2	1
48	и до сих	1	1
49	она совсем не	1	1
50	что в этом	1	1
51	и того же	6	1
52	не могут быть	1	1
53	наряду с этим	3	1
54	потому что не	1	1
55	жизни не может	1	1
56	мы говорим о	1	1
57	выходит за пределы	1	1
58	про себя а	1	1
59	в новое время	1	1
60	как и в	3	1
61	то что в	1	1
62	во всяком случае	1	1
63	для себя и	1	1
64	вступает в свои	1	1
65	в событиях и	1	1
66	та или иная	1	1
67	и во всех	3	1
68	в том числе	7	1
69	к вопросу о	2	1
70	совершенно так же	1	1
71	конечно не в	1	1
72	прежде всего они	1	1
73	еще не было	1	1
74	это значит что	2	1
75	в xix и	1	1
76	для того и	1	1
77	и еще не	1	1
78	и для того	1	1
79	значение все это	1	1
80	в то время	3	1
81	все в мире	1	1
82	но наряду с	1	1
83	но нет и	1	1
84	в основе их	1	1
85	то время как	2	1
86	по природе своей	2	1
87	во времени в	1	1
88	того чтобы быть	1	1
89	и все они	1	1
90	ни в чем	3	1
91	и совсем не	1	1
92	есть по существу	1	1
93	одного и того	6	1
94	может быть только	3	1
