N	3gram	Voloshinov	Literetu
1	в том что	1	21
2	с одной стороны	1	12
3	не может быть	3	11
4	в данном случае	1	11
5	в конечном счете	2	10
6	о том что	2	10
7	в этом отношении	1	10
8	с точки зрения	6	8
9	подобно тому как	1	6
10	с этой точки	1	5
11	еще в году	1	5
12	этой точки зрения	1	5
13	в связи с	1	5
14	может быть это	3	4
15	по аналогии с	2	4
16	и прежде всего	1	4
17	то ни было	1	4
18	бы то ни	1	4
19	в самом деле	2	3
20	то же самое	1	3
21	той или иной	1	3
22	быть не может	1	3
23	на самом деле	4	3
24	по крайней мере	3	3
25	а то и	1	3
26	во всяком случае	3	3
27	то что я	1	3
28	в себя и	1	2
29	для того чтобы	1	2
30	все же в	1	2
31	а с другой	1	2
32	быть может наиболее	1	2
33	вместе с тем	1	2
34	обратим внимание на	1	2
35	в свое время	1	2
36	однако в рамках	1	2
37	дело в том	1	2
38	можно было бы	1	2
39	на первый взгляд	1	2
40	в каком отношении	1	1
41	все то что	2	1
42	а потому и	2	1
43	я и мир	1	1
44	в большинстве случаев	3	1
45	но отнюдь не	2	1
46	само нуждается в	1	1
47	нуждается в объекте	1	1
48	это приводит к	1	1
49	во внешнем мире	1	1
50	но даже и	1	1
51	одних и тех	1	1
52	так и с	1	1
53	до сих пор	3	1
54	в этом и	1	1
55	самом деле есть	1	1
56	во многих случаях	1	1
57	по ту сторону	4	1
58	и того же	1	1
59	и т.п и	1	1
60	в высшей степени	1	1
61	не нуждается в	2	1
62	и даже более	1	1
63	одного и того	1	1
64	альфой и омегой	1	1
65	на всю жизнь	1	1
66	и в этом	2	1
67	может быть только	1	1
68	а в конце	1	1
69	вместе с ним	1	1
70	в этом своем	1	1
71	как мы знаем	1	1
72	один из моментов	1	1
73	а потому не	1	1
74	как это было	1	1
75	как один из	1	1
76	именно то что	1	1
77	и тех же	1	1
78	не что иное	1	1
79	уже не может	1	1
80	герой нашего времени	1	1
81	мы узнаем о	1	1
82	и вот она	1	1
83	и др к	1	1
84	этом своем качестве	1	1
85	и т.п наконец	1	1
86	с самого начала	4	1
87	и только то	1	1
88	не могут быть	2	1
89	из того же	1	1
90	что может быть	1	1
91	что иное как	1	1
92	та сила которая	1	1
93	это и есть	1	1
94	и только здесь	1	1
95	имеем дело с	1	1
96	мы не можем	1	1
