N	2gram	Medvedev_B	EvropaiE
1	и в	1	37
2	в пределах	1	25
3	что в	1	21
4	не только	1	18
5	и не	2	14
6	в области	1	11
7	так и	1	10
8	прежде всего	1	9
9	отнюдь не	1	9
10	в своей	1	8
11	было бы	1	8
12	с другой	1	7
13	и на	1	6
14	и потому	1	5
15	одной из	1	5
16	тем более	1	4
17	вопрос о	1	4
18	к ней	1	4
19	в ней	2	4
20	можно было	2	3
21	во всяком	1	3
22	в данном	1	3
23	по нашему	1	3
24	всяком случае	1	3
25	всего в	1	2
26	таким образом	1	2
27	и во	1	2
28	можно в	1	2
29	чем на	1	2
30	должна быть	1	2
31	пожалуй и	1	2
32	другой стороны	1	2
33	между ними	1	2
34	нашему мнению	1	2
35	и более	1	2
36	следовало бы	1	2
37	в значительной	1	2
38	а не	1	2
39	то нельзя	1	2
40	далеко не	1	2
41	что все	1	2
42	как будто	1	2
43	меньше чем	1	2
44	самом понятии	1	1
45	сейчас в	1	1
46	выходит за	1	1
47	также что	1	1
48	кроме того	1	1
49	у нас	3	1
50	творчества и	1	1
51	не было	1	1
52	не о	1	1
53	все же	1	1
54	об этом	1	1
55	больше чем	2	1
56	бы только	1	1
57	говорить не	1	1
58	говорить о	1	1
59	лучше и	2	1
60	за пределы	1	1
61	значительной степени	1	1
62	то как	1	1
63	и ее	1	1
64	свести к	1	1
65	и о	1	1
