N	2gram	Berdyaev_M	Tvorches
1	у достоевского	75	91
2	и в	61	56
3	как бы	10	41
4	в его	10	37
5	романах достоевского	2	32
6	в то	2	30
7	в романах	2	30
8	князя мышкина	1	28
9	достоевского в	10	27
10	подпольный человек	6	26
11	то же	4	25
12	не только	42	24
13	но в	12	24
14	как и	14	23
15	то есть	3	23
16	и не	26	23
17	а в	4	23
18	и его	13	23
19	в этом	34	22
20	и т	1	22
21	достоевского не	7	22
22	что в	12	21
23	в том	9	21
24	из подполья	11	21
25	он не	34	19
26	том что	7	19
27	может быть	42	19
28	потому что	25	19
29	в преступлении	3	19
30	у него	38	18
31	то что	10	18
32	преступлении и	1	18
33	и на	9	17
34	и наказании	1	17
35	что он	16	17
36	все это	6	17
37	но и	34	16
38	никогда не	30	16
39	как в	9	16
40	в бесах	8	16
41	в творчестве	13	16
42	прежде всего	18	16
43	достоевского с	3	16
44	не может	39	16
45	достоевский не	9	16
46	и с	6	15
47	xix века	4	15
48	в мире	12	15
49	но это	8	15
50	в этой	12	15
51	с его	6	15
52	подпольного человека	7	14
53	и даже	1	14
54	достоевский в	7	14
55	это не	10	14
56	о том	5	13
57	преступление и	2	13
58	творчестве достоевского	7	13
59	а не	36	13
60	в котором	9	12
61	в своей	18	11
62	все же	2	11
63	достоевского это	3	11
64	преступления и	4	11
65	братьях карамазовых	5	11
66	героев достоевского	2	11
67	для него	28	11
68	что достоевский	4	11
69	в самом	15	10
70	достоевского как	2	10
71	и достоевский	18	10
72	он сам	11	10
73	в русской	4	10
74	и наказания	2	10
75	не в	16	10
76	в конце	11	10
77	только в	7	10
78	иван карамазов	18	10
79	когда он	3	10
80	герои достоевского	6	10
81	и наказание	1	10
82	уже в	6	10
83	так и	5	10
84	но не	8	10
85	как будто	4	10
86	в душе	1	9
87	в своих	4	9
88	наряду с	1	9
89	по природе	2	9
90	в братьях	5	9
91	в изображении	1	9
92	для достоевского	11	9
93	и от	3	9
94	один из	9	9
95	жизни в	3	9
96	в свою	5	9
97	записки из	1	9
98	человека в	26	9
99	в нем	26	9
100	в духе	6	8
101	не менее	1	8
102	так же	5	8
103	достоевским в	5	8
104	к этому	3	8
105	ивана карамазова	10	8
106	хотя и	2	8
107	одним из	2	8
108	вместе с	7	8
109	одной из	1	8
110	еще не	1	8
111	в себе	12	8
112	так как	10	8
113	в их	4	8
114	романов достоевского	3	8
115	на его	1	8
116	об этом	2	8
117	вовсе не	1	8
118	человека и	19	8
119	достоевского к	8	7
120	в этих	6	7
121	и сам	1	7
122	уже не	8	7
123	казалось бы	1	7
124	в записках	2	7
125	за собой	2	7
126	он видит	1	7
127	что она	5	7
128	влияние на	1	7
129	и он	21	7
130	в которой	8	7
131	в чем	3	7
132	творчество достоевского	16	7
133	не случайно	1	7
134	человеческой личности	11	7
135	достоевского и	12	7
136	самом деле	2	7
137	идей в	1	7
138	и оскорбленных	1	7
139	униженных и	1	7
140	в момент	3	6
141	еще более	3	6
142	не столько	1	6
143	о великом	6	6
144	и как	3	6
145	если он	7	6
146	на эту	1	6
147	но у	2	6
148	хотя бы	8	6
149	достоевского но	4	6
150	его в	6	6
151	записок из	5	6
152	так что	3	6
153	и ее	2	6
154	а потому	1	6
155	своих героев	2	6
156	с ним	5	6
157	если бы	5	6
158	и все	13	6
159	творчества достоевского	1	6
160	приводит к	2	6
161	достоевского нет	7	6
162	записках из	2	6
163	настасьи филипповны	2	6
164	все эти	3	6
165	xx века	1	6
166	в бытовой	1	6
167	место в	4	6
168	из всех	1	5
169	мысли и	2	5
170	что человек	5	5
171	быть может	9	5
172	у пушкина	1	5
173	в них	5	5
174	русской жизни	1	5
175	с другой	1	5
176	приходит к	2	5
177	по отношению	4	5
178	в своем	17	5
179	в одной	1	5
180	во всей	1	5
181	все время	3	5
182	что они	4	5
183	что у	3	5
184	в ее	3	5
185	что и	6	5
186	не было	25	5
187	что не	3	5
188	я не	4	5
189	и это	16	5
190	и у	3	5
191	а с	1	5
192	что это	5	5
193	т п	1	5
194	в наше	2	5
195	если не	1	5
196	между тем	2	5
197	процесса в	1	5
198	значит что	4	5
199	наше время	1	5
200	не так	6	5
201	на деле	4	5
202	та же	4	5
203	с этим	4	5
204	в идиоте	3	5
205	самого достоевского	2	5
206	самим собой	1	5
207	в россии	2	5
208	достоевский как	2	5
209	не имеют	2	5
210	это все	2	5
211	по достоевскому	3	5
212	в истории	2	5
213	его романах	2	5
214	до конца	16	5
215	в образе	4	5
216	настасья филипповна	4	5
217	но если	4	5
218	тот же	1	5
219	ничего не	4	5
220	из этой	2	5
221	у гоголя	1	5
222	мы не	2	5
223	как у	2	5
224	бы не	4	5
225	но с	2	5
226	но эта	2	5
227	великом инквизиторе	7	5
228	и по	4	5
229	и других	2	5
230	что я	1	5
231	как он	4	5
232	отношению к	4	5
233	с этой	4	4
234	в финале	1	4
235	достоевского можно	1	4
236	говорит о	1	4
237	с собой	5	4
238	на земле	7	4
239	тем что	7	4
240	роль в	2	4
241	в xx	1	4
242	так в	1	4
243	восходит к	1	4
244	но эти	1	4
245	о достоевском	8	4
246	говорить о	1	4
247	и когда	2	4
248	говорит что	3	4
249	превращается в	1	4
250	не вполне	1	4
251	рассказывает о	1	4
252	что все	5	4
253	точки зрения	6	4
254	это значит	3	4
255	это прежде	1	4
256	к нему	8	4
