N	4gram	Propp_Isto	DiskursI
1	с одной стороны и	1	5
2	дело в том что	2	5
3	не говоря уже о	1	3
4	в тех случаях когда	1	2
5	мы имеем дело не	1	2
6	имеем дело не с	1	2
7	бы то ни было	2	2
8	не что иное как	3	1
9	однако подобно тому как	1	1
10	только после того как	1	1
11	в той последовательности в	1	1
12	в том что и	1	1
13	никогда не было и	1	1
14	в большей или меньшей	1	1
15	иметь в виду что	1	1
16	но в отличие от	3	1
17	с другой стороны в	1	1
18	внимание на то что	1	1
19	в том что они	3	1
20	к тому или иному	1	1
21	которых можно было бы	1	1
22	с большей или меньшей	1	1
23	по мере того как	4	1
24	в том что он	1	1
25	в том случае когда	1	1
26	все дело в том	1	1
27	той последовательности в какой	1	1
28	есть не что иное	2	1
