N	2gram	Nazirov_Tv	Retstnzi
1	не может	9	4
2	и в	40	3
3	достоевского и	5	2
4	если в	3	2
5	один из	5	2
6	и школы	1	2
7	может и	1	1
8	этой проблемы	2	1
9	этого исследователя	1	1
10	может быть	11	1
11	не только	16	1
12	событий и	2	1
13	может не	2	1
14	для него	9	1
15	первая часть	4	1
16	подхода к	3	1
17	в ней	2	1
18	в каждом	4	1
19	связи с	2	1
20	не из	1	1
21	русского литературного	1	1
22	на месте	1	1
23	с другими	1	1
24	в анализе	1	1
25	если бы	4	1
26	в школе	1	1
27	художественного произведения	1	1
28	в его	19	1
29	ничего кроме	1	1
30	не менее	8	1
31	но и	10	1
32	мы видим	3	1
33	второй части	2	1
34	к тому	2	1
35	из контекста	1	1
36	анализа и	1	1
37	во второй	3	1
38	тому что	2	1
39	в то	23	1
40	из этих	1	1
41	и событий	1	1
42	он в	1	1
43	же время	18	1
44	то же	19	1
45	а не	9	1
46	нет и	1	1
47	и должно	2	1
48	и не	12	1
49	о литературе	1	1
50	и все	6	1
51	и на	12	1
52	русской литературы	3	1
53	художественного целого	1	1
