N	3gram	Losev_Prob	Stilisti
1	в то же	2	9
2	для того чтобы	3	7
3	то же время	1	7
4	того или иного	2	5
5	с точки зрения	13	5
6	в свою очередь	2	4
7	той или иной	4	4
8	то или иное	1	4
9	ту или иную	1	4
10	с самого начала	3	4
11	то же самое	2	4
12	прежде всего в	1	4
13	но и в	2	3
14	как мы уже	1	3
15	на самом деле	2	3
16	в конце концов	7	3
17	как мы видели	1	3
18	тех или иных	2	3
19	мы уже видели	1	3
20	не только в	5	3
21	но все же	2	3
22	и для того	1	2
23	само собой разумеется	2	2
24	в самом деле	1	2
25	и в сознании	1	2
26	чуть ли не	1	2
27	вместе с тем	5	2
28	и том же	1	2
29	же самое время	1	2
30	и тем же	1	2
31	не может быть	2	2
32	по отношению к	2	2
33	о том что	14	2
34	можно сказать что	4	2
35	и как бы	2	2
36	связи с этим	1	2
37	одном и том	1	2
38	не что иное	3	2
39	что перед нами	2	2
40	но в то	2	2
41	только потому что	1	2
42	равно как и	2	2
43	как мы увидим	1	2
44	на первый взгляд	1	2
45	в связи с	11	2
46	к тому что	1	2
47	что иное как	3	2
48	в этом отношении	4	2
49	оказывается что эта	1	1
50	в том что	13	1
51	в одном из	1	1
52	таким образом мы	1	1
53	и в смысловом	1	1
54	так и всего	1	1
55	о котором мы	1	1
56	приходит к мысли	1	1
57	представим себе что	1	1
58	точки зрения весь	1	1
59	в прямом и	1	1
60	на всех этих	1	1
61	и никак не	2	1
62	в себе все	1	1
63	как и вообще	1	1
64	в большинстве случаев	1	1
65	по крайней мере	8	1
66	в русской литературе	3	1
67	уже содержит в	1	1
68	в силу которого	1	1
69	мы увидим ниже	1	1
70	и ни к	1	1
71	и в особенности	1	1
72	ни в какой	4	1
73	хотя бы одной	2	1
74	в жизни и	1	1
75	тот факт что	1	1
76	мы как раз	1	1
77	перед тем как	1	1
78	и не было	1	1
79	тем не менее	8	1
80	все еще не	1	1
81	только в том	2	1
82	художественного творчества и	1	1
83	и наконец в-третьих	1	1
84	в одном и	1	1
85	до конца только	1	1
86	об этом мы	1	1
87	более или менее	1	1
88	и не нужно	1	1
89	но даже и	4	1
90	не говоря уже	2	1
91	говорить не о	1	1
92	хотя бы на	2	1
93	но не только	1	1
94	вновь и вновь	1	1
95	до сих пор	3	1
96	именно потому что	1	1
97	слова то есть	2	1
98	одним и тем	1	1
99	содержит в себе	1	1
100	здесь нет и	1	1
101	то есть весь	1	1
102	бросается в глаза	2	1
103	и оказывается что	1	1
104	является не просто	1	1
105	ничто не мешает	1	1
106	мы совершенно не	1	1
107	и никогда не	2	1
108	не только о	1	1
109	не только не	1	1
110	людей но в	1	1
111	хотя бы в	1	1
112	в те времена	2	1
113	как раз и	1	1
114	и все же	1	1
115	от страха и	1	1
116	что представляет собой	1	1
117	в нем и	2	1
118	в нашем смысле	4	1
119	с другой стороны	7	1
120	из которых каждая	1	1
121	вопрос о том	1	1
122	жизни и в	2	1
123	должен был бы	1	1
124	здесь таким образом	1	1
125	только тогда когда	3	1
126	вовсе и не	1	1
127	на эту тему	2	1
128	можно было бы	2	1
129	всего того что	2	1
130	что несмотря на	1	1
131	и в этом	1	1
132	если мы будем	1	1
133	на одном примере	1	1
