N	4gram	Bakhtin_Fr	EvropaiC
1	до сих пор не	1	5
2	совершенно так же как	2	3
3	одного и того же	1	3
4	но вместе с тем	1	2
5	в то же время	14	2
6	то же самое что	1	1
7	но и с точки	1	1
8	в данном случае не	1	1
9	мы уже знаем что	1	1
10	до сих пор еще	2	1
11	одно и то же	1	1
12	стороны одного и того	1	1
13	в наиболее ясной и	1	1
14	вместе с тем и	1	1
15	дело в том что	4	1
16	и с точки зрения	2	1
17	и не может быть	1	1
18	в основе их лежит	1	1
19	две стороны одного и	1	1
20	и того же явления	1	1
21	в том числе и	3	1
22	мы уже говорили что	1	1
23	нет и не может	1	1
24	одной и той же	1	1
