N	2gram	Bakhtin_Fr	Otkroven
1	у него	4	22
2	и в	67	19
3	и не	23	13
4	но и	23	13
5	в этом	27	12
6	человека в	1	11
7	а не	6	11
8	не только	23	11
9	не в	8	11
10	может быть	4	11
11	человека и	1	10
12	и все	18	10
13	в нем	20	10
14	потому что	8	9
15	прежде всего	19	9
16	не было	3	9
17	в самой	8	9
18	никогда не	6	9
19	и он	4	8
20	он был	8	8
21	нет ничего	1	7
22	от него	2	7
23	ни с	2	7
24	в его	17	7
25	он не	9	7
26	но он	5	7
27	лишь в	3	7
28	до конца	2	7
29	человек не	1	7
30	все это	15	6
31	как и	19	6
32	в самом	7	5
33	в том	16	5
34	нужно искать	2	5
35	для него	4	5
36	в этой	13	5
37	а в	4	5
38	отношение к	1	5
39	в россии	1	5
40	о его	1	5
41	то что	9	5
42	человеку и	1	5
43	что в	14	4
44	и мысли	2	4
45	только и	1	4
46	того чтобы	9	4
47	не может	9	4
48	всегда есть	1	4
49	что не	4	4
50	все эти	12	4
51	на земле	2	4
52	и его	19	4
53	с его	11	4
54	и от	6	3
55	все что	3	3
56	в вихрь	1	3
57	чем на	2	3
58	что человек	2	3
59	и вот	4	3
60	хотя бы	2	3
61	это не	5	3
62	для того	8	3
63	с ним	6	3
64	мысли и	6	3
65	когда он	2	3
66	не могут	3	3
67	не исчезает	1	3
68	в своих	1	3
69	о природе	2	3
70	как бы	18	3
71	было бы	5	3
72	могут быть	1	3
73	в себе	3	3
74	и есть	5	3
75	что он	7	3
76	никто не	1	3
77	различие между	1	3
78	это было	4	3
79	нем нет	1	3
80	и ее	2	3
81	о том	8	3
82	того что	4	3
83	к нему	5	3
84	еще не	5	3
85	свобода и	3	2
86	и к	7	2
87	как к	2	2
88	и потому	1	2
89	так и	14	2
90	что они	3	2
91	и то	2	2
92	и против	1	2
93	в душе	1	2
94	все же	7	2
95	что у	2	2
96	никогда и	1	2
97	был еще	1	2
98	не могли	1	2
99	так как	16	2
100	и очень	1	2
101	за все	2	2
102	даже и	1	2
103	к ней	2	2
104	его не	5	2
105	и ни	3	2
106	уже в	1	2
107	любовь к	1	2
108	в человеческом	1	2
109	в другом	4	2
110	и любовь	1	2
111	так что	1	2
112	в своем	13	2
113	в этот	3	2
114	с тем	3	2
