N	2gram	Potebnia_M	VrazhdaK
1	не только	32	9
2	в этом	18	8
3	и в	58	8
4	и что	13	8
5	что в	34	7
6	и все	6	7
7	но и	26	7
8	то что	24	7
9	о нем	1	6
10	как и	16	6
11	и даже	4	6
12	и с	3	6
13	все же	11	6
14	в котором	5	6
15	в начале	2	6
16	в нем	26	6
17	но в	12	6
18	то же	13	5
19	у него	3	5
20	и не	34	5
21	между тем	7	5
22	об этом	1	5
23	в письме	1	5
24	не было	7	5
25	же время	4	5
26	в то	6	5
27	это не	10	4
28	при этом	17	4
29	несмотря на	5	4
30	с ним	7	4
31	для нас	29	4
32	все это	3	4
33	в виду	2	4
34	в своих	4	4
35	что он	5	4
36	уже в	5	4
37	о том	6	4
38	может быть	47	4
39	в ней	9	4
40	в истории	8	4
41	как бы	12	4
42	так же	7	4
43	что у	2	3
44	в его	7	3
45	в том	38	3
46	его в	3	3
47	связи с	6	3
48	мысль на	1	3
49	но он	3	3
50	давно уже	2	3
51	в связи	2	3
52	и как	11	3
53	далеко не	4	3
54	тем что	15	3
55	в чем	6	3
56	и у	3	3
57	человека в	3	3
58	эти слова	1	3
59	том что	21	3
60	в этот	1	3
61	он не	4	3
62	и уже	6	3
63	и о	3	3
64	что есть	3	3
65	одним из	2	3
66	в своем	3	3
67	на то	5	3
68	с его	3	3
69	и его	7	3
70	к этому	3	3
71	и во	6	3
72	в той	1	2
73	таким образом	21	2
74	начиная с	2	2
75	и то	4	2
76	ответ на	2	2
77	о влиянии	1	2
78	от сознания	1	2
79	после этого	2	2
80	время и	2	2
81	его с	3	2
82	б и	2	2
83	к себе	1	2
84	мы знаем	2	2
85	с точки	4	2
86	для него	13	2
87	его и	1	2
88	по мнению	4	2
89	нашего времени	1	2
90	о которой	2	2
91	же не	2	2
92	в них	7	2
93	как же	1	2
94	же в	7	2
95	отношения к	2	2
96	его на	3	2
97	в мире	3	2
98	там же	9	2
99	их в	2	2
100	же как	1	2
101	в своей	3	2
102	рядом с	3	2
103	вместе с	12	2
104	так в	4	2
105	в известном	2	2
106	не менее	10	2
107	и это	3	2
108	в эту	2	2
109	еще не	9	2
110	при создании	1	2
111	но как	4	2
112	в свою	8	2
113	в этой	3	2
114	в нашей	2	2
115	что к	2	2
116	при помощи	2	2
117	тогда как	10	2
118	а в	11	2
119	на это	2	2
120	к ним	3	2
121	отношение к	1	2
122	уже не	4	2
123	из них	2	2
124	в себе	22	2
125	что я	2	2
126	с нею	6	2
127	в глазах	4	2
128	не может	30	2
129	место в	3	2
130	столь же	6	2
131	том же	3	2
132	точки зрения	8	2
133	тем более	2	2
134	одна из	4	2
135	но это	7	2
136	во время	5	2
137	не мог	3	2
138	и ее	1	2
139	пришел к	1	2
140	никогда не	7	2
141	могли быть	1	2
142	души и	9	1
143	возможно при	1	1
144	в особенности	1	1
145	все в	2	1
146	к сожалению	1	1
147	тою же	1	1
148	в самом	5	1
149	во всем	5	1
150	то в	6	1
151	как к	1	1
152	способности к	1	1
153	именно к	1	1
154	так и	17	1
