N	4gram	Vygotskiy_	Hudozhes
1	состоит в том что	7	4
2	мы имеем в виду	1	3
3	одно и то же	1	3
4	одного и того же	8	3
5	в том числе и	2	2
6	в том что он	3	2
7	бы то ни было	1	2
8	с этой точки зрения	7	2
9	той мере в какой	2	1
10	с логической точки зрения	1	1
11	не что иное как	2	1
12	заключается в том что	10	1
13	в первую очередь по	1	1
14	до того времени когда	1	1
15	в той мере в	3	1
16	и по отношению к	1	1
17	и те и другие	1	1
18	едва ли не первым	1	1
19	в этом смысле можно	1	1
20	а с другой стороны	2	1
21	с одной стороны и	2	1
22	на вопрос что такое	1	1
23	мы имеем дело с	1	1
24	в связи с этим	1	1
25	есть не что иное	2	1
