N	3gram	Tiupa_Anal	Sotsiolo
1	по отношению к	9	2
2	дело не в	1	2
3	в том что	12	2
4	в конце концов	1	2
5	не в том	1	2
6	своего ремесла но	1	1
7	в то же	7	1
8	друг от друга	1	1
9	а между тем	1	1
10	что в них	1	1
11	в конечном счете	5	1
12	с одной стороны	3	1
13	в связи с	1	1
14	и должно было	1	1
15	все это по	1	1
16	по крайней мере	5	1
17	то же время	7	1
18	в противном случае	2	1
19	только то что	1	1
20	сама по себе	3	1
21	а с другой	1	1
22	во всяком случае	6	1
23	а в том	2	1
24	и наконец в	1	1
25	а тем более	2	1
