N	3gram	Losev_Vlad	Narrotol
1	в том что	13	18
2	не только в	3	13
3	к тому же	3	9
4	о том что	9	9
5	не может быть	4	8
6	тем не менее	8	8
7	то же время	7	8
8	в то же	7	8
9	в этом отношении	2	8
10	и тем самым	1	6
11	мы имеем дело	1	6
12	можно сказать что	3	6
13	с одной стороны	1	6
14	для того чтобы	3	5
15	в свою очередь	2	5
16	и все же	2	5
17	имеем дело с	1	5
18	к тому что	1	4
19	на другой день	1	4
20	во всяком случае	8	4
21	у нас нет	2	4
22	в том как	1	3
23	в самом деле	1	3
24	и не может	1	3
25	а в том	3	3
26	точно так же	2	3
27	не было и	1	3
28	в связи с	7	3
29	а также и	2	3
30	в ответ на	2	3
31	на то что	6	3
32	так и не	3	3
33	что у нее	1	3
34	дело в том	7	3
35	как раз в	1	3
36	и то что	7	3
37	и не в	1	2
38	ему казалось что	1	2
39	и в то	3	2
40	не в том	3	2
41	более или менее	5	2
42	и то же	1	2
43	что у него	2	2
44	не только не	1	2
45	на этот раз	7	2
46	а с другой	1	2
47	хотя и не	2	2
48	и потому что	3	2
49	мысль о том	1	2
50	прежде всего на	1	2
51	но и здесь	1	2
52	но все же	1	2
53	об этом и	2	2
54	к одному из	1	2
55	здесь мы имеем	1	2
56	одно и то	1	2
57	видел во сне	1	2
58	что иное как	2	2
59	еще и потому	2	2
60	по разным причинам	1	1
61	не спал всю	1	1
62	в самом начале	1	1
63	у него есть	1	1
64	то и в	1	1
65	и когда он	1	1
66	и тот же	2	1
67	и как бы	1	1
68	ничего подобного не	1	1
69	спал всю ночь	1	1
70	в письме к	12	1
71	имеют для них	1	1
72	мы уже знаем	1	1
73	этом же году	1	1
74	в той же	1	1
75	до известной степени	1	1
76	то что он	6	1
77	так и его	1	1
78	он уже не	2	1
79	последние дни жизни	1	1
80	в этом смысле	4	1
81	и называл себя	1	1
82	что я не	1	1
83	в первый раз	1	1
84	никак не мог	2	1
85	мы его не	1	1
86	он не может	1	1
87	за собой и	1	1
88	в том числе	1	1
89	течение всей жизни	2	1
90	был для него	2	1
91	об этом не	1	1
92	при этом в	2	1
93	не говоря о	1	1
94	а за ними	1	1
95	в его детских	1	1
96	потому что в	2	1
97	но на этот	1	1
98	свидетельствует о том	1	1
99	и притом весьма	1	1
100	том виде в	1	1
101	виде в каком	1	1
102	только у людей	1	1
103	в москве в	1	1
104	а в россии	1	1
105	так или иначе	3	1
106	сам по себе	1	1
107	так и в	1	1
108	в ней не	1	1
109	а также в	1	1
110	но в данном	1	1
111	с этой стороны	1	1
112	в его жизни	1	1
113	одно без другого	1	1
114	и о его	1	1
115	не менее не	1	1
116	в то что	1	1
117	в конце жизни	1	1
118	в следующем году	1	1
119	само по себе	1	1
120	и во многом	1	1
121	еще в году	2	1
122	было для него	2	1
123	в чем не	1	1
124	том что в	3	1
125	из них не	2	1
126	так как это	1	1
127	то ни было	1	1
128	не может не	1	1
129	которых он говорит	1	1
130	в целом и	1	1
131	а именно с	1	1
132	как раз и	2	1
133	сказать что он	1	1
134	только то что	1	1
135	вместил в себя	1	1
136	с другой стороны	3	1
137	нет никаких оснований	1	1
138	бы то ни	2	1
139	как мы увидим	2	1
140	не то что	2	1
141	так же в	1	1
142	о которых он	1	1
143	что можно сказать	2	1
144	и т д	3	1
145	есть не что	1	1
146	прежде всего его	1	1
147	и тем не	1	1
148	и особенно в	1	1
149	и от своего	1	1
150	но по разным	1	1
151	по крайней мере	1	1
152	в этом же	2	1
153	как это было	1	1
154	к этому времени	3	1
155	в последние дни	1	1
156	один и тот	2	1
157	в которой он	2	1
158	что он уже	1	1
159	той же самой	1	1
160	что же касается	8	1
161	что не только	1	1
162	никогда в жизни	1	1
163	как и сам	1	1
164	и в них	1	1
165	все что может	1	1
166	она в самом	1	1
167	на котором он	1	1
168	к жизни в	1	1
169	в то время	6	1
170	тем более что	2	1
171	в своем учении	1	1
172	несмотря на свою	1	1
173	отнюдь не с	1	1
174	не что иное	2	1
175	тех кто не	1	1
176	содержит в себе	1	1
177	как мы видели	1	1
178	том что и	1	1
179	них не может	1	1
180	только в формах	1	1
181	после знакомства с	1	1
182	так сказать с	1	1
183	у него уже	1	1
184	но отнюдь не	1	1
185	то время как	2	1
186	в себе не	1	1
187	том что он	4	1
188	на свои вопросы	1	1
189	и что в	1	1
190	своей встречи с	1	1
191	как это делает	2	1
192	то что я	1	1
193	не своим голосом	1	1
194	в том виде	1	1
195	уже не только	2	1
196	что и в	2	1
197	нет и не	1	1
198	ни в чем	1	1
199	на эту тему	2	1
200	к жизни и	1	1
201	не говорится но	1	1
202	может быть и	1	1
