N	4gram	Bakhtin_fo	Vvedenie
1	в то же время	10	6
2	в широком смысле слова	1	4
3	с одной стороны и	2	3
4	дело в том что	2	3
5	но в то же	2	3
6	с этой точки зрения	1	2
7	как мы уже знаем	1	2
8	одно и то же	4	2
9	одного и того же	6	2
10	приходит к выводу что	1	1
11	только в том что	1	1
12	наряду с этим в	1	1
13	и для того чтобы	1	1
14	не только в том	1	1
15	нечего и говорить о	1	1
16	дело не только в	1	1
17	одном и том же	1	1
18	той или иной степени	1	1
19	и прежде всего в	1	1
20	может быть и речи	2	1
21	но дело не только	1	1
22	все же в них	1	1
23	вообще не может быть	1	1
24	здесь не место для	1	1
25	в соответствии с этим	2	1
26	в одном и том	1	1
27	в связи с этим	4	1
28	имеет свои корни в	1	1
29	для того чтобы быть	1	1
30	но вместе с тем	1	1
31	мы имеем в виду	2	1
32	в той или иной	2	1
33	целого но все же	1	1
34	не может быть и	2	1
35	в том что в	1	1
36	и в этом отношении	1	1
37	и в особенности в	1	1
38	когда мы говорим о	1	1
