N	4gram	Vygotskiy_	Vladivir
1	в том что в	1	5
2	в то время как	3	5
3	не что иное как	1	4
4	то это значит что	1	4
5	и вместе с тем	3	4
6	только в том случае	4	3
7	в том что он	3	3
8	заключается в том что	8	3
9	том и заключается что	1	2
10	до тех пор пока	2	2
11	один и тот же	1	2
12	как мы увидим ниже	1	2
13	точно так же и	1	2
14	сводится к тому что	1	2
15	в том и заключается	1	2
16	одно и то же	3	2
17	свидетельствует о том что	1	2
18	в том случае если	4	2
19	до сих пор не	1	2
20	к разного рода событиям	1	1
21	с этой точки зрения	2	1
22	внимание на то как	2	1
23	на то что начиная	1	1
24	поскольку он принадлежит к	1	1
25	ни в каком случае	1	1
26	обычном смысле этого слова	1	1
27	взятый сам по себе	1	1
28	состоит в том что	1	1
29	и привело к тому	1	1
30	в том что она	2	1
31	уже с самого начала	1	1
32	это легко может показаться	1	1
33	и что она всегда	1	1
34	указать на то что	1	1
35	в том смысле как	1	1
36	указывает на то что	3	1
37	каком случае не может	1	1
38	в каком случае не	1	1
39	то что он не	1	1
40	одной и той же	3	1
41	в том что эта	1	1
42	в такой же мере	1	1
43	с другой стороны мы	1	1
44	все с теми же	1	1
45	вступила с ним в	1	1
46	том что он не	2	1
47	все больше и больше	2	1
48	из них не может	1	1
49	мы уже знаем что	1	1
50	разного рода событиям и	1	1
51	том случае если мы	1	1
52	имеют никакого отношения к	1	1
53	и то и другое	3	1
54	что это вовсе не	1	1
55	заключается в том чтобы	1	1
56	на то что он	1	1
57	и то что в	1	1
58	и заключать в себе	1	1
59	в обычном смысле этого	1	1
60	так же как и	1	1
61	в самом деле если	2	1
62	привело к тому что	1	1
63	не имеют никакого отношения	1	1
64	не в том что	1	1
