N	4gram	Trubetskoy	Myshleni
1	одного и того же	1	17
2	состоит в том что	1	17
3	с этой точки зрения	2	16
4	один и тот же	1	12
5	в том числе и	4	10
6	но вместе с тем	2	9
7	все более и более	1	8
8	вместе с тем и	1	7
9	одном и том же	1	6
10	точно так же как	2	6
11	а с другой стороны	1	5
12	и вместе с тем	3	5
13	все что мы знаем	1	5
14	совершенно так же как	1	5
15	что мы знаем о	1	4
16	в том что они	1	4
17	в самом деле если	1	4
18	указывает на то что	1	4
19	мы имеем в виду	1	3
20	ни один из этих	1	3
21	в том виде в	2	3
22	том виде в каком	1	3
23	с психологической точки зрения	1	3
24	бы то ни было	2	3
25	но тем не менее	1	2
26	с нашей точки зрения	1	2
27	в то же время	2	2
28	друг с другом не	1	2
29	с точки зрения того	1	2
30	этим дело не исчерпывается	1	1
31	с другой стороны сами	1	1
32	есть не более как	1	1
33	но и потому что	1	1
34	во всяком случае не	3	1
35	и только в силу	1	1
36	может показаться что учение	1	1
37	не указывает на то	1	1
38	а вместе с тем	1	1
39	или по крайней мере	1	1
40	в данном случае мы	1	1
41	заключает в себе две	1	1
42	это и есть то	1	1
43	только в силу этого	1	1
44	в одном и том	1	1
45	на то что эти	1	1
46	во всяком случае в	1	1
47	между этими двумя моментами	1	1
48	с первого взгляда может	1	1
49	имеющие ничего общего с	1	1
50	влияют друг на друга	1	1
51	с одной стороны с	1	1
52	и в то же	1	1
53	что и те и	2	1
54	не имеющие ничего общего	1	1
55	данном случае мы имеем	1	1
56	и даже там где	1	1
57	в связи с тем	1	1
58	но этим дело не	1	1
59	и те и другие	2	1
60	в силу этого и	1	1
61	ничем не отличаются от	1	1
62	представляет собой совершенно особую	1	1
63	в чем именно заключается	1	1
64	то же самое происходит	1	1
65	и в этом отношении	1	1
