N	2gram	Savitsky_E	Istorich
1	и в	37	181
2	и т	1	160
3	т д	1	142
4	т е	9	133
5	может быть	6	115
6	не только	18	114
7	что в	21	90
8	но и	14	85
9	в этом	12	81
10	так как	7	75
11	то что	6	73
12	таким образом	2	72
13	вместе с	2	71
14	и не	14	67
15	мы видим	2	65
16	все же	1	65
17	в этих	2	64
18	не может	9	61
19	этих случаях	1	60
20	так же	9	57
21	то же	15	56
22	никогда не	3	56
23	в том	11	53
24	том что	6	53
25	а в	2	52
26	с другой	7	52
27	потому что	3	52
28	и что	2	51
29	что и	3	51
30	мы видели	3	49
31	а не	2	48
32	о том	3	48
33	связь с	1	47
34	не в	5	47
35	другой стороны	2	46
36	мы должны	2	44
37	но в	14	44
38	и его	1	43
39	мы знаем	1	42
40	в нем	1	42
41	только в	9	42
42	как в	3	42
43	представление о	2	41
44	или в	2	39
45	тем что	3	38
46	и на	6	38
47	в его	2	38
48	для нас	4	38
49	как и	7	37
50	уже не	1	37
51	он не	2	37
52	так и	10	37
53	мы увидим	1	36
54	мы можем	3	36
55	с тем	3	35
56	мы не	4	35
57	все эти	1	35
58	связи с	1	34
59	но не	5	34
60	а именно	2	34
61	что это	2	34
62	же как	5	33
63	там где	3	33
64	об этом	1	33
65	в качестве	14	32
66	один из	1	31
67	прежде всего	9	31
68	то это	1	31
69	представляет собой	3	31
70	с этим	2	30
71	с одной	8	30
72	к нему	2	30
73	при помощи	2	30
74	но все	1	29
75	одной стороны	8	29
76	как мы	5	29
77	но это	1	29
78	и другие	1	28
79	и с	2	28
80	например в	1	28
81	здесь можно	1	27
82	могут быть	2	27
83	того что	7	27
84	в ином	1	27
85	как это	4	26
86	мы здесь	1	26
87	в ней	4	26
88	вопрос о	4	25
89	не менее	1	24
90	было бы	8	24
91	в виде	5	24
92	если бы	2	24
93	что мы	1	24
94	как бы	6	23
95	и это	1	23
96	в этой	2	23
97	когда он	3	23
98	в частности	5	23
99	и по	5	22
100	с ним	1	22
101	при этом	1	22
102	в некоторых	2	22
103	связано с	3	21
104	в одном	2	21
105	сказать что	4	21
106	в связи	1	21
107	к тому	8	21
108	ее в	3	21
109	из них	3	20
110	она не	2	20
111	наряду с	2	20
112	одна из	1	20
113	в других	2	20
114	в силу	2	20
115	видели что	1	20
116	а затем	1	19
117	с собой	1	19
118	в тех	1	19
119	в другой	2	19
120	все еще	1	19
121	на то	6	19
122	и как	2	19
123	в то	16	18
124	в данном	3	18
125	вовсе не	6	18
126	в них	3	17
127	нас к	2	17
128	выше мы	1	17
129	то и	1	17
130	и только	3	17
131	во всех	6	16
132	этот вопрос	2	16
133	всех этих	1	16
134	то мы	1	16
135	в котором	2	16
136	и все	2	16
137	со стороны	5	16
138	связана с	1	16
139	даже в	4	15
140	в пределах	25	15
141	случаи когда	1	15
142	увидим что	1	15
143	что при	1	15
144	и то	2	15
145	в своей	8	15
146	в которых	3	15
147	данном случае	2	15
148	в одной	1	15
149	как будто	2	15
150	и даже	6	15
151	на его	1	15
152	некоторых случаях	1	15
153	и тем	3	15
154	он в	1	15
155	с этой	6	14
156	по отношению	1	14
157	в исторической	1	14
158	можно было	3	14
159	и ее	1	14
160	одной из	5	14
161	на вопрос	1	14
162	у нас	1	14
163	его на	2	14
164	должна быть	2	14
165	но они	1	14
166	с ней	1	14
167	а также	7	14
168	на себя	3	14
169	и наконец	2	14
170	или на	1	13
171	в своем	14	13
172	время как	1	13
173	по себе	4	13
174	то время	1	13
175	тогда как	1	13
176	в северной	2	13
177	и для	3	13
178	в себе	9	13
179	все что	1	13
180	установить что	1	13
181	на этом	1	13
182	и от	3	13
183	с ними	1	13
184	не имеет	4	13
185	и если	2	13
186	во всем	1	12
187	кроме того	1	12
188	хотя бы	15	12
189	утверждать что	2	12
190	в их	11	12
191	к ней	4	12
192	к этой	1	12
193	что не	1	12
194	между прочим	7	12
195	в более	1	12
196	случаях когда	2	12
197	в русских	1	12
198	и их	1	12
199	в этот	1	11
200	некоторое время	1	11
201	к которому	1	11
202	точки зрения	23	11
203	от этого	5	11
204	должны быть	1	11
205	главным образом	2	11
206	уже в	1	11
207	же в	2	11
208	происходит в	2	11
209	имеется в	1	11
210	на острове	1	11
211	тех случаях	1	11
212	хотя и	2	11
213	относится к	1	11
214	дает нам	1	11
215	и более	2	11
216	такой же	2	11
217	далеко не	2	11
218	и к	3	10
219	не как	1	10
220	на земле	1	10
221	к ним	3	10
222	от них	3	10
223	но так	1	10
224	не было	1	10
225	и тот	1	10
226	его к	1	10
227	на основе	2	10
228	вслед за	6	10
229	что же	2	10
230	но если	5	10
231	и других	2	10
232	говорит о	3	10
233	то не	2	10
234	приходит к	1	10
235	друг с	3	10
236	в состоянии	1	10
237	в ее	8	10
238	но как	2	10
239	если не	1	10
240	ли он	1	10
241	а если	1	10
242	только одна	1	10
243	а на	1	10
244	есть только	1	10
245	что эти	2	10
246	что эта	1	10
247	не можем	2	10
248	более или	1	9
249	себе в	3	9
250	она в	3	9
251	в австралии	1	9
252	не будет	3	9
253	тогда когда	2	9
254	в течение	5	9
255	в свою	3	9
256	целый ряд	2	9
257	на этот	2	9
258	тот же	1	9
259	зависит от	1	9
260	что за	1	9
261	не могут	2	9
262	или же	1	9
263	означает что	1	9
264	в основе	1	9
265	в истории	2	9
266	с его	1	9
267	но по	2	9
268	с другом	3	9
269	или менее	1	9
270	это так	3	9
