N	4gram	Berdyaev_M	Marksizm
1	одни и те же	1	5
2	и не может быть	1	5
3	не может быть и	1	4
4	может быть и речи	1	4
5	в том что он	1	4
6	все более и более	1	3
7	быть и речи о	1	3
8	одной и той же	2	3
9	не может быть непосредственно	1	2
10	одна и та же	2	2
11	так же как и	1	2
12	никогда не может быть	2	1
13	не что иное как	4	1
14	плоти и кровь от	3	1
15	не значит конечно что	1	1
16	не сам по себе	1	1
17	от плоти и кровь	3	1
18	и по отношению к	1	1
19	в ней нет ничего	1	1
20	в нем нет ничего	1	1
21	в обычном смысле слова	1	1
22	и добро и зло	1	1
23	что он мог бы	1	1
24	а может быть и	1	1
25	это не значит конечно	1	1
26	и там и здесь	6	1
27	и потому она может	1	1
28	по отношению к нему	1	1
29	плоть от плоти и	3	1
30	достоевский в дневнике писателя	1	1
31	и кровь от крови	3	1
32	у нас не было	2	1
33	одну и ту же	1	1
34	в том что это	1	1
35	до сих пор не	1	1
