N	2gram	Tiupa_Hudo	NovoeSre
1	а не	13	17
2	не может	9	16
3	и в	23	16
4	нового времени	2	12
5	и не	16	11
6	и есть	1	10
7	что в	7	9
8	в том	20	8
9	жизни и	1	8
10	он не	4	8
11	в этом	12	7
12	может быть	19	7
13	не будет	3	7
14	как и	3	7
15	ни в	5	6
16	не знает	4	6
17	не в	9	6
18	лишь в	7	6
19	с его	6	6
20	никогда не	2	6
21	и к	3	5
22	не только	20	5
23	все это	2	5
24	xix века	2	5
25	в жизни	3	5
26	в нем	6	5
27	с ее	6	5
28	должен быть	2	5
29	культуры в	3	5
30	и потому	2	4
31	по своему	3	4
32	быть может	1	4
33	не во	1	4
34	должно быть	1	4
35	потому что	3	4
36	это не	4	4
37	прежде всего	5	4
38	в них	2	4
39	то что	5	4
40	не было	1	4
41	новое время	1	4
42	не менее	5	4
43	не имеет	1	4
44	и для	3	4
45	о том	2	4
46	во всех	3	3
47	истории не	1	3
48	не означает	1	3
49	и пр	1	3
50	тому как	3	3
51	в ее	6	3
52	что такое	2	3
53	в прошлом	1	3
54	к реальному	1	3
55	за пределы	2	3
56	стремится к	1	3
57	подобно тому	3	3
58	в истории	1	3
59	не существует	1	3
60	в новое	1	3
61	с другой	9	3
62	в основе	7	3
63	к ним	1	3
64	сказать что	4	3
65	к жизни	2	3
66	не есть	1	3
67	в своей	7	3
68	в мире	24	3
69	как в	2	3
70	жизни в	2	3
71	но и	14	3
72	это было	1	3
73	начало нового	1	3
74	жизни не	1	3
75	к тому	4	3
76	человека и	2	3
77	еще не	4	3
78	с этим	1	2
79	все они	1	2
80	более не	2	2
81	и от	1	2
82	это и	2	2
83	ни к	2	2
84	в центре	1	2
85	я уже	1	2
86	и что	4	2
87	не могли	2	2
88	что она	2	2
89	личность в	1	2
90	духовной жизни	2	2
91	зависит от	1	2
92	с одной	3	2
93	такого рода	12	2
94	того чтобы	5	2
95	хотя и	4	2
96	переход к	1	2
97	природе и	1	2
98	так и	12	2
99	как это	7	2
100	самой жизни	1	2
101	если нет	1	2
102	но она	2	2
103	сама жизнь	1	2
104	одной стороны	3	2
105	не могла	1	2
106	другой стороны	6	2
107	времени и	2	2
108	с их	2	2
109	этом смысле	3	2
110	том и	2	2
111	в русском	1	2
112	у него	2	2
113	место в	5	2
114	и общества	1	2
115	а в	13	2
116	когда мы	1	2
117	и даже	1	2
118	века и	1	2
119	и формы	1	2
120	на уровне	1	2
121	мы говорим	1	2
122	жизни как	4	2
123	для этого	1	2
124	xviii века	1	2
125	могут быть	5	2
126	в себе	13	2
127	и на	3	2
128	уже не	6	2
129	мира а	1	2
130	я не	2	2
131	что все	1	2
132	времени в	2	2
133	все эти	2	2
134	есть в	3	2
135	же как	1	2
136	вместе с	1	2
137	который в	2	2
138	одна из	2	2
139	жизнью в	1	2
140	мира и	2	2
141	роль в	2	2
142	как будто	1	2
143	должно стать	1	2
144	но не	13	2
145	в то	8	2
146	том что	9	2
147	в мировой	1	2
148	так же	2	2
149	и это	2	2
150	можно назвать	1	2
151	но для	1	2
152	себя в	8	2
153	но в	10	2
154	и т.п	7	2
155	к более	2	2
156	связаны с	1	2
157	к содержанию	3	2
158	войны и	1	2
159	в той	3	1
160	своего рода	9	1
161	и мир	1	1
162	войне и	2	1
163	в самом	7	1
164	к одному	1	1
165	мир все	2	1
166	и пути	1	1
167	и того	3	1
168	до этого	1	1
169	обращена к	1	1
170	во внешних	1	1
171	заинтересована в	1	1
172	может иметь	1	1
173	том случае	1	1
174	можно сказать	6	1
175	все что	1	1
176	человек как	1	1
177	для всех	1	1
178	ночь и	1	1
179	в более	1	1
180	вступить в	1	1
181	как ни	1	1
182	и более	2	1
183	в котором	1	1
184	освобождения от	1	1
185	по преимуществу	3	1
186	и мира	1	1
187	значение в	1	1
188	тоже не	1	1
189	в статье	1	1
190	отличие от	7	1
191	рода и	1	1
192	же и	1	1
193	они не	1	1
194	из них	1	1
195	есть нарушение	1	1
196	случае если	1	1
197	свидетельствует о	1	1
198	жизни а	2	1
199	которая в	1	1
200	своей природе	2	1
201	для будущего	1	1
202	на ее	1	1
203	и процесс	1	1
204	в свою	3	1
205	в значительной	2	1
206	от мира	1	1
207	в состоянии	1	1
208	для себя	4	1
209	из этих	3	1
210	том числе	3	1
211	ей было	1	1
212	можно лишь	1	1
213	не должно	1	1
214	одну из	1	1
215	но во	2	1
216	для того	5	1
217	вопросу о	1	1
218	не по	1	1
219	быть не	1	1
220	процессы которые	1	1
221	воспринимаются как	1	1
222	не быть	1	1
223	не для	1	1
224	на всех	2	1
225	вступление в	1	1
226	думаю что	1	1
227	лишь для	1	1
228	и зло	1	1
229	не всегда	2	1
230	имея в	1	1
231	он и	2	1
232	было бы	1	1
233	в сущности	1	1
234	в формах	2	1
