N	2gram	Losev_Vlad	Retstnzi
1	не может	12	4
2	и в	56	3
3	если в	1	2
4	один из	4	2
5	крупнейших представителей	1	1
6	в особенности	4	1
7	несмотря на	7	1
8	может быть	12	1
9	не только	35	1
10	точки зрения	4	1
11	может не	1	1
12	для него	16	1
13	с теми	2	1
14	в ней	5	1
15	тех же	3	1
16	в каждом	1	1
17	связи с	7	1
18	не из	2	1
19	из крупнейших	1	1
20	бы на	2	1
21	на месте	2	1
22	можно и	1	1
23	с другими	1	1
24	часть книги	1	1
25	лучше всего	1	1
26	больше ничего	1	1
27	его от	2	1
28	если бы	2	1
29	с самых	1	1
30	в его	18	1
31	ничего кроме	1	1
32	еще большим	1	1
33	не менее	9	1
34	и форму	1	1
35	своих работ	1	1
36	именно с	2	1
37	от общей	1	1
38	но и	26	1
39	вторая половина	1	1
40	к тому	5	1
41	во второй	3	1
42	сравнении с	2	1
43	можно назвать	1	1
44	тому что	1	1
45	и можно	4	1
46	в то	15	1
47	из этих	5	1
48	и больше	3	1
49	вообще всякого	1	1
50	он в	4	1
51	ни один	1	1
52	же время	7	1
53	то же	10	1
54	по своим	3	1
55	а не	5	1
56	без учета	1	1
57	бы в	1	1
58	нет и	2	1
59	и должно	1	1
60	и не	33	1
61	так называемая	1	1
62	на нее	1	1
63	и все	8	1
64	и на	7	1
65	вполне понятно	1	1
