N	4gram	Propp_Morf	Literetu
1	в то же время	1	21
2	состоит в том что	3	8
3	с этой точки зрения	1	5
4	бы то ни было	2	4
5	какого бы то ни	1	3
6	одно и то же	1	2
7	не что иное как	2	1
8	которые не могут быть	1	1
9	в этом и нет	1	1
10	и тем не менее	2	1
11	вопрос о том как	1	1
12	с другой стороны у	1	1
13	все более и более	1	1
14	да в этом и	1	1
15	начинается с того что	2	1
16	но это и не	1	1
17	во всех подобных случаях	1	1
18	в том что он	1	1
19	не имеет ничего общего	1	1
20	приводит к тому что	1	1
21	невозможно да в этом	1	1
22	ответ на свой вопрос	1	1
