N	3gram	Medvedev_U	RusskieA
1	в том что	2	49
2	в этом случае	1	12
3	в данном случае	1	8
4	но это не	1	8
5	не может быть	4	6
6	более или менее	1	3
7	до сих пор	2	3
8	на то что	1	3
9	все же не	1	3
10	с тем что	1	3
11	друг с другом	1	2
12	с другой стороны	3	2
13	равно как и	1	2
14	можно сказать что	1	2
15	не только в	1	2
16	с одной стороны	1	2
17	в этом отношении	2	2
18	не все в	1	1
19	для него не	1	1
20	у нас в	1	1
21	сам по себе	1	1
22	то о чем	1	1
23	а между тем	2	1
24	то что ему	1	1
25	и у других	1	1
26	его и в	1	1
27	то же самое	2	1
28	не входит в	1	1
29	оно все же	1	1
30	идет не о	1	1
31	быть не может	1	1
32	в противном случае	2	1
33	одним из самых	1	1
34	одно из первых	1	1
35	и не случайно	1	1
36	по меньшей мере	1	1
37	этом случае он	1	1
38	в первую очередь	1	1
39	очевидно что и	1	1
40	на первый взгляд	1	1
41	в этой же	1	1
42	и не только	1	1
