N	4gram	Losev_Dial	Myslijsy
1	по мере того как	1	14
2	в то же время	7	13
3	одной и той же	1	7
4	одно и то же	8	7
5	не в том что	1	7
6	в то время как	2	4
7	или по крайней мере	2	4
8	в том смысле что	3	4
9	не что иное как	4	4
10	а в том что	1	4
11	все более и более	1	4
12	дело в том что	1	4
13	то что мы называем	1	4
14	и в этом смысле	2	4
15	в том что он	1	3
16	сказать несколько слов об	1	3
17	между тем и другим	1	3
18	и то и другое	3	3
19	с одной стороны и	3	3
20	не говоря уже о	1	3
21	тем не менее в	1	3
22	а между тем в	1	3
23	и до сих пор	1	2
24	в том смысле как	1	2
25	потому что он не	1	2
26	вопрос о том что	1	2
27	если бы не было	1	2
28	одна и та же	5	2
29	сама по себе не	4	2
30	так а не иначе	1	2
31	которые не могут быть	1	2
32	само по себе не	1	1
33	именно в том что	1	1
34	возможна только потому что	1	1
35	как она есть но	1	1
36	и может быть только	1	1
37	не выходя за пределы	2	1
38	как одно и то	1	1
39	и т д в	1	1
40	же в таком случае	1	1
41	точки зрения можно сказать	1	1
42	с другой стороны в	1	1
43	что не только в	1	1
44	вовсе не в том	1	1
45	но это не значит	1	1
46	если бы это было	1	1
47	значение само по себе	1	1
48	это будет значить что	1	1
49	как более или менее	2	1
50	и вместе с тем	1	1
51	поэтический образ может быть	1	1
52	имеет ничего общего с	3	1
53	в том что она	1	1
54	само по себе и	1	1
55	дело вовсе не в	1	1
56	это значило бы что	1	1
57	до сих пор не	1	1
58	не только в смысле	1	1
59	что несмотря на все	1	1
60	и в некотором смысле	1	1
61	с точки зрения той	1	1
62	сам по себе не	1	1
63	что и то и	1	1
64	в том что именно	2	1
65	и в том и	1	1
66	когда мы говорим что	1	1
67	и о том что	1	1
68	иначе не было бы	1	1
69	это значит что я	1	1
70	как бы она ни	1	1
71	иметь в виду что	2	1
72	бы она ни была	1	1
73	отчет в том что	1	1
74	и т д и	3	1
75	не имеет ничего общего	3	1
76	мере того как он	1	1
77	так же как и	1	1
78	и в этом отношении	1	1
79	привело к тому что	1	1
80	точно так же как	1	1
81	д и т д	3	1
82	есть не что иное	3	1
