1	и т	23	45
2	т е	54	40
3	т д	21	39
4	в том	64	38
5	в этом	33	35
6	и в	79	35
7	может быть	28	30
8	том что	59	30
9	не только	41	26
10	для того	8	23
11	того чтобы	8	22
12	таким образом	17	21
13	также и	1	20
14	не может	13	19
15	то что	17	19
16	потому что	17	18
17	о том	23	16
18	со стороны	1	16
19	только в	7	16
20	так как	34	15
21	представляет собой	10	14
22	в общем	1	14
23	в самом	1	13
24	что в	57	13
25	и не	14	13
26	в нем	6	13
27	того что	8	12
28	в его	5	12
29	точки зрения	3	12
30	в их	6	12
31	как на	3	12
32	что такое	2	12
33	xix в	18	12
34	в ее	3	11
35	в данном	8	11
36	по себе	2	11
37	как мы	20	11
38	то же	9	11
39	между тем	10	10
40	прежде всего	5	10
41	в той	1	10
42	не в	7	10
43	но в	9	10
44	вопрос о	5	10
45	тем не	14	9
46	представляют собой	18	9
47	но не	9	9
48	из этих	7	9
49	смысле этого	1	9
50	в истории	1	9
51	не менее	14	9
52	и как	7	9
53	все же	10	9
54	а только	1	8
55	это не	20	8
56	о котором	1	8
57	именно в	4	8
58	можно было	5	8
59	как нечто	1	8
60	в качестве	6	8
61	с другой	5	8
62	только как	3	7
63	самом деле	2	7
64	выводу что	3	7
65	этот вопрос	4	7
66	к выводу	3	7
67	как и	28	7
68	представить себе	1	7
69	но и	31	7
70	в применении	1	7
71	в разных	5	7
72	и то	3	7
73	было бы	7	7
74	сих пор	3	7
75	как бы	31	7
76	до сих	3	7
77	в какой	3	6
78	сказать что	2	6
79	все это	18	6
80	и что	14	6
81	и даже	2	6
82	не могут	1	6
83	иное как	4	6
84	но если	5	6
85	этом случае	12	6
86	видеть что	1	6
87	и его	3	6
88	об этом	17	6
89	том чтобы	10	6
90	могут быть	4	6
91	как он	3	6
92	тем что	12	6
93	один из	15	6
94	в руки	4	6
95	и это	3	6
96	хотя бы	1	6
97	его в	10	6
98	а именно	3	6
99	так например	10	6
100	уже не	13	6
101	в то	5	6
