N	2gram	Savitsky_P	UchenyiS
1	и в	14	14
2	не только	17	10
3	а не	2	10
4	и не	12	8
5	прежде всего	3	8
6	то что	4	7
7	в этом	10	7
8	не может	4	7
9	может быть	5	6
10	хотя бы	8	5
11	то же	9	5
12	и только	1	5
13	все это	2	5
14	с другой	5	4
15	в этой	1	4
16	в россии	3	4
17	но и	6	4
18	к сожалению	1	3
19	было бы	6	3
20	не о	2	3
21	и то	1	3
22	только к	1	3
23	этой области	1	3
24	для этого	1	3
25	это не	3	3
26	как и	1	3
27	формы в	1	3
28	все же	1	3
29	в области	11	3
30	в частности	2	3
31	в то	7	3
32	не как	1	3
33	другой стороны	1	3
34	но в	9	3
35	же время	7	3
36	литературы и	1	2
37	в самом	1	2
38	должна была	1	2
39	могли бы	1	2
40	если бы	4	2
41	могут быть	3	2
42	является в	2	2
43	не в	5	2
44	бы и	1	2
45	и с	2	2
46	думается что	1	2
47	но не	3	2
48	мы и	1	2
49	более чем	2	2
50	в себе	3	2
51	в его	2	2
52	должна быть	1	2
53	мы не	3	2
54	именно как	2	2
55	между тем	3	2
56	не есть	1	2
57	на каждом	1	2
58	как раз	2	2
59	что мы	3	2
60	сводится к	3	2
61	в том	9	2
62	том что	4	2
63	и через	1	2
64	этом смысле	1	2
65	что и	1	2
66	не столько	2	2
67	с его	1	2
68	только в	7	2
69	по себе	4	2
70	что все	1	2
71	не все	1	2
72	было и	1	1
73	в г	1	1
74	что было	1	1
75	что в	4	1
76	чем к	1	1
77	не было	2	1
78	более или	1	1
79	всего что	1	1
80	и потому	4	1
81	образом на	2	1
82	наша задача	1	1
83	в которой	1	1
84	но идея	1	1
85	мы можем	1	1
86	в данном	1	1
87	и быть	1	1
88	и техники	1	1
89	как на	2	1
90	же как	1	1
91	в сфере	2	1
92	к следующему	1	1
93	в исторической	1	1
94	она должна	1	1
95	он будет	1	1
96	поэтики в	1	1
97	но для	1	1
98	развитие в	1	1
99	не ограничиваются	1	1
100	переходит в	1	1
101	науки они	2	1
102	тех кто	4	1
103	исходить из	1	1
104	она не	1	1
105	воспринимает не	1	1
106	чем то	1	1
107	в своем	4	1
108	тогда когда	1	1
109	с тем	3	1
110	в значительной	2	1
111	только как	1	1
112	тем в	1	1
113	в последние	2	1
114	одной стороны	3	1
115	начала и	2	1
116	но также	4	1
117	в отдельности	1	1
118	что по	1	1
119	же в	4	1
120	в ней	6	1
121	в порядке	3	1
122	отдельности и	1	1
123	известно не	1	1
124	связанные с	1	1
125	значительной мере	2	1
126	для тех	2	1
127	не вполне	1	1
128	на то	1	1
129	бы ни	2	1
130	в которых	5	1
131	обе эти	1	1
132	что с	1	1
133	в преодолении	1	1
134	где бы	2	1
135	в задачах	1	1
136	друг с	1	1
137	это в	1	1
138	поэзии и	1	1
139	отнюдь не	2	1
140	находятся в	1	1
141	и вся	1	1
142	в качестве	9	1
143	о котором	1	1
144	в нем	3	1
145	последние годы	1	1
146	ней не	2	1
147	sturm und	1	1
148	и что	1	1
149	в известном	1	1
150	одно из	1	1
151	признание что	2	1
152	и это	2	1
153	в различных	1	1
154	с одной	3	1
155	с другом	1	1
156	он был	1	1
157	должно быть	2	1
158	что при	1	1
159	историю в	1	1
160	само по	1	1
161	или менее	1	1
162	в пределах	8	1
163	тот же	3	1
164	далеко не	1	1
165	тем более	2	1
166	насколько мы	1	1
167	того что	2	1
168	друг другу	2	1
169	бы это	1	1
170	в котором	4	1
171	в виде	2	1
172	никогда не	1	1
