N	2gram	Ircho_Kome	Narrotol
1	не только	13	62
2	и не	28	50
3	при этом	11	47
4	но и	18	45
5	а не	5	38
6	в качестве	4	35
7	в частности	4	31
8	может быть	14	30
9	и в	37	30
10	в том	24	29
11	в этом	18	28
12	том что	22	28
13	а в	12	27
14	такого рода	2	26
15	представляет собой	5	25
16	только в	3	25
17	состоит в	2	25
18	как и	10	24
19	не в	7	23
20	то что	5	23
21	не может	9	20
22	в себе	4	17
23	так и	4	17
24	а также	3	17
25	со стороны	16	16
26	в его	12	16
27	к тому	11	15
28	можно сказать	1	15
29	но в	7	15
30	в жизни	1	14
31	и его	10	14
32	то же	14	13
33	в своей	6	13
34	о том	21	13
35	в своем	9	13
36	у него	10	13
37	времени и	2	13
38	все же	9	12
39	картины мира	1	12
40	сводится к	1	12
41	как в	4	12
42	перед нами	1	12
43	как бы	7	12
44	прежде всего	7	12
45	по отношению	6	11
46	об этом	12	11
47	к себе	9	11
48	хотя и	6	11
49	в мире	2	11
50	если бы	18	11
51	и тем	4	11
52	в этой	7	11
53	в нем	8	11
54	героя в	1	11
55	жизни в	1	11
56	в отличие	3	11
57	отличие от	5	11
58	тем самым	1	11
59	отношению к	4	11
60	один из	6	10
61	как правило	1	10
62	никогда не	5	10
63	тому же	11	10
64	точки зрения	8	10
65	всего лишь	2	10
66	между тем	6	10
67	как это	5	10
68	в то	14	10
69	и все	6	10
70	не является	5	10
71	жизни и	1	10
72	с его	6	10
73	ничего не	6	10
74	того что	1	10
75	но не	9	10
76	в соответствии	1	9
77	как раз	9	9
78	тем не	3	9
79	не сводится	1	9
80	я в	1	9
81	столь же	5	9
82	отнюдь не	5	9
83	что в	11	9
84	с ним	10	9
85	что он	15	9
86	еще не	10	9
87	потому что	19	9
88	во времени	1	9
89	для него	1	9
90	далеко не	3	9
91	в той	2	8
92	и к	4	8
93	в самом	17	8
94	в таком	2	8
95	о чем	11	8
96	не менее	9	8
97	не мог	2	8
98	он не	11	8
99	действующих лиц	7	8
100	и он	5	8
101	самом деле	13	8
102	того чтобы	9	8
103	мы имеем	4	8
104	же время	12	8
105	соответствии с	1	8
106	и для	7	8
107	этом отношении	2	8
108	у нас	1	8
109	но при	2	8
110	у нее	2	8
111	в финале	1	7
112	в принципе	1	7
113	при всей	2	7
114	в котором	6	7
115	с другой	5	7
116	едва ли	16	7
117	в ее	3	7
118	на себя	10	7
119	в конце	14	7
120	в чем	7	7
121	в силу	2	7
122	и на	6	7
123	же в	3	7
124	в свою	12	7
125	это не	3	7
126	вслед за	1	7
127	из наиболее	1	7
128	в глазах	10	7
129	или в	1	7
130	в ней	7	7
131	одного из	4	7
132	в целом	4	7
133	все что	6	6
134	в результате	2	6
135	например в	3	6
136	между двумя	2	6
137	сказать что	4	6
138	в нашем	1	6
139	на него	6	6
140	о ней	2	6
141	то в	1	6
142	что у	2	6
143	с одной	5	6
144	что и	12	6
145	в конечном	2	6
146	в случае	2	6
147	в детстве	2	6
148	не могла	3	6
149	главного героя	1	6
150	в современной	1	6
151	однако в	5	6
152	однако и	1	6
153	во втором	2	6
154	таким образом	16	6
155	представляют собой	3	6
156	никак не	2	6
157	к его	4	6
158	в слове	1	6
159	то и	1	6
160	из этих	2	6
161	в сознании	1	6
162	здесь не	2	6
163	ответ на	7	6
164	они не	2	6
165	уже говорилось	1	6
166	о нем	1	6
167	не по	7	6
168	одной стороны	4	6
169	на то	3	6
170	вплоть до	2	6
171	в центре	2	5
172	только что	11	5
173	исходя из	2	5
