N	4gram	Voloshinov	Stilisti
1	в то же время	6	7
2	одно и то же	1	5
3	одной и той же	3	4
4	все больше и больше	1	2
5	не что иное как	1	2
6	одни и те же	1	2
7	в зависимости от того	2	2
8	то что мы называем	2	2
9	но в то же	3	2
10	и в то же	1	2
11	есть не что иное	1	2
12	что же останется от	1	1
13	от того в какой	1	1
14	как мы уже знаем	1	1
15	то что же останется	1	1
16	в большинстве случаев только	1	1
17	сих пор говоря о	1	1
18	и в голову не	1	1
19	которые в последнем счете	1	1
20	и по отношению к	1	1
21	то или иное отношение	1	1
22	в жизни и в	1	1
23	в гораздо большей степени	1	1
24	не может быть понято	1	1
25	социальной группы к которой	1	1
26	это не совсем так	1	1
27	то же время служит	1	1
28	и не может быть	3	1
29	образуют то что мы	1	1
30	как по отношению к	1	1
31	борьбе за существование о	1	1
32	нет и не может	2	1
33	не может обойтись без	1	1
34	в собственном смысле слова	1	1
35	внутренней и внешней речи	3	1
36	той социальной группы к	1	1
37	и нет ничего удивительного	1	1
