N	2gram	Vygotskiy_	slovoVRo
1	и в	33	92
2	может быть	15	59
3	и его	6	59
4	в нем	10	59
5	и не	18	51
6	не только	28	44
7	не может	31	41
8	но и	14	39
9	до конца	3	37
10	в этом	43	36
11	а не	14	34
12	во всех	3	32
13	точки зрения	27	30
14	так и	8	30
15	языка и	6	29
16	могут быть	7	29
17	и др	1	29
18	в пределах	6	29
19	в его	15	27
20	слова в	3	26
21	языка в	1	25
22	все это	2	25
23	как бы	11	24
24	слова и	3	24
25	слово в	3	24
26	то же	12	23
27	и на	11	22
28	языков и	1	22
29	в сущности	17	21
30	как в	7	21
31	не в	10	21
32	вовсе не	2	21
33	в процессе	37	20
34	в то	5	20
35	прежде всего	5	19
36	как мы	20	19
37	с ним	6	18
38	как и	13	18
39	язык и	2	18
40	себя в	4	18
41	или иной	1	18
42	таким образом	30	17
43	оно не	2	17
44	и даже	3	17
45	все же	5	17
46	в основе	12	17
47	в истории	3	17
48	все эти	9	17
49	при этом	9	16
50	в них	3	16
51	отличие от	3	16
52	но в	9	16
53	в той	8	15
54	и с	7	15
55	с точки	12	15
56	той или	1	15
57	там где	2	15
58	только в	21	14
59	в отличие	3	14
60	так сказать	1	14
61	отношении к	2	13
62	в слове	1	13
63	это не	8	13
64	с другой	11	13
65	с его	3	13
66	точка зрения	8	13
67	рядом с	1	13
68	и следовательно	7	13
69	и для	3	13
70	и к	7	12
71	в отношении	18	12
72	еще не	11	12
73	во всяком	4	12
74	никогда не	10	12
75	и потому	3	12
76	или в	1	12
77	словом и	2	12
78	точек зрения	4	12
79	а в	5	12
80	отношение к	12	12
81	и наконец	3	12
82	один из	4	11
83	в этих	7	11
84	с ними	4	11
85	для него	9	11
86	с одной	10	11
87	язык в	1	11
88	на его	4	11
89	в плане	2	11
90	одной стороны	10	11
91	зрения на	1	10
92	и их	4	10
93	и все	2	10
94	лишь в	1	10
95	в своем	11	10
96	может не	3	10
97	в том	44	10
98	она не	2	10
99	в себе	4	10
100	в него	1	10
101	всех этих	1	10
102	в основном	2	9
103	более или	1	9
104	в своей	5	9
105	сказать что	18	9
106	этом случае	5	9
107	так как	20	9
108	здесь в	1	9
109	его в	6	9
110	в их	4	9
111	в смысле	3	9
112	или менее	1	9
113	и других	7	9
114	он не	13	9
115	языком и	1	9
116	одним из	4	9
117	и от	2	9
118	но не	13	9
119	с ее	1	9
120	к нему	4	9
121	более того	1	9
122	в самом	10	8
123	для нас	1	8
124	не на	5	8
125	не могут	7	8
126	может стать	2	8
127	зависимости от	3	8
128	все время	3	8
129	с этим	9	8
130	словом в	1	8
131	в зависимости	2	8
132	языка но	1	8
133	чужого языка	1	8
134	всяком случае	2	8
135	входит в	1	8
136	в одной	2	8
137	в ней	2	8
138	во всем	2	7
139	от него	3	7
140	еще более	5	7
141	кроме того	2	7
142	но все	2	7
143	например в	1	7
144	связанные с	6	7
145	том что	41	7
146	слова к	3	7
147	перед нами	1	7
148	сливается с	1	7
149	известной степени	1	7
150	значительной степени	1	7
151	слово и	2	7
152	друг друга	1	7
153	того же	13	7
154	мышления и	8	7
155	у него	8	7
156	не было	1	7
157	связи с	9	7
158	и непосредственно	1	7
159	мы уже	4	7
160	его не	1	7
161	также и	2	7
162	ту же	5	7
163	за пределы	4	7
164	с которым	2	7
165	жизни и	2	7
166	в целом	8	7
167	что в	33	6
168	и здесь	2	6
169	дело с	2	6
170	даже в	1	6
171	в одном	3	6
172	ни в	1	6
173	другой стороны	9	6
174	по себе	8	6
175	именно в	8	6
176	себя и	2	6
177	можно сказать	7	6
178	в свою	5	6
179	говорить о	3	6
180	слов и	3	6
181	и там	1	6
182	как к	1	6
183	связан с	1	6
184	в качестве	13	6
185	слово не	1	6
186	лежит в	5	6
187	его язык	2	6
188	на этом	8	6
189	хотя бы	5	6
190	между тем	5	6
191	и слова	1	6
192	стороны и	3	6
193	с различными	1	6
194	он в	3	6
195	точку зрения	1	6
196	которые в	4	6
197	ничего не	6	6
198	должна быть	7	5
199	и при	4	5
200	не как	3	5
201	в результате	9	5
202	к его	4	5
203	они не	7	5
204	по отношению	19	5
205	вместе с	9	5
206	не менее	4	5
207	о том	13	5
208	его и	4	5
209	не является	7	5
210	в данном	4	5
211	и более	8	5
212	мы не	6	5
213	для того	20	5
214	прямой и	1	5
215	с помощью	32	5
216	только на	3	5
217	связанных с	1	5
218	языка не	2	5
219	всех областях	1	5
220	речи в	7	5
221	той же	7	5
222	отношению к	19	5
223	со словом	1	5
224	а вовсе	1	5
225	но он	8	5
226	между этими	3	5
227	остается в	1	5
228	уже в	4	5
229	на протяжении	2	5
230	хотя и	1	5
231	этом отношении	7	5
232	и этим	1	5
233	с их	4	5
234	слова не	2	5
235	как его	2	5
236	или даже	2	5
237	должен быть	1	5
238	в других	2	5
239	в каждом	1	5
240	а как	1	5
241	эти формы	1	5
242	не знает	6	5
243	и может	4	5
244	не с	2	5
245	почти всегда	2	5
246	и сам	1	5
247	оно может	2	5
248	и по	5	5
249	для этого	3	5
250	имеет дело	1	5
251	до сих	3	4
252	по существу	5	4
253	к единому	1	4
254	мы найдем	1	4
255	языке и	1	4
256	оно было	1	4
257	или иные	1	4
258	в большей	1	4
259	в другой	1	4
260	те же	6	4
261	его но	1	4
262	не столько	3	4
263	в виду	4	4
264	влияние на	2	4
265	для всех	2	4
266	со всеми	2	4
267	если бы	13	4
268	где они	1	4
269	прямо сказать	1	4
270	отношения к	2	4
271	и другим	2	4
272	его на	2	4
273	что он	40	4
274	влияния на	4	4
275	от его	1	4
276	ли он	1	4
277	так же	22	4
278	языка так	1	4
279	которая не	1	4
280	как только	4	4
281	на первый	2	4
282	к тому	14	4
283	зрения и	1	4
284	друг с	10	4
285	дело не	2	4
286	того чтобы	26	4
287	сознание и	2	4
288	лежат в	3	4
289	в другом	7	4
290	но эти	1	4
291	тогда когда	10	4
292	и уже	1	4
293	и слово	1	4
294	те или	2	4
295	именно на	1	4
296	с этой	8	4
297	точками зрения	2	4
298	в различных	3	4
299	ни были	1	4
300	в чем	10	4
301	свою очередь	4	4
302	и формы	1	4
303	его же	2	4
304	и во	2	4
305	новые и	3	4
306	в известной	3	4
307	с этими	1	4
308	материал в	1	4
309	он может	5	4
310	и речи	1	4
311	однако в	1	4
312	к предмету	2	4
313	но это	4	4
314	как сказано	1	4
315	в системе	4	4
316	из них	6	4
317	того что	34	4
318	он должен	9	4
319	все его	1	4
320	что оно	9	4
321	значение в	3	4
322	одной из	5	4
323	том же	1	4
324	как раз	5	4
325	что и	11	4
326	чем он	5	4
327	в контекст	1	4
328	в виде	3	4
329	а на	1	4
330	в которой	8	4
331	языку как	1	4
332	это слово	3	4
333	и как	7	4
334	же как	9	4
335	можно прямо	1	4
336	в условиях	3	4
337	в себя	4	4
338	с другом	10	4
339	сих пор	3	4
340	языков это	1	4
341	может иметь	3	4
342	но как	6	4
343	первый план	2	4
344	эти слова	1	4
345	с языком	1	4
346	в частности	9	4
347	одно и	2	4
348	из него	3	4
349	литературному языку	3	4
350	и о	1	4
351	в понимании	1	4
352	вообще не	5	4
353	в лучшем	3	4
354	речи и	8	4
355	образом в	2	4
356	из этого	3	4
357	лучшем случае	4	4
358	и ее	2	4
359	есть как	1	4
360	мы видели	10	4
361	и чужого	3	4
362	он пользуется	2	3
363	однако и	1	3
364	и другие	13	3
365	связи и	2	3
366	собственном смысле	2	3
367	все что	2	3
368	и самое	1	3
369	речи но	3	3
370	смысле слова	1	3
371	от нас	1	3
372	не требует	3	3
373	не приходится	1	3
374	действует в	1	3
375	не исчерпывается	1	3
376	в форме	1	3
377	и то	9	3
378	речи как	4	3
379	в связи	6	3
380	нами в	4	3
381	и они	1	3
382	в более	2	3
383	самом предмете	1	3
384	этого процесса	2	3
385	в духе	1	3
386	в первом	4	3
387	и единство	2	3
388	с таким	4	3
389	ближайшим образом	2	3
390	тем что	12	3
391	или на	2	3
392	отношением к	3	3
393	в корне	2	3
394	в собственном	2	3
395	автора к	1	3
396	языка на	1	3
397	предмета и	2	3
398	широком смысле	1	3
399	этот процесс	5	3
400	от этого	1	3
401	действительности в	1	3
402	отличается от	2	3
403	было бы	18	3
404	и социальной	1	3
405	связана с	2	3
406	как это	11	3
407	которых мы	1	3
408	в зоне	6	3
409	и второй	1	3
410	не должны	2	3
411	сознания в	3	3
412	из себя	1	3
413	к проблеме	2	3
414	не могло	1	3
415	или иных	2	3
416	на которые	3	3
417	в этой	8	3
418	целый ряд	5	3
419	и те	2	3
420	как оно	1	3
421	без всякого	2	3
422	если мы	9	3
423	такая же	1	3
424	входят в	1	3
425	в сознании	5	3
426	но эта	1	3
427	мы говорили	5	3
428	этого слова	3	3
429	до известной	1	3
430	только с	1	3
431	внутренней речи	7	3
432	на котором	3	3
433	материал и	1	3
434	движения и	1	3
435	с каким	2	3
436	еще на	1	3
437	которого он	2	3
438	в свое	2	3
439	форм и	2	3
440	должно быть	10	3
441	на том	4	3
442	такого рода	1	3
443	не предполагает	1	3
444	различия между	1	3
445	чем в	6	3
446	в широком	1	3
447	дело в	1	3
448	сама по	4	3
449	тому что	14	3
450	не есть	4	3
451	на все	7	3
452	зрения не	1	3
453	между собой	17	3
454	в свете	4	3
455	нисколько не	2	3
456	это было	1	3
457	но уже	2	3
458	и это	3	3
459	другом случае	2	3
460	как слово	1	3
461	тем чем	2	3
462	в данную	1	3
463	свое выражение	1	3
464	на всех	2	3
465	в такой	5	3
466	потому что	40	3
467	следовательно в	1	3
468	и тем	5	3
469	во второй	4	3
470	из этих	2	3
471	на нем	2	3
472	но она	1	3
473	конечно в	1	3
474	тем и	2	3
475	на всю	2	3
476	языка если	1	3
477	условия для	1	3
478	речь и	4	3
479	к этому	7	3
480	данном случае	3	3
481	такой же	4	3
482	к новому	1	3
483	включает в	3	3
484	тех или	2	3
485	нуждается в	3	3
486	степени и	1	3
487	этими двумя	3	3
488	или иного	1	3
489	того или	1	3
490	как для	1	3
491	мы наблюдаем	1	2
492	с которыми	2	2
493	утверждать что	1	2
494	положения и	1	2
495	могут иметь	1	2
496	в новые	1	2
497	заставляет его	1	2
498	за ним	1	2
499	мы и	6	2
500	их из	2	2
501	как с	5	2
502	он стремится	1	2
503	уже говорили	2	2
504	которая в	3	2
505	эти три	2	2
506	учителя и	1	2
507	этой способности	1	2
508	без исключения	1	2
509	и существенных	1	2
510	к действительности	1	2
511	они уже	1	2
512	предполагает за	1	2
513	связанное с	2	2
514	и этого	1	2
515	правда и	1	2
516	языку с	1	2
517	которое может	1	2
518	в последние	1	2
519	эта общая	1	2
520	требует от	6	2
521	как он	7	2
522	далее в	1	2
523	далее эта	1	2
524	от этих	1	2
525	до последнего	1	2
526	слова которая	1	2
527	том и	1	2
528	и которые	2	2
529	на которую	1	2
530	каждом шагу	3	2
531	в плоскости	2	2
532	связанная с	3	2
533	оно уже	1	2
534	связь с	1	2
535	нового не	1	2
536	особого рода	1	2
537	этой точки	7	2
538	и одновременно	1	2
539	является проблема	1	2
540	с ней	3	2
541	на данном	1	2
542	заключается в	15	2
543	из самых	1	2
544	но по	1	2
545	является основным	1	2
546	то время	4	2
547	в жизни	2	2
548	и известную	1	2
549	эти явления	1	2
550	как о	1	2
551	возможности в	1	2
552	синтаксических форм	1	2
553	они ни	1	2
554	приводит к	10	2
555	и действенного	1	2
556	да и	1	2
557	не нужно	2	2
558	в известном	9	2
559	на каждом	3	2
560	но мы	7	2
561	по своему	4	2
562	на материале	1	2
563	моменты в	1	2
564	моменты которые	1	2
565	это и	3	2
566	речи является	2	2
567	то что	48	2
568	в котором	2	2
569	и материала	1	2
570	совершенно новые	1	2
571	имеет два	2	2
572	его отношение	3	2
573	он был	1	2
574	мы увидим	3	2
575	во все	1	2
576	то и	2	2
577	в течение	1	2
578	о которых	2	2
579	но во	1	2
580	в двух	1	2
581	другом в	2	2
582	оно как	1	2
583	из его	2	2
584	речи не	4	2
585	выработанные в	1	2
586	и т.п	2	2
587	в руках	1	2
588	жизнь с	1	2
589	значение для	4	2
590	но они	2	2
591	на пути	1	2
592	случае не	2	2
593	а между	1	2
594	совершенно не	5	2
595	при анализе	4	2
596	самого начала	8	2
597	как например	1	2
598	точке зрения	1	2
599	это единство	1	2
600	но этот	3	2
601	всегда и	1	2
602	несмотря на	3	2
603	которые являются	2	2
604	в прошлом	2	2
605	из одной	2	2
606	к ним	2	2
607	и связанное	1	2
608	от которого	1	2
609	в сфере	9	2
610	и ответ	1	2
611	и у	1	2
612	значение имеет	1	2
613	в основу	1	2
614	сущности и	1	2
615	в нашем	5	2
616	корнями в	1	2
617	это отношение	1	2
618	параллельно с	1	2
619	что все	9	2
620	во всей	3	2
621	не умеет	6	2
622	знает только	1	2
623	есть только	1	2
624	каждое из	1	2
625	речи все	1	2
626	влиять на	3	2
627	у них	1	2
628	не из	1	2
629	же он	1	2
630	чем это	2	2
631	в ее	1	2
632	и становится	1	2
633	чтобы понять	2	2
634	образом на	1	2
635	своего развития	11	2
636	от всякого	2	2
637	самое слово	2	2
638	известном смысле	7	2
639	к началу	5	2
640	слов так	1	2
641	слово слово	1	2
642	одного из	1	2
643	слова для	1	2
644	только не	7	2
645	речь в	3	2
646	мы видим	6	2
647	процесс их	2	2
648	в прямом	1	2
649	не можем	2	2
650	но прежде	2	2
651	всю последующую	1	2
652	на язык	1	2
653	того как	6	2
654	основных и	2	2
655	что уже	3	2
656	ни было	1	2
657	слов в	1	2
658	слова по	1	2
659	наблюдения над	1	2
660	между различными	1	2
661	тем не	1	2
662	и за	1	2
663	есть в	2	2
664	их основе	1	2
665	что для	2	2
666	на самом	3	2
667	одному и	3	2
668	у нас	4	2
669	ни одному	1	2
670	системы и	1	2
671	слова а	1	2
672	и есть	8	2
673	слова есть	1	2
674	и другими	3	2
675	поэтому оно	1	2
676	языка он	1	2
677	без всяких	2	2
678	велико и	1	2
679	на разных	1	2
680	слова во	1	2
681	этого не	1	2
682	ее от	1	2
683	или иначе	1	2
684	из важнейших	1	2
685	этим и	1	2
686	в другую	3	2
687	что она	3	2
688	как увидим	1	2
689	что не	2	2
690	при изучении	1	2
691	и непосредственное	1	2
692	что язык	1	2
693	только два	3	2
694	в равной	4	2
695	не остается	1	2
696	имеет свой	1	2
697	в какой	8	2
698	между ними	5	2
699	то в	7	2
700	моментах в	1	2
701	время как	4	2
702	их от	1	2
703	в области	19	2
704	при таком	1	2
705	он никогда	1	2
706	словом как	1	2
707	и со	1	2
708	есть все	1	2
709	именно эта	1	2
710	как единый	1	2
711	об этом	1	2
712	и связанная	1	2
713	первостепенное значение	1	2
714	что они	8	2
715	направления и	1	2
716	к одному	4	2
717	без всякой	2	2
718	поскольку она	1	2
719	могли бы	15	2
720	образом с	2	2
721	этого общего	2	2
722	мы можем	15	2
723	и эти	2	2
724	а с	3	2
725	если оно	1	2
726	уже сказано	3	2
727	возникает из	1	2
728	вообще в	2	2
729	с самого	8	2
730	для развития	9	2
731	в своих	5	2
732	они же	2	2
733	а просто	2	2
734	это как	1	2
735	и затем	1	2
736	могут служить	1	2
737	в самых	4	2
738	нашего сознания	1	2
739	он принимает	1	2
740	как уже	5	2
741	и между	7	2
742	так что	8	2
743	ничего нового	1	2
744	слово его	1	2
745	плана в	1	2
746	дает им	1	2
747	и что	18	2
748	можно было	11	2
749	иметь в	1	2
750	в начале	2	2
751	факт что	1	2
752	по своей	7	2
753	существенные моменты	1	2
754	этих случаях	1	2
755	новое слово	1	2
756	ведь в	1	2
757	он еще	3	2
