N	3gram	Nazirov_Vr	Analitik
1	в том что	2	25
2	не может быть	2	19
3	в то же	4	16
4	о том что	1	15
5	то же время	4	14
6	с другой стороны	1	9
7	в свою очередь	1	9
8	по крайней мере	1	9
9	с точки зрения	2	8
10	в этом отношении	1	8
11	во всяком случае	1	7
12	тем не менее	1	6
13	не только не	1	5
14	героя нашего времени	1	5
15	в русской литературе	3	5
16	в соответствии с	1	4
17	и не может	1	4
18	и в этом	1	4
19	в ответ на	1	4
20	в этом смысле	1	4
21	в известном смысле	1	4
22	едва ли не	1	4
23	и то что	1	3
24	в глубине души	1	3
25	речь идет о	1	3
26	в связи с	3	3
27	и в самом	1	3
28	и все же	5	3
29	по нашему убеждению	2	3
30	и стал смотреть	1	2
31	до сих пор	1	2
32	начале х годов	1	2
33	а тем более	1	2
34	а с другой	1	2
35	и то же	1	2
36	в начале х	1	2
37	на то что	1	2
38	заключается в том	1	2
39	тем более что	1	2
40	а между тем	1	2
41	в войне и	1	2
42	одно и то	1	2
43	но в то	2	2
44	при этом он	1	2
45	войне и мире	1	2
46	уже говорилось выше	1	2
47	на первый взгляд	1	2
48	но и как	1	2
49	писал об этом	1	1
50	о том как	1	1
51	на это в	1	1
52	в той же	1	1
53	одним из первых	1	1
54	имеется в виду	1	1
55	в е годы	1	1
56	в том же	1	1
57	все что ни	1	1
58	они как бы	1	1
59	что у него	1	1
60	о себе знать	1	1
61	о том же	1	1
62	в конце концов	1	1
63	не имеет никаких	1	1
64	на этот раз	1	1
65	с тех пор	1	1
66	все же не	1	1
67	в третий раз	1	1
68	от ноября года	1	1
69	и всего романа	1	1
70	в ту эпоху	1	1
71	от которого у	1	1
72	в начале года	2	1
73	он не только	2	1
74	но при этом	1	1
75	впервые на это	1	1
76	и маргариты в	1	1
77	друг у друга	1	1
78	себя в качестве	1	1
79	они выступают как	1	1
80	мы знаем о	1	1
81	от мая года	1	1
82	точно так же	1	1
83	между тем это	1	1
84	да и в	1	1
85	в то время	1	1
86	то что они	1	1
87	равно как и	1	1
88	и во всем	1	1
89	далеко не все	1	1
90	как раз в	2	1
91	не имело бы	1	1
92	он и не	1	1
93	внимание в частности	1	1
94	в романе достоевского	1	1
95	как бы в	1	1
96	во второй раз	1	1
97	между прочим и	1	1
98	более того в	1	1
99	не только как	1	1
