N	3gram	Nazirov_Tv	Otkroven
1	о великом инквизиторе	3	6
2	у него в	1	5
3	записок из подполья	4	5
4	к человеку и	1	4
5	в записках из	6	3
6	из подполья и	1	3
7	преступлении и наказании	9	3
8	записках из подполья	5	3
9	в преступлении и	10	3
10	в романах достоевского	24	3
11	легенда о великом	3	2
12	не могут быть	2	2
13	человеческой природы в	1	2
14	из мертвого дома	1	2
15	никогда не было	2	2
16	не может быть	2	2
17	в дневнике писателя	2	2
18	у него не	1	2
19	человека в его	1	2
20	и ивана карамазова	1	2
21	на западе но	1	2
22	нет ничего кроме	1	2
23	и в этом	1	2
24	что у него	2	2
25	что человек по	2	1
26	достоевского преступление и	1	1
27	хотя и не	1	1
28	в других романах	1	1
29	человека и все	1	1
30	достоевского не могут	2	1
31	о том что	6	1
32	в том что	8	1
33	не так как	2	1
34	достоевского нет ничего	1	1
35	у достоевского не	2	1
36	достоевским в идиоте	1	1
37	в своих романах	2	1
38	все та же	1	1
39	у достоевского нет	2	1
40	добро и зло	1	1
41	в этот период	1	1
42	с иваном карамазовым	2	1
43	для человека и	1	1
44	преступление и наказание	5	1
45	и он всегда	1	1
46	у достоевского всегда	1	1
47	мысли подпольного человека	1	1
48	бы он ни	1	1
49	человек по природе	4	1
50	как и в	2	1
51	к творчеству достоевского	1	1
52	и в ее	1	1
53	может быть назван	2	1
54	то что в	1	1
55	и все же	3	1
56	в самом деле	2	1
57	записки из подполья	8	1
58	во всяком случае	2	1
59	он еще не	2	1
60	высокого и прекрасного	1	1
61	в противоречии с	1	1
62	в каждом из	1	1
63	в братьях карамазовых	6	1
64	мира в преступлении	2	1
65	всегда и везде	1	1
66	у него была	1	1
67	и в самом	1	1
68	бросается в глаза	1	1
69	в другом месте	1	1
70	искать ключ к	1	1
71	на земле к	1	1
72	бытия но достоевский	1	1
73	которого не случайно	1	1
74	у достоевского есть	1	1
75	о том как	1	1
76	романов достоевского в	1	1
77	и в бесах	1	1
78	все эти писатели	1	1
79	и прежде всего	1	1
80	от свободы от	1	1
81	себе что он	1	1
82	самим собой в	2	1
83	заключает в себе	1	1
84	главное у достоевского	1	1
85	том что в	3	1
86	преступления и наказания	5	1
87	бога и дьявола	2	1
88	и в том	1	1
89	его образ и	1	1
90	ничего не делает	1	1
91	и в одно	1	1
92	и не может	2	1
93	в самом последнем	1	1
94	не в силах	1	1
95	и в преступлении	1	1
96	что он был	1	1
97	униженные и оскорбленные	3	1
