N	4gram	Propp_Isto	EvropaiC
1	совершенно так же как	1	3
2	бы то ни было	1	3
3	как бы то ни	1	2
4	но вместе с тем	2	2
5	состоит в том что	1	1
6	с этой точки зрения	3	1
7	в то время как	4	1
8	образом мы видим что	3	1
9	мысль о том что	1	1
10	мы уже знаем что	4	1
11	первый взгляд кажется что	1	1
12	так же как при	1	1
13	в том что он	1	1
14	но с другой стороны	1	1
15	таким образом оказывается что	1	1
16	очень много но все	1	1
17	таким образом мы видим	2	1
18	вместе с тем и	1	1
19	много но все же	1	1
20	эти примеры показывают что	1	1
21	и не может быть	1	1
22	а в том что	1	1
23	на первый взгляд кажется	1	1
24	в тех случаях когда	6	1
25	друг на друга что	1	1
