N	3gram	Bakhtin_Fr	Poddanst
1	то же время	12	7
2	в то же	12	7
3	в том что	4	4
4	не только в	1	4
5	в гораздо большей	1	4
6	гораздо большей степени	1	4
7	с точки зрения	4	3
8	с одной стороны	3	3
9	и как раз	1	2
10	но и в	2	2
11	заключается в том	1	2
12	в значительной мере	1	2
13	в том числе	4	2
14	и не только	1	2
15	одной стороны и	1	2
16	именно потому что	1	1
17	за то что	4	1
18	в различных формах	1	1
19	в эту эпоху	1	1
20	но в то	3	1
21	прежде всего мы	1	1
22	в отрыве от	2	1
23	и тем самым	1	1
24	в применении к	1	1
25	том числе и	2	1
26	что уже в	1	1
27	в этом мире	1	1
28	та или иная	1	1
29	в большинстве случаев	9	1
30	том что в	1	1
31	она должна была	1	1
32	в этом смысле	1	1
33	есть прежде всего	1	1
34	с тем чтобы	1	1
35	и то что	1	1
36	в xix веке	1	1
37	св георгия в	1	1
38	настоящее время в	1	1
39	что в этом	1	1
40	есть как бы	1	1
41	же время в	1	1
42	во всяком случае	1	1
43	только в ее	2	1
44	с другой стороны	2	1
45	все это в	2	1
46	бы оно ни	2	1
47	в настоящее время	1	1
48	более или менее	3	1
49	тем более что	1	1
50	большей степени чем	1	1
51	и в этом	1	1
52	одно из важнейших	1	1
53	в области архитектуры	1	1
