N	2gram	Medvedev_I	Mirosoze
1	и в	1	97
2	в этом	2	55
3	он не	2	53
4	и не	2	39
5	никогда не	1	38
6	для него	1	31
7	что в	2	23
8	того что	1	17
9	из подполья	1	13
10	в них	1	12
11	все это	1	12
12	к достоевскому	1	11
13	жизни и	1	11
14	я не	1	9
15	а в	1	9
16	и с	3	8
17	тем что	1	8
18	о достоевском	2	8
19	себя в	1	8
20	человеке и	1	8
21	не так	1	8
22	самого достоевского	1	8
23	того чтобы	1	8
24	ничего не	2	8
25	для того	1	8
26	от нее	1	7
27	более чем	1	7
28	должен быть	2	7
29	самого себя	2	6
30	записок из	2	6
31	если бы	1	6
32	бы в	1	5
33	от этого	1	5
34	в основе	1	5
35	так и	1	5
36	было не	1	4
37	по отношению	1	4
38	а для	1	4
39	а с	1	4
40	его личности	1	4
41	не случайно	1	4
42	преступления и	1	4
43	и тот	1	4
44	как о	1	4
45	у всех	1	4
46	все эти	1	4
47	стало быть	1	4
48	отношению к	1	4
49	достоевского она	1	3
50	и еще	1	3
51	не остается	1	3
52	но когда	1	3
53	и та	1	3
54	со всеми	1	3
55	в значительной	1	3
56	это был	1	3
57	достоевского с	1	3
58	стали бы	1	3
59	и ничего	1	3
60	был человек	1	2
61	и сам	1	2
62	только для	1	2
63	с другой	1	2
64	того же	1	2
65	и чрезвычайно	1	2
66	и наказания	1	2
67	братья карамазовы	1	2
68	достоевского а	2	2
69	к нам	1	2
70	федор павлович	1	2
71	бы его	1	2
72	о жизни	1	2
73	и без	1	2
74	есть только	1	2
75	нисколько не	1	2
76	это было	1	2
77	ибо и	1	2
78	творчества достоевского	2	2
79	и о	1	2
80	только что	1	1
81	другой стороны	1	1
82	бы все	1	1
83	говорить о	1	1
84	художественном творчестве	1	1
85	по поводу	1	1
86	о ней	1	1
87	произведения и	1	1
88	стороны он	1	1
89	видит в	1	1
90	к отцу	1	1
91	смердякова и	1	1
92	слишком много	1	1
93	это сам	1	1
94	не дает	1	1
95	ушел от	1	1
96	при такой	1	1
97	мертвого дома	1	1
98	и оскорбленных	1	1
99	что для	1	1
100	и др	1	1
101	них не	1	1
102	как отец	1	1
103	теперь я	1	1
104	когда его	1	1
105	за границей	1	1
106	в федоре	1	1
107	то и	1	1
108	я нисколько	1	1
109	остается как	1	1
110	свою жену	1	1
111	нее и	1	1
112	всего творчества	1	1
113	в первую	1	1
114	для других	1	1
115	а также	1	1
116	униженных и	1	1
117	по существу	1	1
118	достоевского за	1	1
119	тех же	1	1
120	же это	1	1
121	в целом	1	1
122	он с	1	1
123	вплоть до	1	1
