N	2gram	Vinokur_Vv	Poddanst
1	не только	26	17
2	и в	35	14
3	и не	13	12
4	в области	4	11
5	в этом	35	10
6	в отношении	3	10
7	в том	38	9
8	то же	11	9
9	в качестве	8	9
10	но в	10	9
11	хотя бы	6	8
12	только в	16	7
13	же время	6	7
14	в обстановке	1	7
15	в то	6	7
16	е с	1	6
17	в ней	3	6
18	было бы	7	6
19	но и	7	6
20	может быть	30	5
21	отношении к	2	5
22	с другой	8	5
23	не в	10	5
24	и о	1	5
25	в которых	6	5
26	и к	3	4
27	что в	13	4
28	в котором	4	4
29	гораздо большей	1	4
30	по себе	11	4
31	г о	1	4
32	и потому	2	4
33	но также	16	4
34	мы должны	2	4
35	в с	3	4
36	европейской культуры	1	4
37	не может	19	4
38	в гораздо	1	4
39	а в	6	4
40	то что	19	4
41	как бы	7	4
42	если бы	3	4
43	а также	3	4
44	первой половины	1	4
45	в своем	3	4
46	же в	1	4
47	том что	30	4
48	большей степени	2	4
49	в сравнении	1	3
50	наряду с	3	3
51	в себе	4	3
52	сравнении с	1	3
53	что мы	2	3
54	с одной	4	3
55	мы не	2	3
56	это не	8	3
57	одной стороны	4	3
58	для того	23	3
59	между тем	10	3
60	с точки	4	3
61	хотя и	5	3
62	т е	40	3
63	е и	1	3
64	с тем	6	3
65	потому что	18	3
66	она есть	5	3
67	прежде всего	10	3
68	в россии	1	3
69	заключается в	4	3
70	но не	9	3
71	могут быть	6	3
72	я и	1	3
73	и т	45	3
74	и как	9	3
75	с ними	1	3
76	в нем	13	3
77	и без	2	3
78	д а	2	3
79	тот же	1	3
80	точки зрения	12	3
81	с этим	3	2
82	во всех	2	2
83	сказывается в	1	2
84	именно как	3	2
85	и это	6	2
86	и других	3	2
87	в полной	1	2
88	осуществляется в	1	2
89	в европе	1	2
90	и вот	3	2
91	время в	2	2
92	в значительной	3	2
93	том числе	1	2
94	еще более	1	2
95	по сравнению	4	2
96	эта идея	1	2
97	так называемые	2	2
98	в ее	11	2
99	и тем	5	2
100	того что	12	2
101	никак не	1	2
102	как раз	4	2
103	в частности	3	2
104	в его	12	2
105	а не	5	2
106	нужно было	1	2
107	для нас	1	2
108	все это	6	2
109	говорить о	5	2
110	для них	2	2
111	заключает в	1	2
112	может и	1	2
113	и есть	3	2
114	стороны и	3	2
115	в русском	1	2
116	в виде	4	2
117	в них	5	2
118	здесь нужно	1	2
119	знать что	1	2
120	не было	2	2
121	в сопоставлении	2	2
122	г и	1	2
123	историческом и	1	2
124	и с	2	2
125	из важнейших	1	2
126	в начале	3	2
127	может ли	2	2
128	как на	12	2
129	слова но	1	2
130	в а	1	2
131	в общем	14	2
132	которое в	2	2
133	главным образом	1	2
134	именно в	8	2
135	значительной мере	2	2
136	должно быть	2	2
137	в жизни	1	2
138	отношения к	1	2
139	взгляда на	4	2
140	во всей	1	2
141	есть нечто	1	2
142	помнить что	1	2
143	в силу	3	2
144	одна из	3	2
145	между прочим	1	2
146	например в	2	2
147	не менее	9	2
148	в ряду	2	2
149	не столько	2	2
150	со стороны	16	2
151	да и	4	2
152	не нужно	2	2
153	в эту	1	2
154	культуры в	5	2
155	из них	4	2
156	есть не	5	2
157	тем более	2	2
158	есть в	1	2
159	что из	1	2
160	не к	2	2
161	в статье	1	2
162	в xix	1	2
163	русской истории	1	1
164	и везде	1	1
165	что было	1	1
166	чем к	1	1
167	этих двух	2	1
168	были бы	1	1
169	xx в	3	1
170	представить себе	7	1
171	говорится о	1	1
172	ли они	1	1
173	поскольку она	1	1
174	как к	1	1
175	во всяком	5	1
176	и тех	1	1
177	и технике	1	1
178	ни к	2	1
179	находящееся в	2	1
180	был и	1	1
181	не есть	5	1
182	ней только	1	1
183	собственном смысле	3	1
184	культурного развития	3	1
185	у каждого	1	1
186	находятся в	2	1
187	и то	7	1
188	но как	2	1
189	понимать что	1	1
190	бы и	3	1
191	история и	3	1
192	мы можем	2	1
193	и эти	1	1
194	на этой	3	1
195	мы видим	1	1
196	а с	2	1
197	в данном	11	1
198	что оно	2	1
199	определенном смысле	1	1
200	и многие	1	1
201	имеют в	1	1
202	темы и	1	1
203	и более	1	1
204	можно говорить	3	1
205	вместе с	6	1
206	и здесь	3	1
207	по сохранившимся	1	1
208	до тех	1	1
209	и на	3	1
210	уяснить себе	1	1
211	отличие от	4	1
212	в самом	13	1
213	вопрос о	10	1
214	и очень	1	1
215	о духе	1	1
216	не означает	1	1
217	они не	1	1
218	может не	1	1
219	в исторической	1	1
220	этой области	3	1
221	них в	1	1
222	на свои	2	1
223	в момент	1	1
224	это в	2	1
225	только что	4	1
226	и жизненной	1	1
227	поскольку мы	1	1
228	также что	1	1
229	важнее всего	1	1
230	ее представители	1	1
231	и глубины	1	1
232	что каждая	2	1
233	исторического бытия	1	1
234	очень далеко	1	1
235	уже в	5	1
236	должна быть	2	1
237	пор пока	1	1
238	чем то	1	1
239	более или	1	1
240	применении к	6	1
241	связана с	4	1
242	только как	7	1
243	того чтобы	22	1
244	может исчезнуть	1	1
245	мы знаем	1	1
246	к сфере	1	1
247	в применении	7	1
248	русской культуры	1	1
249	многих случаях	1	1
250	и всегда	1	1
251	вопросу о	2	1
252	представляет собой	14	1
253	прийти к	2	1
254	к идеям	1	1
255	смысле могут	1	1
256	и должна	1	1
257	формы в	1	1
258	есть проблема	1	1
259	во многих	1	1
260	в определенном	1	1
261	сопоставлении с	2	1
262	что это	3	1
263	в отношениях	2	1
264	конечно и	1	1
265	одно и	2	1
266	могут дать	1	1
267	как подлинное	1	1
268	которых не	3	1
269	философской мысли	2	1
270	которой в	2	1
271	что при	1	1
272	и уже	3	1
273	мысли и	2	1
274	в формах	2	1
275	какой бы	2	1
276	должна была	2	1
277	из этих	9	1
278	что если	2	1
279	что с	3	1
280	как таковые	1	1
281	положение что	1	1
282	именно на	2	1
283	не как	3	1
284	и другие	2	1
285	только один	1	1
286	об отношении	3	1
287	а затем	2	1
288	от этой	1	1
289	что уже	3	1
290	в каждом	4	1
291	только на	3	1
292	и этим	1	1
293	сфере художественной	1	1
294	не с	3	1
295	должна в	1	1
296	обе эти	3	1
297	может оказаться	3	1
298	одна сторона	1	1
299	xix в	12	1
300	склонность к	1	1
301	и при	2	1
302	и что	6	1
303	науки и	5	1
304	в различных	5	1
305	не могла	1	1
306	связь между	5	1
307	частности в	1	1
308	на основании	5	1
309	что и	5	1
310	другой стороны	5	1
311	иными словами	1	1
312	еще в	1	1
313	из числа	2	1
314	нет никакого	1	1
315	этом смысле	11	1
316	как явление	2	1
317	выражается в	1	1
318	далеко не	1	1
319	только то	1	1
320	в этих	3	1
321	не вполне	4	1
322	них и	2	1
323	что все	1	1
324	в истории	9	1
325	как оно	3	1
326	в историческом	1	1
327	различия между	1	1
328	так же	3	1
329	также и	20	1
330	как она	4	1
331	его в	6	1
332	же всего	1	1
333	тем больше	1	1
334	вопрос об	1	1
335	каждый из	2	1
336	литературы и	2	1
337	и наоборот	3	1
338	в г	5	1
339	все же	9	1
340	чтобы в	1	1
341	идет речь	3	1
342	этого процесса	1	1
343	в настоящее	1	1
344	всего что	1	1
345	теми же	1	1
346	но на	1	1
347	что его	1	1
348	того кто	1	1
349	в результате	4	1
350	образом тем	1	1
351	в которой	1	1
352	в прошлом	2	1
353	должен быть	4	1
354	в этой	3	1
355	или иным	2	1
356	разрыва между	1	1
357	к ним	1	1
358	и техники	1	1
359	два различных	1	1
360	что по	1	1
361	в отличие	4	1
362	восточных культур	1	1
363	может отличаться	1	1
364	духа в	1	1
365	и которая	1	1
366	на нее	3	1
367	и судьбы	1	1
368	второй хотя	1	1
369	себя в	2	1
370	из двух	4	1
371	само по	4	1
372	исторической действительности	2	1
373	известном смысле	3	1
374	к науке	1	1
375	настоящее время	1	1
376	на две	1	1
377	том виде	3	1
