N	4gram	Nazirov_Tv	Analitik
1	в то же время	18	14
2	не что иное как	1	6
3	одного и того же	1	6
4	и не может быть	2	4
5	дело в том что	4	3
6	бы то ни было	1	3
7	в то же самое	1	2
8	не о том что	1	2
9	то же самое время	1	2
10	в войне и мире	1	2
11	нет и не может	1	2
12	заключается в том что	1	2
13	но в таком случае	1	2
14	но в то же	5	2
15	то же время они	1	2
16	одна и та же	1	1
17	идет уже не о	1	1
18	мы имеем в виду	1	1
19	собой не что иное	1	1
20	оно никогда не является	1	1
21	хотя бы и в	1	1
22	два года до этого	1	1
23	в таком случае это	1	1
24	всего романа в целом	1	1
25	мы уже говорили о	1	1
26	о свободе воли и	2	1
27	на самом же деле	1	1
28	речь идет уже не	1	1
29	за два года до	1	1
30	ведет к тому что	1	1
31	в том числе и	1	1
32	или во всяком случае	1	1
33	не сами по себе	1	1
34	как это имеет место	1	1
35	это имеет место в	1	1
36	не так ли и	1	1
37	дело не только в	1	1
38	с другой стороны и	1	1
39	в том же году	2	1
40	то же время он	2	1
41	представляет собой не что	1	1
42	ответ на этот вопрос	1	1
