N	2gram	Propp_Isto	Dialekti
1	не есть	1	181
2	т е	27	159
3	и не	19	120
4	и т	39	82
5	по себе	2	79
6	а не	5	78
7	и в	44	77
8	т д	36	75
9	точки зрения	3	72
10	может быть	31	71
11	не только	17	66
12	значит что	2	61
13	то что	16	59
14	и есть	3	55
15	это значит	2	54
16	ничего не	4	54
17	не может	10	53
18	и даже	4	47
19	в мифе	10	47
20	с точки	1	46
21	что это	8	46
22	так как	19	46
23	потому что	18	45
24	не просто	1	44
25	как бы	4	43
26	и что	13	42
27	ни в	2	42
28	не имеет	4	41
29	вовсе не	6	41
30	в том	13	40
31	в этом	20	39
32	то же	9	39
33	что такое	1	39
34	что она	3	38
35	в себе	1	38
36	что он	29	37
37	том что	12	37
38	прежде всего	7	37
39	так что	2	36
40	это не	8	36
41	что в	18	34
42	в нем	10	34
43	и все	4	33
44	того что	3	33
45	но и	16	32
46	ясно что	5	31
47	все это	4	31
48	сказать что	2	30
49	отнюдь не	1	30
50	и как	5	30
51	было бы	2	29
52	так и	9	29
53	что миф	2	29
54	как и	12	28
55	никогда не	5	27
56	в виду	1	26
57	не в	11	26
58	есть и	3	26
59	и то	5	25
60	и пр	6	25
61	есть только	1	25
62	есть не	2	25
63	но это	10	24
64	если бы	5	24
65	таким образом	21	23
66	в то	5	23
67	это и	3	23
68	что оно	4	23
69	и вот	4	23
70	или от	2	22
71	я не	1	22
72	что не	3	21
73	должна быть	3	21
74	она не	7	21
75	и с	8	20
76	о том	11	20
77	что и	11	20
78	что все	4	20
79	в таком	2	20
80	только в	8	20
81	в каком	1	20
82	совершенно не	2	20
83	только тогда	4	20
84	уже не	14	20
85	и вообще	3	20
86	в самом	1	19
87	не менее	6	19
88	в своем	3	19
89	как же	1	19
90	и это	5	19
91	как это	5	19
92	тогда когда	3	19
93	что мы	4	19
94	и его	15	19
95	же время	1	18
96	хотя бы	2	18
97	не что	1	18
98	с другой	11	18
99	что иное	1	18
100	ни на	1	18
101	что же	1	18
102	жизни и	4	18
103	иное как	1	18
104	в особенности	6	17
105	можно сказать	2	17
106	в основе	3	17
107	он есть	1	17
108	но если	2	17
109	то это	8	16
110	одно и	2	16
111	к нему	5	16
112	есть просто	1	16
113	тем не	6	16
114	сам по	1	16
115	само по	1	16
116	в своей	3	16
117	нет ничего	1	16
118	конечно не	1	16
119	мы не	6	16
120	об этом	6	16
121	другими словами	4	16
122	же и	1	15
123	только что	3	15
124	все же	17	15
125	так же	14	15
126	то в	2	15
127	и мы	3	15
128	несмотря на	3	15
129	мы уже	6	15
130	как таковой	1	15
131	не мешает	1	15
132	самом деле	2	15
133	хотя и	1	15
134	в виде	13	15
135	также и	2	15
136	быть и	1	15
137	и о	2	15
138	на то	3	15
139	или нет	1	14
140	а именно	8	14
141	даже и	2	14
142	с ним	9	14
143	не было	2	14
144	д и	1	14
145	и ее	1	14
146	пространства и	1	14
147	таком случае	1	14
148	на свете	1	14
149	и потому	2	14
150	и только	1	14
151	же это	1	14
152	и к	3	13
153	говорит о	4	13
154	другой стороны	10	13
155	не то	1	13
156	что они	3	13
157	время как	3	13
158	он не	5	13
159	в силу	7	13
160	но в	7	13
161	мы находим	1	13
162	не могу	1	13
163	в ней	8	13
164	с этим	7	12
165	вопрос о	5	12
166	миф и	1	12
167	не говорит	2	12
168	но как	2	12
169	но не	8	12
170	даже не	2	12
171	могут быть	9	12
172	и стало	1	12
173	никак не	1	12
174	не могут	2	12
175	перед нами	2	12
176	еще не	16	12
177	и если	1	12
178	и тогда	2	12
179	всегда есть	1	12
180	все эти	11	12
181	тем более	1	12
182	и ни	1	12
183	и может	2	12
184	и жизни	1	12
185	а в	9	12
186	что если	1	11
187	в них	3	11
188	как только	2	11
189	в данном	3	11
190	только на	2	11
191	быть в	1	11
192	и тем	7	11
193	должны быть	2	11
194	из них	4	11
195	есть ли	2	11
196	можно только	1	11
197	та же	2	11
198	себе не	1	11
199	думают что	2	11
200	от того	1	11
201	мы имеем	22	11
202	или в	7	11
203	есть в	2	11
204	его не	3	11
205	мы должны	7	11
206	только то	1	11
207	во всем	4	10
208	с этой	4	10
209	одно из	3	10
210	в результате	1	10
211	в жизни	1	10
212	к тому	1	10
213	во всяком	1	10
214	только как	1	10
215	для того	3	10
216	абстрактное понятие	1	10
217	мы видим	12	10
218	то или	2	10
219	в ее	4	10
220	от этого	6	10
221	себе и	2	10
222	а потом	3	10
223	только потому	1	10
224	и для	3	10
225	или иное	2	10
226	что для	1	10
227	оно не	1	10
228	то и	1	10
229	если мы	1	10
230	только о	1	10
231	или другой	2	10
232	в его	16	10
233	в их	1	10
234	это было	2	10
235	е в	6	10
236	в частности	9	10
237	как мы	9	10
238	как будто	2	10
239	может и	1	10
240	и уже	2	10
241	мир как	1	9
242	или по	1	9
243	при этом	4	9
244	тому что	1	9
245	не как	5	9
246	в этих	7	9
247	и на	11	9
248	мир и	1	9
249	в котором	2	9
250	в противоположность	1	9
251	в одном	2	9
252	и когда	1	9
253	превращается в	10	9
254	и он	9	9
255	мы можем	6	9
256	же как	12	9
257	бы в	1	9
258	в мифологии	1	9
259	на этом	5	9
260	иметь в	1	9
261	общего с	1	9
262	и по	3	9
263	утверждать что	2	9
264	подобно тому	2	9
265	с ними	4	9
266	то время	3	9
267	как о	1	9
268	и более	3	9
269	той же	2	9
270	всех этих	2	9
271	и от	1	9
272	или иной	1	9
273	смысл и	1	9
274	а если	2	9
275	имеется в	1	9
276	как он	6	9
277	в истории	7	9
278	тому как	2	9
279	от него	2	8
280	даже в	4	8
281	вещи и	1	8
282	но все	8	8
283	теперь мы	1	8
284	в дальнейшем	6	8
285	вот почему	2	8
286	миф о	6	8
287	уже и	3	8
288	себя в	6	8
289	с одной	7	8
290	ни от	1	8
291	это мы	3	8
292	или иная	1	8
293	не будет	1	8
294	что эта	2	8
295	в этой	5	8
296	что есть	2	8
297	или иначе	1	8
298	в одной	5	8
299	один из	6	8
300	и из	3	8
301	не на	1	8
302	но вот	2	8
303	ничего общего	1	8
304	у меня	1	8
305	при помощи	11	8
306	одна и	2	8
307	у нас	1	8
308	на самом	1	8
309	как нечто	1	8
310	того или	1	8
311	но она	1	8
312	все что	5	7
313	мы и	3	7
314	вещи в	1	7
315	он всегда	2	7
316	как она	1	7
317	тем что	12	7
318	зависимости от	1	7
319	мы получаем	1	7
320	но он	2	7
321	мира и	2	7
322	на первый	1	7
323	тело и	1	7
324	не всегда	9	7
325	точно так	3	7
326	как на	3	7
327	думаю что	1	7
328	он сам	1	7
329	от себя	2	7
330	что уже	1	7
331	связи с	10	7
332	не знает	1	7
333	есть явление	1	7
334	но для	4	7
335	в конце	1	7
336	в связи	6	7
337	в мире	1	7
338	а только	1	7
339	его как	1	7
340	даже если	2	7
341	его с	3	7
342	и при	3	7
343	из которых	7	7
344	как в	11	7
345	со стороны	6	7
346	говорят что	1	7
347	не потому	5	7
348	или вообще	2	7
349	что здесь	9	7
350	без всякого	1	7
351	с его	3	7
352	он должен	2	7
353	и всякий	1	7
354	на что	1	7
355	очень много	2	7
356	что этот	5	7
357	эти две	1	7
358	и я	1	7
359	думать что	2	7
360	из этих	5	7
361	тем самым	2	7
362	отождествляется с	1	7
363	мифа в	1	7
364	эти два	2	7
365	можно и	1	6
366	о чем	6	6
367	уже в	4	6
368	есть миф	3	6
369	а что	1	6
370	одной стороны	7	6
371	в другом	2	6
372	в себя	3	6
373	когда она	2	6
374	но они	1	6
375	в зависимости	1	6
376	одна из	6	6
377	во всех	3	6
378	она и	2	6
379	она в	2	6
380	по своей	1	6
381	в которой	4	6
382	как таковое	2	6
383	быть только	1	6
384	себя как	1	6
385	где же	1	6
386	друг другу	1	6
387	тела и	2	6
388	с полной	1	6
389	с тем	9	6
390	что нет	1	6
391	и они	5	6
392	вместе с	26	6
393	никто не	4	6
394	о котором	1	6
395	все вещи	1	6
396	еще и	2	6
397	ни к	1	6
398	того чтобы	3	6
399	на основании	1	6
400	имеет никакого	1	6
401	мог бы	2	6
402	всяком случае	1	6
403	для него	2	6
404	о нем	3	6
405	они не	5	6
406	того как	8	6
407	ее в	8	6
408	то мы	3	6
409	знания и	1	6
410	но с	1	6
411	по существу	2	6
412	вообще не	1	6
413	чтобы быть	1	6
414	по своему	1	6
415	его в	17	6
416	бы ни	1	6
417	мере в	1	6
418	может иметь	2	6
419	показывает что	7	6
420	дело не	1	6
421	в науке	1	6
422	оказывается что	2	6
423	стороны и	1	6
424	на всю	1	6
425	и часто	1	6
426	идет речь	1	6
427	этой точки	2	6
428	в один	1	6
429	отношение к	3	6
430	для этого	3	6
431	а я	1	6
432	а есть	1	5
433	до сих	7	5
434	их не	3	5
435	в своих	4	5
436	или на	3	5
437	если он	2	5
438	например в	11	5
439	что по	1	5
440	их в	7	5
441	в одно	2	5
442	мы только	1	5
443	в это	3	5
444	речь идет	1	5
445	но мы	5	5
446	есть вообще	1	5
447	но даже	2	5
448	не обязательно	2	5
449	я думаю	1	5
450	и еще	1	5
451	к этому	5	5
452	нет никаких	1	5
453	едва ли	1	5
454	все его	2	5
455	что у	6	5
456	после этого	3	5
457	в качестве	13	5
458	и другое	1	5
459	что его	4	5
460	что под	1	5
461	тот кто	7	5
462	на другую	1	5
463	и она	3	5
464	и надо	1	5
465	в свете	5	5
466	и у	3	5
467	сих пор	7	5
468	в целях	3	5
469	ли это	2	5
470	на нем	3	5
471	также не	2	5
472	но так	3	5
473	чаще всего	3	5
474	независимо от	1	5
475	в него	5	5
476	сказали что	1	5
477	были бы	1	5
478	если в	4	5
479	известно что	3	5
480	почти не	1	5
481	из того	1	5
482	же что	2	5
483	или другого	3	5
484	с целью	2	5
485	и так	1	5
486	состоит из	4	5
487	том смысле	2	5
488	сравнению с	1	5
489	это может	1	5
490	не является	1	5
491	в течение	2	5
492	по сравнению	1	5
493	только один	3	5
494	и во	1	5
495	он может	4	5
496	же он	2	5
497	мы еще	2	5
498	зависит от	4	5
499	а это	1	5
500	что с	2	5
501	есть уже	2	5
502	ведь это	1	5
503	же не	1	5
504	виду что	1	5
505	с той	2	5
506	из этого	3	5
507	в области	1	5
508	первый план	1	5
509	по которому	3	5
510	когда он	7	5
511	или как	3	5
512	к ней	2	5
513	и наконец	2	5
514	что на	1	5
515	живое существо	2	4
516	что человек	1	4
517	нас в	1	4
518	как они	1	4
519	и самые	1	4
520	из нее	2	4
521	равно как	1	4
522	представление о	22	4
523	в христианстве	1	4
524	его на	5	4
525	только для	1	4
526	в этот	2	4
527	и этого	1	4
528	если иметь	1	4
529	видно что	1	4
530	к ним	2	4
531	уже знаем	1	4
532	что даже	2	4
533	о ней	1	4
534	представить себе	1	4
535	есть более	1	4
536	д все	2	4
537	в состоянии	1	4
538	мы знаем	12	4
539	у него	7	4
540	будто бы	2	4
541	на себя	4	4
542	из мифа	1	4
543	есть та	1	4
544	и вместе	3	4
545	не нужно	1	4
546	людей и	2	4
547	если не	4	4
548	или же	6	4
549	хотя в	1	4
550	из двух	2	4
551	неотделим от	1	4
552	очень мало	1	4
553	не по	3	4
554	главным образом	2	4
555	мы будем	1	4
556	а как	3	4
557	меня и	1	4
558	это время	2	4
559	и здесь	12	4
560	как с	1	4
561	был бы	1	4
562	это уже	2	4
563	почти всегда	1	4
564	можно назвать	1	4
565	выйти из	1	4
566	связанные с	5	4
567	мы имели	1	4
568	который не	1	4
569	том как	5	4
570	дальше и	2	4
571	сейчас же	2	4
572	чем же	1	4
573	видим что	5	4
574	это только	2	4
575	быть не	1	4
576	чтобы она	2	4
577	это же	4	4
578	заметить что	1	4
579	не видно	2	4
580	только одна	3	4
581	и смерть	2	4
582	у них	2	4
583	друг друга	5	4
584	в другое	2	4
585	когда они	3	4
586	смысле что	1	4
587	и также	1	4
588	данном случае	2	4
589	и этим	6	4
590	в предыдущем	1	4
591	то он	2	4
592	здесь в	1	4
593	в глубине	1	4
594	однако это	1	4
595	на все	2	4
596	бы мы	4	4
597	но уже	5	4
598	к жизни	1	4
599	на них	2	4
600	что эти	1	4
601	и эти	1	4
602	по воздуху	5	4
603	ни один	1	4
604	себе что	2	4
605	что касается	2	4
606	человека и	2	4
607	в каких	1	4
608	же самое	1	4
609	но эта	2	4
610	же можно	4	4
611	же в	3	4
612	такой же	3	4
613	об этой	1	4
614	а он	1	4
615	из себя	4	4
616	на небо	7	4
617	на ту	1	4
618	что было	1	3
619	находим в	1	3
620	нами выше	1	3
621	очевидно что	3	3
622	со всем	1	3
623	ней не	1	3
624	к этой	3	3
625	тех кто	1	3
626	другой пример	2	3
627	этот момент	2	3
628	и мифа	1	3
629	в некоторых	6	3
630	по мере	4	3
631	как таковых	1	3
632	нет еще	1	3
633	нас к	10	3
634	именно и	1	3
635	и требует	3	3
636	мифе о	3	3
637	уже нет	3	3
638	этой стороны	1	3
639	свой смысл	1	3
640	одно время	1	3
641	что тело	2	3
642	что знание	2	3
643	всего и	1	3
644	он находит	1	3
645	как принцип	1	3
646	этот миф	1	3
647	после долгих	1	3
648	данного мифа	1	3
649	д в	1	3
650	но то	2	3
651	вообще как	1	3
652	говорит что	1	3
653	самого начала	1	3
654	в чистом	1	3
655	на ней	2	3
656	еще ничего	1	3
657	же они	1	3
658	на него	10	3
659	же она	2	3
660	во всей	1	3
661	момент в	1	3
662	к ее	1	3
663	что жизнь	1	3
664	специально для	1	3
665	или наоборот	1	3
666	в жертву	8	3
667	указать на	1	3
668	об одном	2	3
669	с другими	4	3
670	и никакой	1	3
671	совершенно ясно	6	3
672	можно узнать	2	3
673	мы это	1	3
674	смотря по	1	3
675	на земле	1	3
676	если я	1	3
677	уже давно	3	3
678	и жизнь	1	3
679	о которых	4	3
680	это тоже	1	3
681	что как	1	3
682	не был	1	3
683	я был	2	3
684	или его	1	3
685	здесь как	3	3
686	а с	2	3
687	сюда же	3	3
688	не дает	2	3
689	совсем не	1	3
690	между тем	1	3
691	не так	1	3
692	когда я	1	3
693	и чтобы	1	3
694	не мог	3	3
695	кто же	1	3
696	есть абстрактное	1	3
697	возможно что	2	3
698	найти в	2	3
699	но есть	4	3
700	таких примеров	2	3
701	для чего	2	3
702	в глубину	1	3
703	мире и	1	3
704	и смысл	1	3
705	образом и	1	3
706	когда уже	2	3
707	и сейчас	3	3
708	на почве	1	3
709	думает что	1	3
710	стороны в	1	3
711	времени когда	1	3
712	мы в	1	3
713	утверждает что	1	3
714	этот обряд	9	3
715	от другого	1	3
716	этого мифа	2	3
717	особого рода	1	3
718	то на	1	3
719	солнца и	1	3
720	от его	1	3
721	в которых	4	3
722	говорить и	1	3
723	все они	1	3
724	как один	1	3
725	или сам	1	3
726	божества и	1	3
727	в очень	2	3
728	тех же	2	3
729	нужно быть	1	3
730	еще на	1	3
731	остается только	1	3
732	с которой	1	3
733	или иных	1	3
734	мы получим	1	3
735	вслед за	1	3
736	ее с	1	3
737	целый ряд	4	3
738	ли вы	1	3
739	знаем что	10	3
740	с мифом	2	3
741	входить в	2	3
742	видим в	2	3
743	тем же	1	3
744	одной из	3	3
745	не знаем	3	3
746	в сознании	1	3
747	здесь не	3	3
748	только с	1	3
749	убежден в	1	3
750	категории и	1	3
751	тот же	1	3
752	в свое	2	3
753	не указывает	1	3
754	или просто	2	3
755	но на	1	3
756	ее на	2	3
757	такое же	3	3
758	мало того	1	3
759	как у	2	3
760	для нас	6	3
761	также имеет	2	3
762	чтобы получить	1	3
763	место в	1	3
764	без всяких	4	3
765	истории не	1	3
766	этого не	2	3
767	и вы	1	3
768	а то	1	3
769	указывает на	1	3
770	так в	5	3
771	к своему	2	3
772	по его	2	3
773	и оно	2	3
774	должен быть	2	3
775	было ни	1	3
776	с самого	1	3
777	отличие от	1	3
778	во время	12	3
779	в свою	3	3
780	в искусстве	1	3
781	от земли	2	3
782	далеко не	1	3
783	из видов	1	3
784	вообще на	1	3
785	можно найти	4	3
786	и всегда	1	3
787	как то	1	3
788	идет о	1	3
789	как из	1	3
790	лишь в	2	3
791	что можно	1	3
792	этого нет	1	3
793	мифом и	1	3
794	в который	2	3
795	в царство	6	3
796	это можно	1	3
797	утверждают что	1	3
798	в современной	1	3
799	же может	1	3
800	она действительно	1	3
801	он с	1	3
802	или точнее	1	3
803	не надо	1	3
804	происходит в	1	3
805	не к	1	3
806	они являются	1	2
807	они имеют	1	2
808	всего это	1	2
809	нужно однако	1	2
810	часто это	2	2
811	здесь же	2	2
812	он входит	1	2
813	чтобы дать	1	2
814	их из	1	2
815	которые не	2	2
816	необходима для	1	2
817	и имеет	1	2
818	следует что	1	2
819	но тем	1	2
820	те же	1	2
821	мира а	2	2
822	остановиться на	1	2
823	живут в	2	2
824	в изображении	1	2
825	часто даже	1	2
826	встречается в	3	2
827	он имеет	4	2
828	обряда и	2	2
829	есть что-то	2	2
830	это далеко	1	2
831	и сам	2	2
832	жизни или	1	2
833	на свою	2	2
834	в некотором	2	2
835	чем его	1	2
836	меня в	4	2
837	роль в	3	2
838	почему это	1	2
839	может дать	1	2
840	он является	2	2
841	когда в	1	2
842	живая и	4	2
843	широком смысле	1	2
844	я буду	1	2
845	только теперь	2	2
846	связано с	7	2
847	миф содержит	1	2
848	перестает быть	1	2
849	и отчасти	1	2
850	ответить на	1	2
851	во все	1	2
852	ее к	2	2
853	эта связь	5	2
854	душа и	1	2
855	он был	2	2
856	мы увидим	6	2
857	представления о	7	2
858	это его	1	2
859	говорит об	2	2
860	во многих	1	2
861	из их	1	2
862	и показывает	1	2
863	а когда	2	2
864	пока не	1	2
865	надо прибавить	1	2
866	о них	1	2
867	в различных	3	2
868	также на	1	2
869	по линии	1	2
870	не вполне	1	2
871	где и	1	2
872	себе в	3	2
873	свою очередь	1	2
874	и начинает	3	2
875	этого мы	2	2
876	на одну	1	2
877	обратим внимание	2	2
878	мифа о	2	2
879	ней и	1	2
880	еще нет	2	2
881	в голове	2	2
882	наряду с	7	2
883	тем кто	1	2
884	они должны	1	2
885	третий день	1	2
886	находится в	2	2
887	с этими	3	2
888	понимать в	1	2
889	именно с	1	2
890	на предмет	1	2
891	от них	2	2
892	друг с	2	2
893	нем не	1	2
894	имеем и	4	2
895	на котором	3	2
896	понятие о	1	2
897	превратился в	2	2
898	новые и	1	2
899	ее и	3	2
900	есть этот	1	2
901	он от	1	2
902	семени и	1	2
903	не видел	2	2
904	на том	5	2
905	есть одно	2	2
906	и основной	1	2
907	потому не	1	2
908	обычно не	1	2
909	холод и	1	2
910	как можно	2	2
911	в воде	4	2
912	ноги и	1	2
913	чем в	1	2
914	и других	5	2
915	бога не	1	2
916	на этот	2	2
917	что там	1	2
918	пока только	2	2
919	дерево и	1	2
920	и говорит	1	2
921	которое в	1	2
922	человек по	1	2
923	на тот	1	2
924	между ними	2	2
925	просто на	2	2
926	эти три	1	2
927	человек в	2	2
928	прибавить что	2	2
929	которые будут	1	2
930	должно было	3	2
931	в других	4	2
932	вопроса о	1	2
