N	4gram	Vinokur_St	KulturaY
1	и в самом деле	2	10
2	той мере в какой	2	7
3	в той мере в	2	7
4	и т п но	1	6
5	в то же время	5	6
6	и т п в	4	5
7	не говоря уже о	2	5
8	я имею в виду	1	4
9	и т д и	2	4
10	т д и т	1	4
11	до сих пор еще	1	4
12	заключается в том что	3	4
13	и то обстоятельство что	1	3
14	говоря уже о том	1	3
15	д и т д	1	3
16	только в том случае	1	3
17	уже о том что	2	3
18	и вместе с тем	1	3
19	это и в самом	1	3
20	в том что он	3	3
21	но с другой стороны	2	3
22	точно так же как	1	3
23	обращает на себя внимание	1	2
24	в том-то и дело	2	2
25	в том смысле что	2	2
26	том-то и дело что	1	2
27	что с точки зрения	1	2
28	в той или иной	1	2
29	когда речь идет о	2	2
30	но также и в	1	2
31	вовсе не в том	1	2
32	и в то же	1	2
33	одних и тех же	1	2
34	в самом деле не	1	2
35	не только в том	1	2
36	и т д ср	1	2
37	в том чтобы выяснить	1	2
38	одним и тем же	2	2
39	и в том что	1	1
40	по отношению к своему	1	1
41	ср с другой стороны	2	1
42	спорить против того что	1	1
43	и т п которые	1	1
44	я не сомневаюсь что	1	1
45	что он не знает	1	1
46	с нашей точки зрения	1	1
47	и в этом случае	2	1
48	т п но если	1	1
49	было бы отрицать что	1	1
50	не подлежит однако сомнению	1	1
51	не при чем но	1	1
52	в том что она	1	1
53	или оправданный александр анфимович	1	1
54	и в голову не	1	1
55	в зависимости от степени	1	1
56	подлежит однако сомнению что	1	1
57	чтобы сделать свою мысль	1	1
58	в том смысле как	1	1
59	потому что он не	1	1
60	но в том-то и	1	1
61	ведь на самом деле	1	1
62	и вы увидите что	1	1
63	в том что и	1	1
64	дружбы или оправданный александр	1	1
65	одно и то же	1	1
66	заключается вовсе не в	1	1
67	за кого же нужно	1	1
68	при некотором внимании к	1	1
69	и т д вот	1	1
70	и т д в	1	1
71	дело в том что	7	1
72	для того чтобы не	1	1
73	не говорю уже о	2	1
74	именно то обстоятельство что	1	1
75	в том отношении что	2	1
76	так или иначе но	1	1
77	иметь в виду что	1	1
78	в то или иное	1	1
79	совсем не в том	2	1
80	при прочих равных условиях	1	1
81	с точки зрения их	2	1
82	что бы то ни	1	1
83	о том что он	3	1
84	т е не только	1	1
85	в то время как	1	1
86	для того чтобы можно	2	1
87	указание на то что	1	1
88	и т д разумеется	1	1
89	о странном памятнике влюбленного	1	1
90	в данном случае можно	1	1
91	ii и т д	1	1
92	в пользу того что	1	1
93	также и то что	1	1
94	ничего не имел бы	1	1
95	следует обратить внимание на	1	1
96	только в том что	1	1
97	ставит себе целью дать	1	1
98	того чтобы можно было	2	1
99	о том что в	1	1
100	в истории русской поэзии	1	1
101	тем более что и	1	1
102	пушкин и его современники	1	1
103	свидетельствует о том что	1	1
104	не надо думать будто	1	1
105	не сказал бы что	1	1
106	свидетельствуют о том что	1	1
107	для пушкина не только	1	1
108	однако с другой стороны	1	1
109	в пределах данной статьи	1	1
110	но уже без кавычек	1	1
111	торжество дружбы или оправданный	1	1
112	для каждой из этих	1	1
113	и в том и	1	1
114	пушкина и его эпохи	1	1
115	указания на то что	1	1
116	и т д почти	1	1
117	только потому что оно	1	1
118	только в применении к	1	1
119	странном памятнике влюбленного хана	1	1
120	не трудно видеть что	1	1
121	бы то ни было	1	1
122	о них вообще можно	1	1
123	что и в этом	1	1
124	в таких случаях как	1	1
125	в начале xix века	1	1
126	ответ на этот вопрос	1	1
127	во всяком случае в	2	1
128	для пушкина и его	1	1
129	достаточно для того чтобы	3	1
130	в целом ряде случаев	1	1
131	бы то ни стало	1	1
132	не имел бы против	1	1
133	в каждом из этих	1	1
134	и я не сомневаюсь	1	1
135	оправданный александр анфимович орлов	1	1
136	как в самом деле	1	1
137	только потому что они	1	1
138	и в этом отношении	1	1
139	во что бы то	1	1
140	я позволю себе в	1	1
141	la fontaine des larmes	1	1
142	на вопрос о значении	1	1
143	и т д но	4	1
144	что же это за	1	1
