N	4gram	Voloshinov	Istorich
1	в то время как	1	13
2	так же как и	1	9
3	но тем не менее	2	6
4	до сих пор мы	1	5
5	это только одна сторона	1	3
6	один и тот же	1	3
7	до сих пор не	1	3
8	с одной стороны и	2	3
9	бы то ни было	3	3
10	но все же не	1	2
11	сколько бы мы ни	3	2
12	одно и то же	2	2
13	на самом же деле	1	2
14	дело в том что	4	2
15	и не может быть	1	2
16	уже не может быть	1	1
17	можно с уверенностью сказать	1	1
18	в том что в	1	1
19	сама по себе не	1	1
20	с другой все эти	1	1
21	и она не может	1	1
22	это один и тот	1	1
23	с другой стороны как	1	1
24	но сами по себе	1	1
25	одна и та же	1	1
26	с уверенностью сказать что	1	1
27	говорит о том что	1	1
28	конечно не может быть	1	1
29	случае мы имеем дело	1	1
30	в зависимости от того	1	1
31	мы имеем дело с	1	1
32	и в этом смысле	1	1
33	какой бы то ни	1	1
34	и в каком отношении	1	1
35	в то же время	1	1
36	и с другой стороны	1	1
