N	3gram	Vygotskiy_	Otkroven
1	у него в	1	5
2	для того чтобы	19	3
3	не могут быть	1	2
4	с тем что	1	2
5	ни у кого	1	2
6	он прежде всего	1	2
7	как и все	2	2
8	не может быть	8	2
9	что же это	1	2
10	но и в	1	2
11	и никогда не	1	2
12	это было бы	1	2
13	и в этом	1	2
14	что у него	1	2
15	сам по себе	3	1
16	ничего не хочет	1	1
17	хотя и не	1	1
18	и не быть	1	1
19	о том что	10	1
20	в том что	30	1
21	того чтобы сделать	1	1
22	не в том	1	1
23	друг с другом	6	1
24	есть не только	1	1
25	и заключается в	1	1
26	с вопросом о	1	1
27	и то что	1	1
28	в этих словах	1	1
29	бы и не	1	1
30	это вопрос о	1	1
31	как и в	2	1
32	в совершенно ином	1	1
33	то что в	2	1
34	в самом деле	5	1
35	хотя бы даже	1	1
36	смысле этого слова	6	1
37	во всяком случае	5	1
38	в самой природе	1	1
39	и в самом	2	1
40	в другом месте	6	1
41	он указывает на	1	1
42	вместо того чтобы	3	1
43	о том как	1	1
44	само по себе	3	1
45	в этом отношении	6	1
46	между этими двумя	2	1
47	по сравнению с	9	1
48	это потому что	1	1
49	потому что в	1	1
50	на то что	9	1
51	должен был бы	1	1
52	в строгом смысле	1	1
53	у кого не	1	1
54	но никогда не	1	1
55	от того что	2	1
56	заключает в себе	1	1
57	том что в	3	1
58	прежде всего в	2	1
59	отношение человека к	1	1
60	хотя бы самый	1	1
61	после того как	1	1
62	и не может	1	1
63	от всех тех	1	1
64	не в силах	1	1
65	друг к другу	2	1
