N	2gram	Ircho_Kome	NovoeSre
1	а не	5	17
2	не может	9	16
3	и в	37	16
4	нового времени	5	12
5	и не	28	11
6	и есть	3	10
7	что в	11	9
8	в эпоху	2	9
9	в том	24	8
10	как не	2	8
11	жизни и	1	8
12	он не	11	8
13	в этом	18	7
14	может быть	14	7
15	в новой	2	7
16	не будет	2	7
17	как и	10	7
18	ни в	14	6
19	не знает	7	6
20	не в	7	6
21	высшей степени	2	6
22	с его	6	6
23	в высшей	2	6
24	никогда не	5	6
25	и к	4	5
26	не только	13	5
27	в ней	7	5
28	все это	7	5
29	в жизни	1	5
30	в нем	8	5
31	должен быть	2	5
32	и потому	2	4
33	к старому	1	4
34	и мы	5	4
35	по своему	3	4
36	потому что	19	4
37	это не	3	4
38	прежде всего	7	4
39	в них	6	4
40	то что	5	4
41	не было	6	4
42	и все	6	4
43	не менее	9	4
44	не имеет	6	4
45	и для	7	4
46	эпохи и	1	4
47	о том	21	4
48	к лицу	2	3
49	во всех	4	3
50	возвращение к	2	3
51	вопрос о	2	3
52	должна быть	2	3
53	она не	3	3
54	тому как	1	3
55	в ее	3	3
56	смысле слова	1	3
57	в прошлом	1	3
58	лицом к	1	3
59	за пределы	3	3
60	к власти	1	3
61	конечно не	4	3
62	подобно тому	1	3
63	в истории	2	3
64	в духе	1	3
65	с другой	5	3
66	в основе	3	3
67	к ним	5	3
68	бога и	1	3
69	сказать что	4	3
70	наряду с	4	3
71	и начало	1	3
72	с тем	6	3
73	к жизни	1	3
74	в своей	6	3
75	в мире	2	3
76	как в	4	3
77	жизни в	1	3
78	но и	18	3
79	это было	1	3
80	к тому	11	3
81	человека и	2	3
82	еще не	10	3
83	с этим	5	2
84	все они	1	2
85	и от	3	2
86	еще до	1	2
87	и весь	1	2
88	ни к	1	2
89	в центре	2	2
90	и что	8	2
91	что она	10	2
92	ли это	1	2
93	с одной	5	2
94	хотя бы	5	2
95	такого рода	2	2
96	мы не	6	2
97	того чтобы	9	2
98	хотя и	6	2
99	ли есть	1	2
100	так и	4	2
101	нашего времени	1	2
102	как это	5	2
103	самой жизни	1	2
104	думать что	1	2
105	одной стороны	4	2
106	не могла	3	2
107	можно было	3	2
108	другой стороны	2	2
109	времени и	2	2
110	из ее	1	2
111	том и	1	2
112	в русском	1	2
113	у него	10	2
114	место в	1	2
115	к самой	1	2
116	а в	12	2
117	будет и	1	2
