N	3gram	Kanaev_Sov	Istorich
1	мы видим что	1	30
2	до сих пор	1	30
3	в этом случае	1	29
4	с одной стороны	1	28
5	так же как	1	27
6	мы знаем что	1	26
7	в том что	1	25
8	не может быть	4	24
9	но все же	1	23
10	тем не менее	2	23
11	в связи с	1	17
12	мы видели что	3	16
13	мы уже знаем	1	15
14	в данном случае	1	15
15	по отношению к	1	14
16	не что иное	1	11
17	что иное как	1	11
18	можно было бы	1	10
19	друг с другом	2	9
20	уже знаем что	1	9
21	совершенно так же	1	8
22	то же самое	2	8
23	на этот вопрос	1	8
24	в зависимости от	4	8
25	в одном случае	1	7
26	во всяком случае	2	7
27	это значит что	1	6
28	так как он	2	6
29	но тем не	1	6
30	с самого начала	3	6
31	мы не можем	6	6
32	для наших целей	1	5
33	в отличие от	2	5
34	до наших дней	1	5
35	есть не что	1	5
36	на самом деле	1	5
37	на этой стадии	1	5
38	влечет за собой	1	4
39	но мы уже	1	4
40	же самое что	1	4
41	и может быть	1	4
42	с точки зрения	5	4
43	но уже в	1	4
44	оно может быть	1	4
45	друг на друга	1	4
46	через некоторое время	2	4
47	сами по себе	1	4
48	но они не	1	4
49	одной стороны и	1	3
50	в этом направлении	1	3
51	в обоих случаях	1	3
52	мы это увидим	1	3
53	но никогда не	1	3
54	один и тот	1	3
55	дело в том	1	3
56	и тот же	1	3
57	но мы знаем	1	3
58	из этих двух	1	3
59	в обратном порядке	1	3
60	не в том	1	3
61	то ни было	1	3
62	бы то ни	1	3
63	же как у	1	3
64	прежде всего мы	1	3
65	по его мнению	1	3
66	мы этого не	1	2
67	а может быть	1	2
68	каждого из них	2	2
69	в том как	1	2
70	в самом деле	1	2
71	она не может	1	2
72	это или нет	1	2
73	к которому они	1	2
74	это означало бы	1	2
75	а не только	1	2
76	ничего не доказывают	1	2
77	еще не может	2	2
78	может быть в	1	2
79	не могут быть	1	2
80	знаем что это	1	2
81	может быть и	2	2
82	но все эти	1	2
83	может быть только	1	2
84	мы должны признать	1	2
85	как мы видим	1	2
86	и прежде всего	1	2
87	часто встречающееся в	1	2
88	и те же	1	2
89	и не может	1	2
90	в свою очередь	2	2
91	на другой день	1	2
92	равно как и	1	2
93	мы видим не	1	2
94	мы не знаем	1	2
95	одна из них	1	2
96	между ним и	1	2
97	и той же	1	2
98	а потом и	1	2
99	одной и той	1	2
100	и ничего не	1	2
101	но для чего	1	1
102	много и они	1	1
103	такое объяснение не	1	1
104	это как бы	1	1
105	и становится его	1	1
106	что в ней	1	1
107	с другом мы	1	1
108	же это за	2	1
109	одни и те	1	1
110	в предыдущей главе	1	1
111	в результате мы	1	1
112	не может но	1	1
113	она и не	1	1
114	следить дальше за	1	1
115	может быть сведен	1	1
116	подлежит никакому сомнению	1	1
117	ясно что все	1	1
118	по аналогии с	1	1
119	ли он в	1	1
120	за собой изменение	1	1
121	таким образом из	1	1
122	ведь это не	1	1
123	как бы два	1	1
124	почти не знает	1	1
125	и у нас	1	1
126	и могут быть	1	1
127	вместе с ним	1	1
128	как и вся	1	1
129	тот же процесс	1	1
130	не более как	1	1
131	как он в	1	1
132	в этом смысле	1	1
133	существенно отличается от	1	1
134	в свое время	1	1
135	не представляет никакого	1	1
136	не вытекает из	1	1
137	он может быть	1	1
138	сих пор в	1	1
139	в дословном переводе	1	1
140	в себе очень	1	1
141	том случае когда	1	1
142	что же это	3	1
143	в себе в	1	1
144	не подлежит никакому	1	1
145	он уже не	1	1
146	в процессе развития	1	1
147	мы можем назвать	2	1
148	тот или другой	1	1
149	и эта сторона	1	1
150	это во всяком	1	1
151	и пр но	1	1
152	они не могут	1	1
153	и есть то	1	1
154	в том случае	1	1
155	в такой же	1	1
156	как мы это	1	1
157	но это уже	1	1
158	стадии развития на	1	1
159	должен быть поставлен	1	1
160	то же время	1	1
161	мира мы видели	1	1
162	и в этом	1	1
163	совершенно не вытекает	1	1
164	его таким образом	1	1
165	значит что она	1	1
166	состоит из двух	1	1
167	в которой он	1	1
168	какой бы то	1	1
169	но если мы	1	1
170	условия при которых	1	1
171	в то же	1	1
172	природы и от	1	1
173	и та же	1	1
174	уже в ином	1	1
175	не в виде	1	1
176	у нас на	1	1
177	всяком случае не	1	1
178	представление о том	1	1
179	не дает нам	1	1
180	одна и та	1	1
181	мы можем поставить	1	1
182	как он выражается	1	1
183	а в некоторых	1	1
184	только частное значение	1	1
