N	4gram	Savitsky_E	Problemy
1	в то же время	14	26
2	но в то же	2	11
3	и в то же	8	7
4	бы то ни было	4	6
5	то же время не	1	6
6	в той или иной	3	5
7	большей или меньшей степени	1	3
8	в то время как	1	3
9	и в этом смысле	2	3
10	в большей или меньшей	1	3
11	одна и та же	1	2
12	мы можем сказать что	1	2
13	дело в том что	1	2
14	той или иной степени	1	2
15	например в том что	1	1
16	само по себе не	2	1
17	и до настоящего времени	1	1
18	и прежде всего в	1	1
19	с одной стороны и	6	1
20	каких бы то ни	2	1
21	иначе обстоит дело в	1	1
22	одного и того же	1	1
23	нам кажется что в	1	1
24	один и тот же	1	1
25	заключается в том что	2	1
26	в том числе и	1	1
27	и в отношении к	1	1
28	не кто иной как	1	1
29	несмотря на то что	1	1
30	одну и ту же	1	1
31	так же как и	3	1
