N	4gram	Bakhtin_Pr	Psycholo
1	заключается в том что	1	23
2	в то время как	2	13
3	в том что он	4	7
4	так же как и	1	5
5	в зависимости от того	1	4
6	в собственном смысле слова	1	4
7	никогда не может быть	1	3
8	в то же время	13	3
9	о том что он	1	3
10	что до сих пор	1	3
11	и т п с	1	3
12	дело в том что	1	3
13	с другой стороны мы	1	3
14	само по себе не	1	2
15	что с точки зрения	1	2
16	и т п все	2	2
17	и т п в	1	2
18	т п все это	1	2
19	с другой стороны и	3	2
20	до сих пор не	1	2
21	можно было бы сказать	1	2
22	с одной стороны и	1	2
23	и не может быть	1	2
24	бы то ни было	2	2
25	не в том что	1	2
26	и в этом отношении	2	2
27	ни на минуту не	1	2
28	те же и что	1	1
29	это было так то	1	1
30	именно в том что	1	1
31	во что бы то	1	1
32	лежат в одной плоскости	1	1
33	как мы уже говорили	2	1
34	собственном смысле слова и	1	1
35	может быть понято как	1	1
36	о которых мы упоминали	1	1
37	в том что это	1	1
38	к сожалению до сих	1	1
39	если бы это было	1	1
40	как если бы оно	1	1
41	но для наших целей	1	1
42	сожалению до сих пор	1	1
43	отношении друг к другу	1	1
44	само по себе как	1	1
45	между характером героя и	1	1
46	само по себе но	1	1
47	и в сущности ничего	1	1
48	каково бы ни было	1	1
49	если бы не было	1	1
50	и т п так	1	1
51	в этом отношении не	1	1
52	то что когда-то было	1	1
53	бы это было так	1	1
54	где дело идет о	1	1
55	и каждый из них	1	1
56	на самом деле нет	1	1
57	если бы герой был	1	1
58	что бы то ни	1	1
59	там где дело идет	1	1
60	с точки зрения того	1	1
61	в нас самих в	1	1
62	в таком случае это	1	1
63	не может найти в	1	1
64	в одной плоскости с	4	1
65	скорее на то что	1	1
66	остановимся прежде всего на	1	1
67	то это вовсе не	1	1
68	до своих последних пределов	1	1
69	с точки зрения своего	2	1
70	можно прямо сказать что	1	1
71	в том числе и	1	1
72	том и другом случае	1	1
73	мы уже говорили что	1	1
74	в том и другом	1	1
75	в самом деле в	1	1
76	в сущности ничего не	1	1
77	мы его не видим	1	1
78	но в таком случае	1	1
79	которые сами по себе	1	1
80	в данном случае и	1	1
81	это и есть та	1	1
82	одну и ту же	1	1
83	на то что он	1	1
84	то что он не	1	1
85	бы то ни стало	1	1
86	все зависит от того	1	1
87	и в этом смысле	2	1
88	какой бы то ни	1	1
89	искусства и в частности	1	1
90	нельзя не согласиться с	1	1
