N	4gram	Vinokur_St	VLabPisa
1	в то же время	5	5
2	и в то же	1	3
3	в том числе и	2	2
4	в том отношении что	2	2
5	одном из писем к	2	2
6	в одном из писем	2	2
7	в ту же ночь	1	1
8	в этом случае она	1	1
9	только в том что	1	1
10	именно в том что	1	1
11	в том смысле что	2	1
12	в своем рассказе о	1	1
13	по поводу легенды о	1	1
14	иметь в виду что	1	1
15	не имеет ничего общего	2	1
16	в известном письме к	1	1
17	горя от ума и	1	1
18	может быть и речи	1	1
19	и по отношению к	1	1
20	одно и то же	1	1
21	в том же духе	1	1
22	но с другой стороны	2	1
23	не может быть никакого	1	1
24	по этому поводу с	1	1
25	по его собственному признанию	1	1
26	говоря уже о том	1	1
27	никаких оснований видеть в	1	1
28	не может быть признана	1	1
29	имеет ничего общего с	2	1
30	только в том случае	1	1
31	и в ту же	1	1
32	в той или иной	1	1
33	том отношении что они	2	1
34	но в то же	2	1
35	не может быть и	1	1
36	уже о том что	2	1
37	после того как он	1	1
38	так же как и	1	1
39	в то время как	1	1
40	не говоря уже о	2	1
41	мы имеем дело с	1	1
42	и вместе с тем	1	1
43	ответ на этот вопрос	1	1
44	до сих пор не	1	1
45	в этой области не	1	1
46	понимать в том смысле	1	1
47	говорит о том что	3	1
48	и т д но	4	1
49	было бы совершенно неосновательно	1	1
