N	3gram	Voloshinov	EvropaiE
1	с точки зрения	6	16
2	с одной стороны	1	8
3	в том что	1	6
4	так же как	2	5
5	этой точки зрения	1	5
6	для того чтобы	1	5
7	с этой точки	1	5
8	той или иной	1	4
9	то ни было	1	4
10	бы то ни	1	4
11	и в этом	2	4
12	друг с другом	1	3
13	в применении к	1	3
14	можно было бы	1	3
15	в известной степени	1	3
16	в этом смысле	3	3
17	же как и	1	3
18	во всяком случае	3	3
19	можно сказать что	3	3
20	и прежде всего	1	3
21	в этом отношении	1	3
22	так и в	1	2
23	каких бы то	1	2
24	рано или поздно	1	2
25	мы можем сказать	2	2
26	прежде всего к	1	2
27	и на своем	1	2
28	нам кажется что	2	2
29	не может быть	3	2
30	в большинстве случаев	3	2
31	в данном случае	1	2
32	в известных пределах	1	2
33	по сравнению с	3	2
34	уже и теперь	1	1
35	и та же	1	1
36	дело в том	1	1
37	было связано с	1	1
38	можно ли признать	1	1
39	мы не можем	1	1
40	существует только в	1	1
41	можем сказать что	1	1
42	вопрос можно ли	1	1
43	во многих случаях	1	1
44	и ту же	1	1
45	те же законы	1	1
46	в том смысле	1	1
47	переводе на язык	1	1
48	он не дает	1	1
49	через некоторое время	1	1
50	в основных чертах	1	1
51	и того же	1	1
52	не могут быть	2	1
53	лучшим доказательством правильности	1	1
54	мы увидим что	1	1
55	и даже более	1	1
56	одну и ту	1	1
57	в связи с	1	1
58	так и с	1	1
59	может быть речи	1	1
60	в нем и	1	1
61	говорить о том	1	1
62	связи с этим	1	1
63	чтобы войти в	1	1
64	в переводе на	2	1
65	одна и та	1	1
66	одного и того	1	1
