N	2gram	Voloshinov	OGranits
1	и в	32	13
2	и его	33	12
3	абстрактного объективизма	33	10
4	прежде всего	19	9
5	может быть	50	8
6	и не	42	8
7	не может	40	8
8	и пр	31	7
9	в его	10	7
10	и т.п	17	7
11	и их	2	7
12	точки зрения	48	7
13	таким образом	29	6
14	не только	18	6
15	социального общения	15	6
16	мы должны	4	6
17	только в	14	6
18	то что	12	6
19	как бы	31	6
20	языка и	28	5
21	метода в	1	5
22	хотя бы	8	5
23	с точки	31	5
24	и т.д	6	5
25	в материале	4	5
26	в процессе	31	5
27	но ведь	4	5
28	все же	13	5
29	и эта	5	5
30	и наконец	1	5
31	в каждом	8	4
32	мы можем	6	4
33	не является	11	4
34	до тех	2	4
35	интонация в	1	4
36	только и	1	4
37	вполне понятно	6	4
38	мы не	6	4
39	то же	19	4
40	еще и	2	4
41	было бы	8	4
42	все это	4	4
43	в сознании	2	4
44	слов и	3	4
45	в школе	1	4
46	лишь в	17	4
47	социальной группы	6	4
48	в своей	5	4
49	на фоне	1	4
50	в двух	4	4
51	тех пор	2	4
52	но в	13	4
53	вопроса о	1	4
54	с этим	6	3
55	что в	5	3
56	к одному	5	3
57	понятно что	4	3
58	и то	4	3
59	только путем	1	3
60	связана с	4	3
61	ни один	1	3
62	пор пока	2	3
63	экспрессивной интонации	2	3
64	монологическое высказывание	9	3
65	так и	21	3
66	не как	5	3
67	говорить о	2	3
68	одно и	3	3
69	есть прежде	2	3
70	в одном	2	3
71	не столько	5	3
72	за пределы	8	3
73	отношению к	9	3
74	по отношению	10	3
75	превращается в	2	3
76	слово в	5	3
77	в пределах	7	3
78	в их	5	3
79	при анализе	1	3
80	в ее	9	3
81	здесь мы	7	3
82	самом деле	18	3
83	не в	13	3
84	в которой	4	3
85	что же	5	3
86	и все	8	3
87	общего с	3	3
88	но для	4	3
89	в себе	5	3
90	так как	5	3
91	языка как	26	3
92	да и	1	3
93	но и	17	3
94	к единству	3	3
95	и для	15	3
96	как и	19	3
97	ничего общего	5	3
98	точку зрения	4	3
99	никогда не	7	3
100	как системы	7	3
101	в области	3	2
102	языком как	1	2
103	в самом	14	2
104	нет ничего	4	2
105	и к	3	2
106	что они	1	2
107	того или	2	2
108	жизненного высказывания	1	2
109	каждый элемент	1	2
110	материалом для	1	2
111	форм и	5	2
112	мы видим	2	2
113	иное как	2	2
114	в данном	8	2
115	мы уже	7	2
116	изолированное монологическое	2	2
117	и этот	2	2
118	предметного значения	1	2
119	а как	7	2
120	жизненной речи	3	2
121	в своих	2	2
122	в этом	27	2
123	этой проблемы	4	2
124	что иное	1	2
125	в общем	1	2
126	в целях	3	2
127	героя и	1	2
128	на язык	3	2
129	человеческой речи	1	2
130	в языке	8	2
131	с одной	2	2
132	нормативно-тождественных форм	1	2
133	социологический метод	1	2
134	мог бы	2	2
135	о социальной	1	2
136	входит в	5	2
137	для себя	4	2
138	не чем	1	2
139	и при	3	2
140	одной стороны	2	2
141	и должно	1	2
142	роль в	1	2
143	в другом	5	2
144	при этом	13	2
145	несмотря на	1	2
146	между тем	8	2
147	для него	18	2
148	и стиль	1	2
149	лишь путем	1	2
150	социального мирка	1	2
151	пытается в	1	2
152	в этот	1	2
153	и помимо	2	2
154	идеологического наполнения	1	2
155	и тем	4	2
156	с помощью	11	2
157	и классификации	1	2
158	и может	1	2
159	смысле слова	4	2
160	те же	5	2
161	ее в	2	2
162	в том	13	2
163	общения и	5	2
164	выбор и	1	2
165	в которую	1	2
166	с этой	2	2
167	высказывание и	2	2
168	что эта	1	2
169	мы получим	1	2
170	каждое слово	2	2
171	и является	4	2
172	в тех	1	2
173	в отношении	7	2
174	этого социального	1	2
175	социального события	1	2
176	к анализу	1	2
177	чем же	7	2
178	конечно в	4	2
179	организации в	1	2
180	другой стороны	7	2
181	сознания и	6	2
182	во времени	1	2
183	не что	2	2
184	не на	2	2
185	от этого	3	2
186	так же	10	2
187	самого начала	9	2
188	а в	5	2
189	оценка и	3	2
190	социальной оценки	1	2
191	в жизненной	4	2
192	связанных с	1	2
193	если бы	12	2
194	мы понимаем	1	2
195	школы и	2	2
196	исследовательского пути	2	2
197	о языке	9	2
198	от своего	2	2
199	соответствии с	1	2
200	еще в	2	2
201	в ней	5	2
202	с самого	9	2
203	литературное произведение	1	2
204	тем что	3	2
205	истории языка	5	2
206	она является	4	2
207	лингвистики в	2	2
208	и др	3	2
209	языковых форм	8	2
210	могут быть	4	2
211	вовсе не	15	2
212	в действительности	3	2
213	же слово	2	2
214	между собою	1	2
215	может в	1	2
216	помимо этого	2	2
217	двух разных	1	2
218	его на	1	2
219	чем иным	1	2
