N	4gram	Voloshinov	Russkaja
1	в то же время	7	10
2	друг с другом и	1	2
3	в свою очередь является	1	1
4	она может лишь в	1	1
5	то же время эти	1	1
6	друг с другом как	1	1
7	бы то ни было	11	1
8	ни к чему не	1	1
9	связаны друг с другом	1	1
10	на самом деле ничего	1	1
11	дело в том что	1	1
12	и с точки зрения	1	1
13	отнюдь не может быть	2	1
14	одну и ту же	1	1
15	и прежде всего в	1	1
16	сводится к тому что	1	1
17	но в то же	6	1
18	во всех этих случаях	1	1
19	в том числе и	3	1
20	тот или иной момент	1	1
21	несмотря на то что	1	1
22	в тот или иной	1	1
23	и более или менее	1	1
24	одного и того же	9	1
25	до сих пор мы	1	1
26	и не может быть	5	1
