N	3gram	Bakhtin_Fr	Vladivir
1	в том что	2	29
2	о том что	3	22
3	и то что	1	14
4	в то время	1	13
5	дело в том	2	13
6	во всяком случае	2	12
7	в связи с	5	12
8	более или менее	1	11
9	в конце концов	3	11
10	не может быть	2	10
11	в то же	13	10
12	с точки зрения	4	10
13	то что он	1	9
14	как раз и	1	9
15	на этот раз	1	9
16	то же время	13	9
17	а также и	4	8
18	т ii с	1	7
19	на первый план	1	7
20	в свое время	1	7
21	в это время	1	7
22	само по себе	1	6
23	в данном случае	3	6
24	том что в	1	6
25	в отличие от	3	6
26	с другой стороны	5	6
27	и в этом	1	6
28	как мы знаем	2	6
29	в настоящее время	2	6
30	можно судить по	1	6
31	как мы видели	4	6
32	но даже и	2	5
33	и в то	2	5
34	бы то ни	1	5
35	само собой разумеется	1	5
36	то что в	1	5
37	не только в	3	5
38	то время как	1	5
39	что и в	1	5
40	можно сказать что	2	4
41	как мы уже	8	4
42	в том же	3	4
43	для того чтобы	5	4
44	в этом отношении	4	4
45	и вместе с	1	4
46	только в году	1	4
47	в том чтобы	1	4
48	заключается в том	1	4
49	не что иное	1	4
50	можно было бы	2	4
51	что иное как	1	4
52	с одной стороны	4	4
53	также и в	1	4
54	на эту тему	1	4
55	хотя бы и	1	3
56	в том числе	4	3
57	и вообще в	2	3
58	мы знаем что	1	3
59	в том случае	1	3
60	свидетельствует о том	1	3
61	и в отношении	1	3
62	даже и в	2	3
63	это вовсе не	2	3
64	самом же деле	1	3
65	только то что	2	3
66	на самом же	1	3
67	но это не	1	3
68	раз и навсегда	1	3
69	во второй половине	1	3
70	в свою очередь	2	3
71	в этом же	1	3
72	и до конца	8	3
73	и в дальнейшем	1	3
74	в связи со	2	3
75	на французском языке	1	3
76	и в частности	1	3
77	с самого начала	1	3
78	с начала и	7	3
79	между прочим и	1	3
80	мы уже сказали	2	3
81	в согласии с	1	3
82	начала и до	7	3
83	одной стороны и	2	2
84	и тот же	3	2
85	и с его	2	2
86	не подлежит никакому	2	2
87	а именно его	1	2
88	что он пишет	1	2
89	в вопросе о	1	2
90	на том же	1	2
91	вовсе не был	1	2
92	и не раз	1	2
93	подлежит никакому сомнению	2	2
94	так и в	1	2
95	до сих пор	6	2
96	есть не что	1	2
97	то есть о	1	2
98	и прежде всего	3	2
99	для своего времени	1	2
100	не без влияния	1	2
101	то ни было	1	2
102	но как раз	2	2
103	все дело в	1	2
104	так как в	1	2
105	сих пор не	1	2
106	к нему и	1	2
107	за то что	2	2
108	еще и в	1	2
109	в году и	1	2
110	да и в	1	2
111	но дело в	1	2
112	но вот в	1	2
113	один и тот	3	2
114	с новым годом	1	2
115	в париже и	2	2
116	связи с этим	1	2
117	не было ни	3	2
118	но в то	7	2
119	начиная с года	1	2
120	в этом случае	1	2
121	это конечно не	1	2
122	нетрудно заметить что	1	2
123	что в нем	1	2
124	как мы увидим	1	2
125	том случае если	1	2
126	как мы сказали	1	2
127	как и прежде	1	2
128	и на его	1	2
129	притом не только	1	2
130	как это делает	1	2
131	это и есть	2	2
132	после того как	1	2
133	может быть и	2	2
134	но все эти	1	1
135	но и не	1	1
136	бы и не	1	1
137	не обходилось без	1	1
138	все то что	2	1
139	как будто бы	1	1
140	о которой мы	1	1
141	не только то	1	1
142	и в данном	1	1
143	мы прежде всего	1	1
144	в году о	1	1
145	но вовсе не	1	1
146	в той же	5	1
147	в своих философских	1	1
148	мы видим что	2	1
149	до известной степени	1	1
150	которой видно что	1	1
151	что уже в	1	1
152	это вполне соответствовало	1	1
153	к одному из	1	1
154	роль в мировоззрении	1	1
155	и ко всему	1	1
156	своей живости и	1	1
157	и тут же	1	1
158	как и его	1	1
159	только во время	2	1
160	в первый раз	2	1
161	истории и в	1	1
162	в году когда	1	1
163	за собой и	1	1
164	то может быть	1	1
165	том же году	1	1
166	и все прочее	1	1
167	они не могут	1	1
168	вовсе не являются	1	1
169	в строгом смысле	1	1
170	и так сказать	2	1
171	но это вовсе	1	1
172	но никак не	1	1
173	его отношение к	2	1
174	те же кто	1	1
175	в чем дело	1	1
176	строгом смысле слова	1	1
177	кроме того что	1	1
178	в них все	1	1
179	именно в этой	1	1
180	и не столь	1	1
181	и в более	1	1
182	а также в	1	1
183	как он говорит	1	1
184	те же самые	2	1
185	и отнюдь не	1	1
186	именно в таком	1	1
187	той или иной	2	1
188	такой точки зрения	1	1
189	до того он	1	1
190	мы видели и	1	1
191	конце концов он	2	1
192	к этой книге	1	1
193	и далеко не	1	1
194	отношение к жизни	1	1
195	раз и не	1	1
196	ко второму изданию	1	1
197	он не понимает	1	1
198	еще в эпоху	1	1
199	он в сущности	1	1
200	том чтобы установить	1	1
201	может быть названа	1	1
202	что в основе	1	1
203	почти все они	1	1
204	во время своей	1	1
205	как раз наиболее	1	1
206	которым мы встретились	1	1
207	в частности у	1	1
208	он издал в	1	1
209	и всякого рода	1	1
210	годом и наконец	1	1
211	дальше в этом	1	1
212	и не хочет	1	1
213	с тех пор	1	1
214	это в свою	1	1
215	время это уже	1	1
216	в высшей степени	1	1
217	но все же	2	1
218	не только во	1	1
219	лицом к лицу	1	1
220	о том как	1	1
221	только тогда когда	1	1
222	вследствие чего он	1	1
223	она была на	1	1
224	для него как	1	1
225	в этом последнем	1	1
226	и потому не	1	1
227	в этой же	2	1
