N	2gram	Berdyaev_M	VeschiIm
1	т е	5	81
2	не есть	21	79
3	и не	26	57
4	не только	42	48
5	то что	10	48
6	не может	39	46
7	и в	61	45
8	вещи и	1	40
9	это –	32	40
10	и есть	21	40
11	и т	1	39
12	может быть	42	39
13	а не	36	37
14	значит что	4	32
15	это значит	3	30
16	что я	1	26
17	потому что	25	25
18	было бы	11	24
19	только в	7	23
20	по себе	2	23
21	что она	5	23
22	в себе	12	23
23	сказать что	5	22
24	в смысле	1	22
25	и что	4	22
26	как бы	10	20
27	что такое	2	20
28	что это	5	19
29	что же	2	19
30	с нею	1	19
31	но и	34	19
32	и ее	2	19
33	в этом	34	18
34	все же	2	18
35	есть только	2	18
36	так как	10	17
37	что мы	1	17
38	прежде всего	18	17
39	и это	16	17
40	есть не	9	17
41	оно есть	1	16
42	того что	13	16
43	как и	14	15
44	уже не	8	15
45	в том	9	15
46	в ней	23	15
47	– в	2	14
48	но это	8	14
49	и то	2	14
50	сущности и	1	14
51	не в	16	14
52	в самом	15	13
53	не будет	3	13
54	том что	7	13
55	есть и	6	13
56	и для	7	13
57	это и	7	13
58	и явление	1	13
59	что в	12	12
60	и с	6	12
61	то же	4	12
62	и даже	1	12
63	есть то	2	12
64	о том	5	12
65	еще не	1	12
66	есть ни	1	12
67	не что	4	12
68	точки зрения	6	12
69	но если	4	12
70	она есть	3	12
71	ничего не	4	12
72	что они	4	12
73	что иное	4	12
74	не значит	2	12
75	что и	6	12
76	и как	3	12
77	смысл и	1	12
78	иное как	4	12
79	и их	3	11
80	не менее	1	11
81	себя в	6	11
82	ни в	3	11
83	что не	3	11
84	вовсе не	1	11
85	– не	6	11
86	также и	6	11
87	в то	2	11
88	и только	1	11
89	учение об	1	10
90	в чем	3	10
91	есть ли	2	10
92	я и	3	9
93	с ним	5	9
94	бы и	8	9
95	то и	1	9
96	хотя бы	8	9
97	нисколько не	1	9
98	говорить о	1	9
99	в своем	17	9
100	ни с	4	9
101	должно быть	5	9
102	это не	10	9
103	у нас	13	9
104	есть явление	3	9
105	но что	1	9
106	бы в	3	9
107	она не	9	9
108	так что	3	9
109	но не	8	9
110	на то	1	9
111	и его	13	9
112	как с	1	8
113	должна быть	7	8
114	это есть	4	8
115	если бы	5	8
116	с тем	10	8
117	что он	16	8
118	себя и	6	8
119	отличается от	2	8
120	– как	1	8
121	в свете	3	8
122	по сравнению	3	8
123	но в	12	8
124	тут не	1	8
