N	2gram	Voloshinov	EvropaiC
1	и в	3	24
2	не может	4	18
3	может быть	1	17
4	точки зрения	1	14
5	но и	1	11
6	не только	1	10
7	и все	1	9
8	и не	1	9
9	с точки	1	8
10	к тому	1	8
11	если бы	1	8
12	из этих	1	8
13	не менее	1	7
14	и на	1	6
15	несмотря на	1	6
16	в то	1	6
17	в его	1	5
18	и истории	1	5
19	связи с	1	4
20	ни один	1	4
21	то же	1	4
22	можно назвать	1	3
23	может не	1	3
24	в ней	1	3
25	бы в	1	3
26	для него	1	2
27	на нее	1	2
28	и тому	1	2
29	на месте	1	2
30	тому что	1	2
31	и социальной	1	2
32	тех же	1	2
33	же время	1	2
34	мы видим	1	1
35	один из	2	1
36	если в	2	1
37	вполне понятно	1	1
38	бы на	1	1
39	смысл и	1	1
40	социального общения	2	1
41	с другими	1	1
42	в центре	2	1
43	в термины	1	1
44	вопрос что	1	1
45	при сравнении	1	1
46	права и	1	1
47	в каждом	1	1
48	себя от	1	1
49	он в	1	1
50	нет и	1	1
51	от общей	1	1
52	лучше всего	1	1
53	именно с	1	1
54	а не	1	1
