N	3gram	Losev_Vlad	Problema
1	тем не менее	8	56
2	о том что	9	39
3	в том что	13	37
4	и т д	3	33
5	вовсе не есть	1	30
6	в настоящее время	2	30
7	в связи с	7	29
8	по крайней мере	1	26
9	во всяком случае	8	25
10	с другой стороны	3	25
11	содержит в себе	1	23
12	в конце концов	6	23
13	сам по себе	1	21
14	и то что	7	20
15	на то что	6	19
16	в этом смысле	4	19
17	ни в каком	1	18
18	как раз и	2	18
19	для того чтобы	3	17
20	в то же	7	17
21	точно так же	2	16
22	необходимо сказать что	4	16
23	и тем не	1	15
24	не что иное	2	14
25	что иное как	2	14
26	в этом случае	1	14
27	ничего общего с	1	13
28	не может быть	4	12
29	но даже и	3	12
30	так или иначе	3	12
31	в каком случае	1	12
32	также и то	3	12
33	и в частности	3	12
34	и в этом	1	12
35	можно сказать что	3	12
36	в то время	6	12
37	то время как	2	12
38	дело в том	7	11
39	здесь перед нами	1	11
40	есть не что	1	11
41	мы должны сказать	1	11
42	бы то ни	2	11
43	с одной стороны	1	11
44	и тем самым	1	10
45	не только не	1	10
46	вместе с тем	2	10
47	более или менее	5	10
48	только то что	1	10
49	не только в	3	10
50	каком случае не	1	9
51	должны сказать что	1	9
52	по этому поводу	2	9
53	и ни в	1	9
54	что же касается	8	9
55	не говоря уже	3	9
56	в сравнении с	2	9
57	может быть и	1	9
58	самом же деле	1	8
59	на самом же	1	8
60	у нас выше	4	8
61	заключается в том	1	8
62	мы не будем	1	8
63	говоря уже о	3	7
64	а может быть	1	7
65	к тому же	3	7
66	в этой области	1	7
67	в значительной мере	1	7
68	хотя и не	2	7
69	это и есть	1	7
70	и как бы	1	6
71	а то что	1	6
72	в самом деле	1	6
73	и то же	1	6
74	так и в	1	6
75	но отнюдь не	1	6
76	и только в	1	6
77	не имеет никакого	2	6
78	то что в	1	6
79	и в его	2	6
80	даже и в	1	6
81	то ни было	1	6
82	на первый план	4	6
83	в этом отношении	2	6
84	само по себе	1	6
85	ни в каких	2	5
86	указывает на то	1	5
87	свидетельствует о том	1	5
88	в чем не	1	5
89	на этот раз	7	5
90	и о том	1	5
91	а также и	2	5
92	нам представляется что	1	5
93	в том виде	1	5
94	в том числе	1	5
95	до некоторой степени	2	5
96	только при помощи	1	5
97	в какой мере	1	5
98	одно и то	1	5
99	да и то	1	5
100	том что он	4	5
101	что в нем	1	5
102	ни в чем	1	5
103	в стихотворении года	1	5
104	и больше ничего	1	4
105	дело не в	1	4
106	то в чем	1	4
107	как мы уже	3	4
108	как это мы	4	4
109	и вместе с	1	4
110	мы хотели бы	3	4
111	но все же	1	4
112	мы имеем дело	1	4
113	то ни стало	1	4
114	и потому что	3	4
115	в том чтобы	4	4
116	иной раз даже	4	4
117	до тех пор	2	4
118	не было бы	1	4
119	также и в	2	4
120	в себе не	1	4
121	еще и потому	2	4
122	во что бы	1	4
123	на первом плане	2	4
124	будет сказать что	1	4
125	а с другой	1	4
126	сказать что он	1	4
127	и во всяком	1	4
128	само собой разумеется	2	4
129	равно как и	1	4
130	в это время	5	4
131	если не прямо	2	4
132	не потому что	1	4
133	и не в	1	4
134	что бы то	1	4
135	как мы видели	1	4
136	никакого отношения к	3	4
137	так что в	2	4
138	на эту тему	2	4
139	то обстоятельство что	2	4
140	в таких случаях	1	4
141	то что он	6	3
142	и никак не	1	3
143	и тут же	1	3
144	требует от нас	1	3
145	потому что она	1	3
146	собственно говоря никогда	1	3
147	только в таком	1	3
148	это же самое	1	3
149	то что у	2	3
150	к тому что	1	3
151	не то что	2	3
152	но это не	2	3
153	а иной раз	4	3
154	как и вообще	1	3
