N	4gram	Propp_Isto	VeschiIm
1	бы то ни было	1	12
2	и т д и	1	11
3	с этой точки зрения	3	4
4	это значит что она	1	4
5	в то время как	4	4
6	то это значит что	2	3
7	можно ли сказать что	1	3
8	в том что он	1	2
9	это не значит что	1	1
10	все новые и новые	2	1
11	по существу и по	1	1
12	и т д то	1	1
13	что у него нет	1	1
14	с одной стороны и	1	1
15	до сих пор мы	2	1
16	мы видим таким образом	1	1
17	и то и другое	2	1
18	и т д в	3	1
19	ответ на вопрос о	1	1
20	новые и новые формы	1	1
21	о том как эта	1	1
22	а в том что	1	1
23	и т д но	2	1
24	и т д если	1	1
25	видим таким образом что	1	1
26	и вместе с тем	2	1
27	один и тот же	1	1
