N	2gram	Bakhtin_KF	IolandNe
1	и с	1	3
2	что в	4	2
3	самого себя	1	2
4	он не	6	2
5	должен быть	7	2
6	бы что	1	2
7	ничего не	3	2
8	и не	28	2
9	в этом	15	2
10	говорить о	2	1
11	все эти	11	1
12	для того	3	1
13	и очень	1	1
14	хотя его	2	1
15	а в	5	1
16	и о	1	1
17	за границей	1	1
18	понятий и	1	1
19	это было	2	1
20	и та	3	1
21	для него	13	1
22	не остается	2	1
23	при такой	1	1
24	тем что	3	1
25	не случайно	1	1
26	только что	1	1
27	бы его	1	1
28	это сам	1	1
29	того же	1	1
30	художественного творчества	1	1
31	и др	1	1
32	жизни и	8	1
33	в целом	10	1
34	более чем	1	1
35	в эту	1	1
36	нее и	1	1
37	я не	6	1
38	себя в	8	1
39	могло бы	4	1
40	знать и	1	1
41	и смыслы	1	1
42	если бы	8	1
43	отношению к	22	1
44	того что	3	1
45	а с	2	1
46	только для	1	1
47	по поводу	1	1
48	и тот	3	1
49	автор и	1	1
50	так и	2	1
51	в основе	5	1
52	в значительной	1	1
53	от этого	2	1
54	того чтобы	2	1
55	а для	2	1
56	другое дело	2	1
57	не дает	3	1
58	а по	2	1
59	есть только	1	1
60	и в	28	1
61	никогда не	5	1
62	еще одной	1	1
63	все это	10	1
64	по отношению	26	1
65	со всеми	2	1
66	нисколько не	4	1
67	как о	1	1
