N	2gram	Nazirov_Tv	Formalny
1	и в	40	95
2	т е	1	94
3	и не	12	78
4	может быть	11	66
5	в этом	11	61
6	не может	9	57
7	вовсе не	5	53
8	таким образом	14	52
9	и его	14	51
10	так и	5	50
11	в нем	4	42
12	в его	19	42
13	прежде всего	10	41
14	как и	16	39
15	и т	14	37
16	художественного произведения	1	36
17	в самом	6	35
18	не в	3	35
19	а не	9	34
20	в процессе	3	34
21	но и	10	33
22	то же	19	32
23	самом деле	4	32
24	не только	16	30
25	в пределах	1	28
26	в том	13	26
27	отнюдь не	9	26
28	если бы	4	26
29	то что	9	25
30	при этом	14	24
31	в своей	8	24
32	лишь в	1	24
33	на самом	3	24
34	с помощью	1	23
35	было бы	2	23
36	связи с	2	23
37	в ней	2	23
38	в то	23	22
39	и ее	1	22
40	и с	9	21
41	что в	17	21
42	в истории	2	21
43	как бы	26	21
44	между ними	1	20
45	с тем	1	20
46	не менее	8	20
47	входит в	1	20
48	как мы	1	20
49	и от	8	20
50	же время	18	20
51	место в	6	20
52	в их	5	20
53	по себе	2	19
54	художественное произведение	1	19
55	хотя бы	5	19
56	т д	10	19
57	не могут	2	19
58	все это	14	19
59	все же	9	18
60	в связи	2	18
61	т п	4	18
62	только в	7	18
63	и все	6	18
64	с его	12	18
65	все эти	3	18
66	и их	2	18
67	как раз	2	17
68	произведения в	1	17
69	как в	10	17
70	более того	2	17
71	во всяком	2	16
72	с другой	4	16
73	так же	6	16
74	всяком случае	2	16
75	в искусстве	3	16
76	потому что	10	16
77	именно в	6	15
78	все время	3	15
79	должно быть	1	15
80	с другими	1	15
81	его в	2	15
82	во всех	2	15
83	и на	12	15
84	так как	6	15
85	но в	11	15
86	в поэзии	1	15
87	в литературе	4	15
88	в жизни	3	14
89	только на	2	14
90	в своем	4	14
91	в ее	3	14
92	в этой	7	14
93	что он	11	14
94	вместе с	4	14
95	еще не	5	14
96	если мы	1	14
97	и потому	4	14
98	жизни и	3	14
99	в целом	7	14
100	в результате	1	13
101	тем что	2	13
102	настоящее время	2	13
103	что и	3	13
104	ни в	2	13
105	как его	1	13
106	могут быть	4	13
107	для них	2	13
108	сводится к	2	13
109	со стороны	1	13
110	что же	1	13
111	до конца	2	13
112	в настоящее	1	13
113	того что	3	13
114	она не	2	13
115	а в	10	13
116	уже не	6	12
117	к тому	2	12
118	в действительности	1	12
119	по отношению	3	12
120	как это	2	12
121	и здесь	2	12
122	оно не	1	12
123	отношению к	3	12
124	социальной действительности	2	11
125	никогда не	13	11
126	что они	3	11
127	так сказать	4	11
128	то ни	1	11
129	между тем	2	11
130	в идеологическом	1	11
131	литературы в	1	11
132	произведения как	1	11
133	это и	4	11
134	для него	9	11
135	в основе	3	11
136	но не	7	11
137	в большинстве	1	11
138	слова и	1	11
139	другой стороны	2	10
140	в своих	8	10
141	в первом	3	10
142	в художественном	1	10
143	в дальнейшем	7	10
144	о литературе	1	10
145	бы то	1	10
146	не было	3	10
147	не есть	2	10
148	действительности и	3	10
149	он не	10	10
150	если же	1	10
151	главным образом	1	10
152	с ее	3	10
153	мы видели	1	10
154	как о	1	10
155	не является	3	10
156	друг друга	2	10
157	и др	2	10
158	мы не	3	10
159	и как	5	10
160	не о	1	10
161	еще более	3	9
162	и даже	8	9
163	говорить о	1	9
164	мы знаем	2	9
165	ни было	1	9
166	но ведь	2	9
