N	2gram	Trubetskoy	formyVre
1	и в	26	148
2	в этом	15	73
3	то есть	4	70
4	в нем	4	51
5	прежде всего	2	46
6	и не	8	37
7	в его	5	36
8	и его	1	36
9	но и	9	33
10	то же	4	32
11	не только	10	32
12	но в	7	31
13	жизни и	2	31
14	так и	6	29
15	времени в	1	27
16	может быть	10	27
17	не в	2	26
18	как и	1	25
19	как бы	12	25
20	человеческой жизни	1	24
21	точки зрения	13	24
22	мы уже	1	24
23	только в	4	23
24	в то	4	23
25	человека в	1	23
26	в том	11	22
27	то что	7	22
28	связи с	9	21
29	во всех	2	21
30	же время	2	21
31	все эти	6	21
32	в своем	3	19
33	и на	2	19
34	и для	5	19
35	таким образом	22	18
36	у него	1	18
37	и все	2	18
38	еще не	2	18
39	по существу	2	18
40	при этом	3	17
41	те же	2	17
42	с этим	1	17
43	так как	9	17
44	человека и	1	17
45	все же	6	16
46	новой жизни	1	16
47	в связи	3	16
48	того же	6	16
49	и во	1	16
50	и их	1	16
51	не может	4	16
52	в разных	2	15
53	в одном	3	15
54	в них	2	15
55	никогда не	5	15
56	с точки	6	15
57	так сказать	1	15
58	с его	2	15
59	вместе с	15	15
60	лишь в	5	15
61	и как	3	14
62	и с	10	14
63	так же	5	14
64	в конце	6	14
65	всех этих	1	14
66	а не	5	14
67	как раз	1	14
68	все это	6	14
69	в самом	4	13
70	в котором	4	13
71	для того	5	13
72	друг с	5	13
73	во время	4	13
74	с ним	1	13
75	как в	1	13
76	роль в	1	13
77	в их	1	13
78	с другом	5	13
79	того чтобы	5	13
80	а в	4	13
81	же в	1	13
82	и до	1	12
83	конечно не	2	12
84	не было	2	12
85	он не	4	12
86	что в	9	12
87	потому что	7	12
88	ничего не	1	12
89	но не	8	12
90	и наконец	2	12
91	из них	7	11
92	его в	1	11
93	и у	8	11
94	ни в	1	11
95	в образе	2	11
96	смерть и	1	11
97	уже в	2	11
98	мира и	1	11
99	смерти в	1	11
100	в ней	1	11
101	и другие	3	10
102	кроме того	1	10
103	уже не	3	10
104	и того	1	10
105	входит в	1	10
106	в ее	1	10
107	сих пор	5	10
108	до сих	5	10
109	уже говорили	1	10
110	в ряд	1	10
111	и проч	2	10
112	здесь не	1	10
113	тот же	2	10
114	и даже	3	9
115	но все	7	9
116	их в	1	9
117	на этой	1	9
118	с другой	8	9
119	должно быть	1	9
120	и следовательно	1	9
121	и это	2	9
122	в других	3	9
123	могут быть	1	9
124	та же	1	9
125	отношения к	1	9
126	том что	7	9
127	в самой	2	9
128	для него	3	9
129	и других	1	9
130	одного и	1	9
131	мира в	1	9
132	и к	5	8
133	в результате	3	8
134	в виду	2	8
135	в этих	4	8
136	время как	1	8
