N	2gram	Tiupa_Narr	Myslijsy
1	потому что	7	182
2	то есть	15	142
3	и в	22	121
4	может быть	24	107
5	в том	20	103
6	то что	14	83
7	в слове	4	78
8	для нас	2	75
9	что в	6	73
10	и не	34	73
11	только в	23	72
12	не только	50	67
13	а не	27	67
14	таким образом	5	64
15	в этом	23	59
16	но и	39	59
17	том что	15	59
18	так как	1	59
19	то же	12	56
20	не в	12	54
21	если бы	9	53
22	в себе	14	53
23	по себе	4	52
24	не может	16	52
25	того что	7	47
26	в сознании	6	46
27	в душе	3	45
28	было бы	2	45
29	в нем	9	45
30	как и	15	42
31	так что	1	39
32	вместе с	3	39
33	что и	3	38
34	мы не	5	38
35	при этом	31	37
36	как в	9	37
37	так и	12	37
38	что мы	2	36
39	точно так	2	35
40	тем что	1	33
41	и что	1	32
42	по отношению	5	30
43	а в	19	30
44	что не	2	29
45	между тем	5	29
46	но не	7	29
47	вовсе не	2	28
48	мы можем	2	28
49	для него	8	28
50	есть только	1	28
51	с этим	1	27
52	могут быть	1	27
53	не было	3	26
54	и т	3	26
55	то и	3	26
56	отношению к	5	26
57	языка и	1	25
58	в то	9	24
59	с тем	1	23
60	как бы	11	23
61	того как	1	23
62	а потому	2	22
63	по мере	2	22
64	что слово	1	22
65	с другой	6	22
66	не имеет	3	22
67	но в	10	22
68	и потому	2	21
69	не менее	6	21
70	мысль о	1	20
71	в одном	5	20
72	это не	6	20
73	в ней	5	20
74	мысли и	1	19
75	и как	4	19
76	но это	2	19
77	сказать что	5	19
78	с ним	6	19
79	того же	2	19
80	тем не	7	19
81	что это	4	19
82	и то	3	19
83	из этих	6	19
84	о том	5	19
85	заключает в	2	19
86	тем самым	9	19
87	должно быть	1	19
88	в самом	8	18
89	в таком	4	18
90	для того	4	18
91	по поводу	3	18
92	не могут	1	18
93	очевидно что	1	18
94	в человеке	2	18
95	бы не	1	18
96	в каком	1	18
97	тогда как	23	18
98	что я	4	18
99	еще не	6	18
100	точки зрения	8	17
101	крайней мере	1	17
102	со стороны	14	17
103	по крайней	1	17
104	слова и	1	17
105	уже в	1	17
106	в его	12	17
107	во всяком	2	17
108	слова в	4	17
109	не можем	2	17
110	только что	4	16
111	и на	5	16
112	к тому	13	16
113	так же	2	16
114	в своем	7	16
115	в которой	2	16
116	а только	1	16
117	слово есть	1	16
118	если б	1	16
119	и наоборот	1	16
120	же с	1	16
121	на то	4	16
122	быть может	1	15
123	в этих	3	15
124	уже не	11	15
125	с одной	5	15
126	с другими	1	15
127	и тем	9	15
128	и по	3	15
